# Time          1.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.9202E-12       2.9574E-13       7.9814E-11       3.9551E-11
       1.5000E-02       3.9195E-12       2.9552E-13       7.9860E-11       3.9506E-11
       2.5000E-02       3.9189E-12       2.9530E-13       7.9900E-11       3.9466E-11
       3.5000E-02       3.9183E-12       2.9506E-13       7.9933E-11       3.9434E-11
       4.5000E-02       3.9178E-12       2.9482E-13       7.9959E-11       3.9409E-11
       5.5000E-02       3.9173E-12       2.9457E-13       7.9977E-11       3.9391E-11
       6.5000E-02       3.9167E-12       2.9429E-13       7.9989E-11       3.9379E-11
       7.5000E-02       3.9162E-12       2.9400E-13       7.9997E-11       3.9371E-11
       8.5000E-02       3.9157E-12       2.9368E-13       8.0002E-11       3.9367E-11
       9.5000E-02       3.9151E-12       2.9333E-13       8.0005E-11       3.9365E-11
       1.0500E-01       3.9146E-12       2.9295E-13       8.0006E-11       3.9364E-11
       1.1500E-01       3.9140E-12       2.9253E-13       8.0007E-11       3.9363E-11
       1.2500E-01       3.9133E-12       2.9207E-13       8.0008E-11       3.9363E-11
       1.3500E-01       3.9127E-12       2.9157E-13       8.0008E-11       3.9363E-11
       1.4500E-01       3.9120E-12       2.9101E-13       8.0009E-11       3.9363E-11
       1.5500E-01       3.9113E-12       2.9041E-13       8.0009E-11       3.9364E-11
       1.6500E-01       3.9106E-12       2.8976E-13       8.0010E-11       3.9364E-11
       1.7500E-01       3.9098E-12       2.8906E-13       8.0010E-11       3.9364E-11
       1.8500E-01       3.9090E-12       2.8831E-13       8.0010E-11       3.9365E-11
       1.9500E-01       3.9082E-12       2.8752E-13       8.0011E-11       3.9365E-11
       2.0500E-01       3.9074E-12       2.8670E-13       8.0011E-11       3.9366E-11
       2.1500E-01       3.9066E-12       2.8588E-13       8.0010E-11       3.9367E-11
       2.2500E-01       3.9058E-12       2.8508E-13       8.0009E-11       3.9369E-11
       2.3500E-01       3.9051E-12       2.8434E-13       8.0005E-11       3.9374E-11
       2.4500E-01       3.9046E-12       2.8372E-13       7.9998E-11       3.9381E-11
       2.5500E-01       1.8405E-06       1.3355E-07       3.7706E-05       1.8572E-05
       2.6500E-01       1.8403E-06       1.3334E-07       3.7700E-05       1.8578E-05
       2.7500E-01       1.8402E-06       1.3312E-07       3.7695E-05       1.8583E-05
       2.8500E-01       1.8400E-06       1.3289E-07       3.7691E-05       1.8588E-05
       2.9500E-01       1.8398E-06       1.3266E-07       3.7687E-05       1.8592E-05
       3.0500E-01       1.8396E-06       1.3241E-07       3.7683E-05       1.8596E-05
