# Time          2.5000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       9.1500E-01       0.0000E+00      -1.4540E-18       0.0000E+00
       9.2500E-01       0.0000E+00      -1.5051E-18       0.0000E+00
       9.3500E-01       0.0000E+00      -1.5571E-18       0.0000E+00
       9.4500E-01       0.0000E+00      -1.6101E-18       0.0000E+00
       9.5500E-01       0.0000E+00      -1.6639E-18       0.0000E+00
       9.6500E-01       0.0000E+00      -1.7187E-18       0.0000E+00
       9.7500E-01       0.0000E+00      -1.7743E-18       0.0000E+00
       9.8500E-01       0.0000E+00      -1.8307E-18       0.0000E+00
       9.9500E-01       0.0000E+00      -1.8880E-18       0.0000E+00
       1.0050E+00       0.0000E+00      -1.9460E-18       0.0000E+00
       1.0150E+00       0.0000E+00      -2.0048E-18       0.0000E+00
       1.0250E+00       0.0000E+00      -2.0644E-18       0.0000E+00
       1.0350E+00       0.0000E+00      -2.1246E-18       0.0000E+00
       1.0450E+00       0.0000E+00      -2.1855E-18       0.0000E+00
       1.0550E+00       0.0000E+00      -2.2471E-18       0.0000E+00
       1.0650E+00       0.0000E+00      -2.3092E-18       0.0000E+00
       1.0750E+00       0.0000E+00      -2.3720E-18       0.0000E+00
       1.0850E+00       0.0000E+00      -2.4353E-18       0.0000E+00
       1.0950E+00       0.0000E+00      -2.4991E-18       0.0000E+00
       1.1050E+00       0.0000E+00      -2.5635E-18       0.0000E+00
       1.1150E+00       0.0000E+00      -2.6283E-18       0.0000E+00
       1.1250E+00       0.0000E+00      -2.6935E-18       0.0000E+00
       1.1350E+00       0.0000E+00      -2.7592E-18       0.0000E+00
       1.1450E+00       0.0000E+00      -2.8253E-18       0.0000E+00
       1.1550E+00       0.0000E+00      -2.8917E-18       0.0000E+00
       1.1650E+00       0.0000E+00      -2.9585E-18       0.0000E+00
       1.1750E+00       0.0000E+00      -3.0255E-18       0.0000E+00
       1.1850E+00       0.0000E+00      -3.0929E-18       0.0000E+00
       1.1950E+00       0.0000E+00      -3.1606E-18       0.0000E+00
       1.2050E+00       0.0000E+00      -3.2285E-18       0.0000E+00
       1.2150E+00       0.0000E+00      -3.2967E-18       0.0000E+00
       1.2250E+00       0.0000E+00      -3.3652E-18       0.0000E+00
