# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  5.24291E-09                5.00044223188695E+00   5.38830874663769E-06   1.06997711152325E-04   9.78899358049346E-05   1.47015577724781E-04
  1.04858E-08                5.00044223531947E+00   5.38830859282649E-06   1.06997711172660E-04   9.78899358050368E-05   1.47015577724960E-04
  2.09715E-08                5.00044224218450E+00   5.38830828520408E-06   1.06997711213329E-04   9.78899358052467E-05   1.47015577725326E-04
  4.19431E-08                5.00044225591457E+00   5.38830766995929E-06   1.06997711294667E-04   9.78899358056536E-05   1.47015577726038E-04
  8.38861E-08                5.00044228337470E+00   5.38830643946969E-06   1.06997711457344E-04   9.78899358064742E-05   1.47015577727472E-04
  1.67772E-07                5.00044233829497E+00   5.38830397849048E-06   1.06997711782697E-04   9.78899358081091E-05   1.47015577730331E-04
  3.35544E-07                5.00044244813550E+00   5.38829905653208E-06   1.06997712433403E-04   9.78899358113645E-05   1.47015577736029E-04
  6.71089E-07                5.00044266781657E+00   5.38828921261529E-06   1.06997713734817E-04   9.78899358178649E-05   1.47015577747407E-04
  1.34218E-06                5.00044310717868E+00   5.38826952478172E-06   1.06997716337645E-04   9.78899358308757E-05   1.47015577770178E-04
  2.68435E-06                5.00044398590287E+00   5.38823014911472E-06   1.06997721543308E-04   9.78899358568800E-05   1.47015577815694E-04
  5.36871E-06                5.00044574335103E+00   5.38815139778114E-06   1.06997731954665E-04   9.78899359088784E-05   1.47015577906712E-04
  1.07374E-05                5.00044925824657E+00   5.38799389511585E-06   1.06997752777494E-04   9.78899360129117E-05   1.47015578088801E-04
  2.14748E-05                5.00045628803448E+00   5.38767888979271E-06   1.06997794423617E-04   9.78899362209560E-05   1.47015578452947E-04
  4.29497E-05                5.00047034759758E+00   5.38704887917625E-06   1.06997877717726E-04   9.78899366370757E-05   1.47015579181285E-04
  8.58993E-05                5.00049846667284E+00   5.38578885806347E-06   1.06998044313389E-04   9.78899374693090E-05   1.47015580637950E-04
  1.71799E-04                5.00055470461888E+00   5.38326881632540E-06   1.06998377534493E-04   9.78899391337603E-05   1.47015583551254E-04
  3.43597E-04                5.00066717969934E+00   5.37822873485462E-06   1.06999044086632E-04   9.78899424626609E-05   1.47015589377839E-04
  6.87195E-04                5.00089213822722E+00   5.36814858039188E-06   1.07000368696698E-04   9.78899491203861E-05   1.47015601030812E-04
  1.37439E-03                5.00134356039764E+00   5.34798830925778E-06   1.07001857399808E-04   9.78899624298022E-05   1.47015624326226E-04
  2.74878E-03                5.00229171641823E+00   5.30766795306295E-06   1.06970213636681E-04   9.78899888550825E-05   1.47015670579856E-04
  5.49756E-03                5.00462960480279E+00   5.22702833828386E-06   1.06572377638311E-04   9.78900393968287E-05   1.47015758901457E-04
  1.09951E-02                5.01102444291391E+00   5.06575783722711E-06   1.04513592150229E-04   9.78901278305886E-05   1.47015911403395E-04
  2.13234E-02                5.02575341779231E+00   4.76286816263855E-06   9.89180267905591E-05   9.78902715052527E-05   1.47016149589943E-04
  3.71789E-02                5.04993244130052E+00   4.29868807578775E-06   9.01063401450748E-05   9.78905065333110E-05   1.47016521595022E-04
  6.88900E-02                5.09722192563696E+00   3.38916325867481E-06   7.57130720753303E-05   9.78908432155364E-05   1.47017043785085E-04
