# Time          1.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       8.9500E-01      -8.1658E+00       2.4110E-06      -1.0032E+03
       9.0500E-01      -8.1657E+00       2.4337E-06      -1.0032E+03
       9.1500E-01      -8.1657E+00       2.4555E-06      -1.0032E+03
       9.2500E-01      -8.1657E+00       2.4763E-06      -1.0032E+03
       9.3500E-01      -8.1657E+00       2.4961E-06      -1.0032E+03
       9.4500E-01      -8.1656E+00       2.5148E-06      -1.0032E+03
       9.5500E-01      -8.1656E+00       2.5324E-06      -1.0032E+03
       9.6500E-01      -8.1656E+00       2.5489E-06      -1.0032E+03
       9.7500E-01      -8.1656E+00       2.5644E-06      -1.0032E+03
       9.8500E-01      -8.1656E+00       2.5787E-06      -1.0032E+03
       9.9500E-01      -8.1656E+00       2.5918E-06      -1.0032E+03
       1.0050E+00      -8.1656E+00       2.6039E-06      -1.0032E+03
       1.0150E+00      -8.1656E+00       2.6147E-06      -1.0032E+03
       1.0250E+00      -8.1656E+00       2.6245E-06      -1.0032E+03
       1.0350E+00      -8.1656E+00       2.6330E-06      -1.0032E+03
       1.0450E+00      -8.1656E+00       2.6403E-06      -1.0032E+03
       1.0550E+00      -8.1656E+00       2.6465E-06      -1.0032E+03
       1.0650E+00      -8.1656E+00       2.6515E-06      -1.0032E+03
       1.0750E+00      -8.1656E+00       2.6553E-06      -1.0032E+03
       1.0850E+00      -8.1657E+00       2.6579E-06      -1.0032E+03
       1.0950E+00      -8.1657E+00       2.6594E-06      -1.0032E+03
       1.1050E+00      -8.1657E+00       2.6596E-06      -1.0032E+03
       1.1150E+00      -8.1657E+00       2.6587E-06      -1.0032E+03
       1.1250E+00      -8.1658E+00       2.6566E-06      -1.0032E+03
       1.1350E+00      -8.1658E+00       2.6534E-06      -1.0032E+03
       1.1450E+00      -8.1658E+00       2.6490E-06      -1.0032E+03
       1.1550E+00      -8.1659E+00       2.6434E-06      -1.0032E+03
       1.1650E+00      -8.1659E+00       2.6367E-06      -1.0032E+03
       1.1750E+00      -8.1659E+00       2.6289E-06      -1.0032E+03
       1.1850E+00      -8.1660E+00       2.6200E-06      -1.0032E+03
       1.1950E+00      -8.1660E+00       2.6100E-06      -1.0032E+03
