# Time          2.5000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.9555E-11       7.9824E-11       2.9579E-13       0.0000E+00       3.9207E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.9510E-11       7.9870E-11       2.9559E-13       0.0000E+00       3.9200E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.9468E-11       7.9913E-11       2.9540E-13       0.0000E+00       3.9193E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       3.9430E-11       7.9951E-11       2.9521E-13       0.0000E+00       3.9187E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       3.9398E-11       7.9983E-11       2.9502E-13       0.0000E+00       3.9181E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       3.9371E-11       8.0011E-11       2.9483E-13       0.0000E+00       3.9175E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       3.9350E-11       8.0032E-11       2.9464E-13       0.0000E+00       3.9170E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       3.9333E-11       8.0049E-11       2.9446E-13       0.0000E+00       3.9165E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       3.9321E-11       8.0062E-11       2.9428E-13       0.0000E+00       3.9160E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       3.9313E-11       8.0070E-11       2.9410E-13       0.0000E+00       3.9155E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01       0.0000E+00       0.0000E+00       3.9307E-11       8.0076E-11       2.9391E-13       0.0000E+00       3.9151E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01       0.0000E+00       0.0000E+00       3.9303E-11       8.0080E-11       2.9373E-13       0.0000E+00       3.9147E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.2500E-01       0.0000E+00       0.0000E+00       3.9301E-11       8.0083E-11       2.9355E-13       0.0000E+00       3.9142E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.3500E-01       0.0000E+00       0.0000E+00       3.9300E-11       8.0085E-11       2.9336E-13       0.0000E+00       3.9138E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.4500E-01       0.0000E+00       0.0000E+00       3.9299E-11       8.0086E-11       2.9318E-13       0.0000E+00       3.9135E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5500E-01       0.0000E+00       0.0000E+00       3.9299E-11       8.0086E-11       2.9300E-13       0.0000E+00       3.9131E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.6500E-01       0.0000E+00       0.0000E+00       3.9299E-11       8.0087E-11       2.9281E-13       0.0000E+00       3.9127E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.7500E-01       0.0000E+00       0.0000E+00       3.9299E-11       8.0087E-11       2.9263E-13       0.0000E+00       3.9123E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
