# Time          3.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.9211E-12       2.9582E-13       7.9834E-11       3.9560E-11
       1.5000E-02       3.9204E-12       2.9563E-13       7.9882E-11       3.9512E-11
       2.5000E-02       3.9197E-12       2.9544E-13       7.9927E-11       3.9468E-11
       3.5000E-02       3.9191E-12       2.9525E-13       7.9968E-11       3.9427E-11
       4.5000E-02       3.9185E-12       2.9506E-13       8.0005E-11       3.9391E-11
       5.5000E-02       3.9179E-12       2.9487E-13       8.0038E-11       3.9358E-11
       6.5000E-02       3.9173E-12       2.9469E-13       8.0066E-11       3.9331E-11
       7.5000E-02       3.9168E-12       2.9451E-13       8.0090E-11       3.9307E-11
       8.5000E-02       3.9163E-12       2.9433E-13       8.0109E-11       3.9288E-11
       9.5000E-02       3.9158E-12       2.9415E-13       8.0125E-11       3.9273E-11
       1.0500E-01       3.9153E-12       2.9398E-13       8.0136E-11       3.9262E-11
       1.1500E-01       3.9149E-12       2.9381E-13       8.0145E-11       3.9253E-11
       1.2500E-01       3.9145E-12       2.9363E-13       8.0152E-11       3.9247E-11
       1.3500E-01       3.9141E-12       2.9347E-13       8.0156E-11       3.9243E-11
       1.4500E-01       3.9137E-12       2.9330E-13       8.0160E-11       3.9240E-11
       1.5500E-01       3.9133E-12       2.9313E-13       8.0162E-11       3.9238E-11
       1.6500E-01       3.9129E-12       2.9297E-13       8.0163E-11       3.9237E-11
       1.7500E-01       3.9126E-12       2.9281E-13       8.0164E-11       3.9236E-11
       1.8500E-01       3.9123E-12       2.9266E-13       8.0164E-11       3.9236E-11
       1.9500E-01       3.9119E-12       2.9251E-13       8.0164E-11       3.9237E-11
       2.0500E-01       3.9116E-12       2.9237E-13       8.0163E-11       3.9238E-11
       2.1500E-01       3.9114E-12       2.9224E-13       8.0160E-11       3.9241E-11
       2.2500E-01       3.9112E-12       2.9213E-13       8.0156E-11       3.9245E-11
       2.3500E-01       3.9110E-12       2.9205E-13       8.0150E-11       3.9252E-11
       2.4500E-01       3.9110E-12       2.9200E-13       8.0139E-11       3.9263E-11
       2.5500E-01       1.8433E-06       1.3762E-07       3.7762E-05       1.8513E-05
       2.6500E-01       1.8433E-06       1.3763E-07       3.7754E-05       1.8521E-05
       2.7500E-01       1.8434E-06       1.3763E-07       3.7746E-05       1.8528E-05
       2.8500E-01       1.8434E-06       1.3763E-07       3.7739E-05       1.8536E-05
       2.9500E-01       1.8435E-06       1.3763E-07       3.7732E-05       1.8543E-05
       3.0500E-01       1.8435E-06       1.3763E-07       3.7725E-05       1.8550E-05
       3.1500E-01       1.8435E-06       1.3764E-07       3.7719E-05       1.8556E-05
       3.2500E-01       1.8436E-06       1.3764E-07       3.7713E-05       1.8562E-05
       3.3500E-01       1.8436E-06       1.3764E-07       3.7707E-05       1.8567E-05
       3.4500E-01       1.8436E-06       1.3764E-07       3.7702E-05       1.8572E-05
       3.5500E-01       1.8436E-06       1.3764E-07       3.7698E-05       1.8577E-05
       3.6500E-01       1.8436E-06       1.3764E-07       3.7693E-05       1.8581E-05
       3.7500E-01       1.8437E-06       1.3764E-07       3.7690E-05       1.8585E-05
       3.8500E-01       1.8437E-06       1.3764E-07       3.7686E-05       1.8588E-05
       3.9500E-01       1.8437E-06       1.3764E-07       3.7683E-05       1.8591E-05
       4.0500E-01       1.8437E-06       1.3764E-07       3.7681E-05       1.8593E-05
       4.1500E-01       1.8437E-06       1.3764E-07       3.7679E-05       1.8596E-05
       4.2500E-01       1.8437E-06       1.3764E-07       3.7677E-05       1.8597E-05
       4.3500E-01       1.8437E-06       1.3764E-07       3.7675E-05       1.8599E-05
       4.4500E-01       1.8437E-06       1.3764E-07       3.7674E-05       1.8600E-05
       4.5500E-01       1.8437E-06       1.3764E-07       3.7673E-05       1.8601E-05
