# Time          1.0000E+00
    Distance         pH
  5.0000E-03    4.9399E+00
  1.5000E-02    5.0317E+00
  2.5000E-02    5.1040E+00
  3.5000E-02    5.1525E+00
  4.5000E-02    5.1863E+00
  5.5000E-02    5.2157E+00
  6.5000E-02    5.2468E+00
  7.5000E-02    5.2827E+00
  8.5000E-02    5.3251E+00
  9.5000E-02    5.3749E+00
  1.0500E-01    5.4318E+00
  1.1500E-01    5.4950E+00
  1.2500E-01    5.5621E+00
  1.3500E-01    5.6301E+00
  1.4500E-01    5.6962E+00
  1.5500E-01    5.7585E+00
  1.6500E-01    5.8157E+00
  1.7500E-01    5.8675E+00
  1.8500E-01    5.9139E+00
  1.9500E-01    5.9550E+00
  2.0500E-01    5.9907E+00
  2.1500E-01    6.0209E+00
  2.2500E-01    6.0451E+00
  2.3500E-01    6.0622E+00
  2.4500E-01    6.0702E+00
  2.5500E-01    6.0657E+00
  2.6500E-01    6.0610E+00
  2.7500E-01    6.0558E+00
  2.8500E-01    6.0501E+00
  2.9500E-01    6.0439E+00
  3.0500E-01    6.0372E+00
  3.1500E-01    6.0299E+00
  3.2500E-01    6.0221E+00
  3.3500E-01    6.0137E+00
  3.4500E-01    6.0047E+00
  3.5500E-01    5.9951E+00
  3.6500E-01    5.9849E+00
  3.7500E-01    5.9741E+00
  3.8500E-01    5.9626E+00
  3.9500E-01    5.9504E+00
  4.0500E-01    5.9377E+00
  4.1500E-01    5.9242E+00
  4.2500E-01    5.9102E+00
  4.3500E-01    5.8955E+00
  4.4500E-01    5.8801E+00
  4.5500E-01    5.8642E+00
  4.6500E-01    5.8477E+00
  4.7500E-01    5.8306E+00
  4.8500E-01    5.8130E+00
  4.9500E-01    5.7948E+00
  5.0500E-01    5.7763E+00
  5.1500E-01    5.7573E+00
  5.2500E-01    5.7380E+00
  5.3500E-01    5.7184E+00
  5.4500E-01    5.6987E+00
  5.5500E-01    5.6788E+00
  5.6500E-01    5.6589E+00
  5.7500E-01    5.6390E+00
  5.8500E-01    5.6193E+00
  5.9500E-01    5.5999E+00
  6.0500E-01    5.5808E+00
  6.1500E-01    5.5620E+00
  6.2500E-01    5.5438E+00
  6.3500E-01    5.5261E+00
  6.4500E-01    5.5091E+00
  6.5500E-01    5.4927E+00
  6.6500E-01    5.4771E+00
  6.7500E-01    5.4622E+00
  6.8500E-01    5.4481E+00
  6.9500E-01    5.4348E+00
  7.0500E-01    5.4222E+00
  7.1500E-01    5.4105E+00
  7.2500E-01    5.3995E+00
  7.3500E-01    5.3893E+00
  7.4500E-01    5.3798E+00
  7.5500E-01    5.3710E+00
  7.6500E-01    5.3629E+00
  7.7500E-01    5.3555E+00
  7.8500E-01    5.3487E+00
  7.9500E-01    5.3425E+00
  8.0500E-01    5.3368E+00
  8.1500E-01    5.3316E+00
  8.2500E-01    5.3270E+00
  8.3500E-01    5.3227E+00
  8.4500E-01    5.3189E+00
  8.5500E-01    5.3155E+00
  8.6500E-01    5.3124E+00
  8.7500E-01    5.3097E+00
  8.8500E-01    5.3073E+00
  8.9500E-01    5.3051E+00
  9.0500E-01    5.3032E+00
  9.1500E-01    5.3015E+00
  9.2500E-01    5.3000E+00
  9.3500E-01    5.2987E+00
  9.4500E-01    5.2976E+00
  9.5500E-01    5.2966E+00
  9.6500E-01    5.2957E+00
  9.7500E-01    5.2950E+00
  9.8500E-01    5.2944E+00
  9.9500E-01    5.2938E+00
  1.0050E+00    5.2934E+00
  1.0150E+00    5.2930E+00
  1.0250E+00    5.2927E+00
  1.0350E+00    5.2924E+00
  1.0450E+00    5.2922E+00
  1.0550E+00    5.2920E+00
  1.0650E+00    5.2919E+00
  1.0750E+00    5.2918E+00
  1.0850E+00    5.2917E+00
  1.0950E+00    5.2916E+00
  1.1050E+00    5.2916E+00
  1.1150E+00    5.2916E+00
  1.1250E+00    5.2916E+00
  1.1350E+00    5.2916E+00
  1.1450E+00    5.2916E+00
  1.1550E+00    5.2916E+00
  1.1650E+00    5.2916E+00
  1.1750E+00    5.2917E+00
  1.1850E+00    5.2917E+00
  1.1950E+00    5.2918E+00
  1.2050E+00    5.2918E+00
  1.2150E+00    5.2918E+00
  1.2250E+00    5.2919E+00
  1.2350E+00    5.2919E+00
  1.2450E+00    5.2920E+00
  1.2550E+00    5.2920E+00
  1.2650E+00    5.2921E+00
  1.2750E+00    5.2921E+00
  1.2850E+00    5.2921E+00
  1.2950E+00    5.2922E+00
  1.3050E+00    5.2922E+00
  1.3150E+00    5.2922E+00
  1.3250E+00    5.2923E+00
  1.3350E+00    5.2923E+00
  1.3450E+00    5.2923E+00
  1.3550E+00    5.2924E+00
  1.3650E+00    5.2924E+00
  1.3750E+00    5.2924E+00
  1.3850E+00    5.2924E+00
  1.3950E+00    5.2925E+00
  1.4050E+00    5.2925E+00
  1.4150E+00    5.2925E+00
  1.4250E+00    5.2925E+00
  1.4350E+00    5.2925E+00
  1.4450E+00    5.2925E+00
  1.4550E+00    5.2926E+00
  1.4650E+00    5.2926E+00
  1.4750E+00    5.2926E+00
  1.4850E+00    5.2926E+00
  1.4950E+00    5.2926E+00
  1.5050E+00    5.2926E+00
  1.5150E+00    5.2926E+00
  1.5250E+00    5.2926E+00
  1.5350E+00    5.2926E+00
  1.5450E+00    5.2926E+00
  1.5550E+00    5.2926E+00
  1.5650E+00    5.2927E+00
  1.5750E+00    5.2927E+00
  1.5850E+00    5.2927E+00
  1.5950E+00    5.2927E+00
  1.6050E+00    5.2927E+00
  1.6150E+00    5.2927E+00
  1.6250E+00    5.2927E+00
  1.6350E+00    5.2927E+00
  1.6450E+00    5.2927E+00
  1.6550E+00    5.2927E+00
  1.6650E+00    5.2927E+00
  1.6750E+00    5.2927E+00
  1.6850E+00    5.2927E+00
  1.6950E+00    5.2927E+00
  1.7050E+00    5.2927E+00
  1.7150E+00    5.2927E+00
  1.7250E+00    5.2927E+00
  1.7350E+00    5.2927E+00
  1.7450E+00    5.2927E+00
  1.7550E+00    5.2927E+00
  1.7650E+00    5.2927E+00
  1.7750E+00    5.2927E+00
  1.7850E+00    5.2927E+00
  1.7950E+00    5.2927E+00
  1.8050E+00    5.2927E+00
  1.8150E+00    5.2927E+00
  1.8250E+00    5.2927E+00
  1.8350E+00    5.2927E+00
  1.8450E+00    5.2927E+00
  1.8550E+00    5.2927E+00
  1.8650E+00    5.2927E+00
  1.8750E+00    5.2927E+00
  1.8850E+00    5.2927E+00
  1.8950E+00    5.2927E+00
  1.9050E+00    5.2927E+00
  1.9150E+00    5.2927E+00
  1.9250E+00    5.2927E+00
  1.9350E+00    5.2926E+00
  1.9450E+00    5.2926E+00
  1.9550E+00    5.2926E+00
  1.9650E+00    5.2926E+00
  1.9750E+00    5.2926E+00
  1.9850E+00    5.2926E+00
  1.9950E+00    5.2926E+00
  2.0050E+00    5.2926E+00
  2.0150E+00    5.2926E+00
  2.0250E+00    5.2926E+00
  2.0350E+00    5.2926E+00
  2.0450E+00    5.2926E+00
  2.0550E+00    5.2926E+00
  2.0650E+00    5.2926E+00
  2.0750E+00    5.2926E+00
  2.0850E+00    5.2926E+00
  2.0950E+00    5.2926E+00
  2.1050E+00    5.2926E+00
  2.1150E+00    5.2926E+00
  2.1250E+00    5.2926E+00
  2.1350E+00    5.2926E+00
  2.1450E+00    5.2926E+00
  2.1550E+00    5.2926E+00
  2.1650E+00    5.2926E+00
  2.1750E+00    5.2926E+00
  2.1850E+00    5.2926E+00
  2.1950E+00    5.2926E+00
  2.2050E+00    5.2926E+00
  2.2150E+00    5.2926E+00
  2.2250E+00    5.2926E+00
  2.2350E+00    5.2926E+00
  2.2450E+00    5.2926E+00
  2.2550E+00    5.2926E+00
  2.2650E+00    5.2926E+00
  2.2750E+00    5.2926E+00
  2.2850E+00    5.2926E+00
  2.2950E+00    5.2926E+00
  2.3050E+00    5.2926E+00
  2.3150E+00    5.2926E+00
  2.3250E+00    5.2926E+00
  2.3350E+00    5.2926E+00
  2.3450E+00    5.2926E+00
  2.3550E+00    5.2926E+00
  2.3650E+00    5.2926E+00
  2.3750E+00    5.2926E+00
  2.3850E+00    5.2926E+00
  2.3950E+00    5.2926E+00
  2.4050E+00    5.2926E+00
  2.4150E+00    5.2926E+00
  2.4250E+00    5.2926E+00
  2.4350E+00    5.2926E+00
  2.4450E+00    5.2926E+00
  2.4550E+00    5.2926E+00
  2.4650E+00    5.2926E+00
  2.4750E+00    5.2926E+00
  2.4850E+00    5.2926E+00
  2.4950E+00    5.2926E+00
  2.5050E+00    5.2926E+00
  2.5150E+00    5.2926E+00
  2.5250E+00    5.2926E+00
  2.5350E+00    5.2926E+00
  2.5450E+00    5.2926E+00
  2.5550E+00    5.2926E+00
  2.5650E+00    5.2926E+00
  2.5750E+00    5.2926E+00
  2.5850E+00    5.2926E+00
  2.5950E+00    5.2926E+00
  2.6050E+00    5.2926E+00
  2.6150E+00    5.2926E+00
  2.6250E+00    5.2925E+00
  2.6350E+00    5.2925E+00
  2.6450E+00    5.2925E+00
  2.6550E+00    5.2925E+00
  2.6650E+00    5.2925E+00
  2.6750E+00    5.2925E+00
  2.6850E+00    5.2925E+00
  2.6950E+00    5.2925E+00
  2.7050E+00    5.2925E+00
  2.7150E+00    5.2925E+00
  2.7250E+00    5.2925E+00
  2.7350E+00    5.2925E+00
  2.7450E+00    5.2925E+00
  2.7550E+00    5.2925E+00
