# Time          3.5000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       1.0500E-01       5.4235E+00      -5.4051E+00      -4.7201E+00      -3.9189E+00      -3.7372E+00      -4.6990E+00      -5.0850E+00      -3.0948E+00      -7.1863E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.0782E+00      -8.5066E+00      -6.8017E+00      -7.4999E+00      -1.0478E+01      -5.6183E+00      -1.7119E+01      -7.5130E+00      -7.7291E+00      -9.5838E+00      -9.2247E+00      -7.1180E+00      -1.2400E+01      -6.9020E+00      -1.1074E+01      -1.2490E+01      -8.5478E+00      -1.0461E+01      -1.1037E+01      -8.3892E+00      -1.1564E+01      -8.5791E+00      -1.3125E+01      -8.5967E+00
       1.1500E-01       5.4861E+00      -5.4677E+00      -4.7145E+00      -3.9185E+00      -3.7366E+00      -4.6990E+00      -5.0513E+00      -3.0946E+00      -7.4140E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.1808E+00      -8.4841E+00      -6.9669E+00      -7.4994E+00      -1.0478E+01      -5.5500E+00      -1.6960E+01      -7.5531E+00      -7.7916E+00      -9.4876E+00      -9.2247E+00      -7.1176E+00      -1.2377E+01      -6.9018E+00      -1.0978E+01      -1.2427E+01      -8.4853E+00      -1.0330E+01      -1.0906E+01      -8.3204E+00      -1.1433E+01      -8.5104E+00      -1.2994E+01      -8.5282E+00
       1.2500E-01       5.5531E+00      -5.5347E+00      -4.7092E+00      -3.9180E+00      -3.7361E+00      -4.6990E+00      -5.0188E+00      -3.0944E+00      -7.6538E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.2865E+00      -8.4558E+00      -7.1396E+00      -7.4989E+00      -1.0477E+01      -5.4778E+00      -1.6794E+01      -7.5918E+00      -7.8587E+00      -9.3881E+00      -9.2247E+00      -7.1172E+00      -1.2349E+01      -6.9016E+00      -1.0878E+01      -1.2360E+01      -8.4182E+00      -1.0191E+01      -1.0766E+01      -8.2477E+00      -1.1293E+01      -8.4378E+00      -1.2854E+01      -8.4558E+00
       1.3500E-01       5.6218E+00      -5.6033E+00      -4.7045E+00      -3.9176E+00      -3.7356E+00      -4.6990E+00      -4.9878E+00      -3.0942E+00      -7.8961E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.3916E+00      -8.4235E+00      -7.3133E+00      -7.4983E+00      -1.0476E+01      -5.4044E+00      -1.6625E+01      -7.6282E+00      -7.9273E+00      -9.2885E+00      -9.2247E+00      -7.1168E+00      -1.2316E+01      -6.9014E+00      -1.0778E+01      -1.2291E+01      -8.3496E+00      -1.0049E+01      -1.0623E+01      -8.1737E+00      -1.1151E+01      -8.3639E+00      -1.2712E+01      -8.3822E+00
       1.4500E-01       5.6891E+00      -5.6707E+00      -4.7002E+00      -3.9171E+00      -3.7350E+00      -4.6990E+00      -4.9584E+00      -3.0940E+00      -8.1316E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.4924E+00      -8.3897E+00      -7.4815E+00      -7.4978E+00      -1.0476E+01      -5.3327E+00      -1.6461E+01      -7.6617E+00      -7.9947E+00      -9.1917E+00      -9.2247E+00      -7.1163E+00      -1.2282E+01      -6.9012E+00      -1.0681E+01      -1.2223E+01      -8.2822E+00      -9.9099E+00      -1.0484E+01      -8.1016E+00      -1.1012E+01      -8.2918E+00      -1.2573E+01      -8.3103E+00
       1.5500E-01       5.7530E+00      -5.7345E+00      -4.6963E+00      -3.9166E+00      -3.7345E+00      -4.6990E+00      -4.9307E+00      -3.0938E+00      -8.3536E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.5868E+00      -8.3564E+00      -7.6397E+00      -7.4974E+00      -1.0476E+01      -5.2650E+00      -1.6306E+01      -7.6923E+00      -8.0585E+00      -9.1002E+00      -9.2247E+00      -7.1159E+00      -1.2249E+01      -6.9010E+00      -1.0590E+01      -1.2159E+01      -8.2184E+00      -9.7783E+00      -1.0352E+01      -8.0334E+00      -1.0880E+01      -8.2236E+00      -1.2441E+01      -8.2424E+00
       1.6500E-01       5.8120E+00      -5.7936E+00      -4.6928E+00      -3.9162E+00      -3.7340E+00      -4.6990E+00      -4.9048E+00      -3.0936E+00      -8.5586E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.6737E+00      -8.3252E+00      -7.7856E+00      -7.4969E+00      -1.0475E+01      -5.2024E+00      -1.6162E+01      -7.7201E+00      -8.1176E+00      -9.0152E+00      -9.2247E+00      -7.1154E+00      -1.2217E+01      -6.9008E+00      -1.0504E+01      -1.2100E+01      -8.1593E+00      -9.6567E+00      -1.0230E+01      -7.9704E+00      -1.0757E+01      -8.1606E+00      -1.2319E+01      -8.1797E+00
       1.7500E-01       5.8658E+00      -5.8474E+00      -4.6898E+00      -3.9157E+00      -3.7336E+00      -4.6990E+00      -4.8806E+00      -3.0934E+00      -8.7454E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.7529E+00      -8.2968E+00      -7.9186E+00      -7.4964E+00      -1.0475E+01      -5.1456E+00      -1.6030E+01      -7.7455E+00      -8.1714E+00      -8.9371E+00      -9.2248E+00      -7.1150E+00      -1.2189E+01      -6.9006E+00      -1.0426E+01      -1.2046E+01      -8.1055E+00      -9.5460E+00      -1.0119E+01      -7.9130E+00      -1.0646E+01      -8.1033E+00      -1.2208E+01      -8.1227E+00
       1.8500E-01       5.9143E+00      -5.8958E+00      -4.6871E+00      -3.9152E+00      -3.7331E+00      -4.6990E+00      -4.8581E+00      -3.0932E+00      -8.9139E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.8246E+00      -8.2716E+00      -8.0387E+00      -7.4960E+00      -1.0474E+01      -5.0944E+00      -1.5911E+01      -7.7688E+00      -8.2198E+00      -8.8662E+00      -9.2248E+00      -7.1145E+00      -1.2163E+01      -6.9005E+00      -1.0355E+01      -1.1997E+01      -8.0571E+00      -9.4464E+00      -1.0019E+01      -7.8615E+00      -1.0546E+01      -8.0518E+00      -1.2109E+01      -8.0714E+00
       1.9500E-01       5.9575E+00      -5.9390E+00      -4.6848E+00      -3.9148E+00      -3.7326E+00      -4.6990E+00      -4.8374E+00      -3.0930E+00      -9.0645E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.8889E+00      -8.2496E+00      -8.1462E+00      -7.4956E+00      -1.0474E+01      -5.0490E+00      -1.5804E+01      -7.7899E+00      -8.2630E+00      -8.8024E+00      -9.2248E+00      -7.1141E+00      -1.2141E+01      -6.9003E+00      -1.0291E+01      -1.1954E+01      -8.0139E+00      -9.3578E+00      -9.9296E+00      -7.8156E+00      -1.0457E+01      -8.0059E+00      -1.2020E+01      -8.0258E+00
