# Time          1.0000E+00
# Units: Bars
    Distance        CO2(g)          
       1.8650E+00       6.2035E-04
       1.8750E+00       6.2037E-04
       1.8850E+00       6.2039E-04
       1.8950E+00       6.2041E-04
       1.9050E+00       6.2043E-04
       1.9150E+00       6.2045E-04
       1.9250E+00       6.2047E-04
       1.9350E+00       6.2049E-04
       1.9450E+00       6.2050E-04
       1.9550E+00       6.2052E-04
       1.9650E+00       6.2054E-04
       1.9750E+00       6.2056E-04
       1.9850E+00       6.2058E-04
       1.9950E+00       6.2059E-04
       2.0050E+00       6.2061E-04
       2.0150E+00       6.2063E-04
       2.0250E+00       6.2065E-04
       2.0350E+00       6.2066E-04
       2.0450E+00       6.2068E-04
       2.0550E+00       6.2070E-04
       2.0650E+00       6.2071E-04
       2.0750E+00       6.2073E-04
       2.0850E+00       6.2075E-04
       2.0950E+00       6.2076E-04
       2.1050E+00       6.2078E-04
       2.1150E+00       6.2079E-04
       2.1250E+00       6.2081E-04
       2.1350E+00       6.2083E-04
       2.1450E+00       6.2084E-04
       2.1550E+00       6.2086E-04
       2.1650E+00       6.2087E-04
       2.1750E+00       6.2089E-04
       2.1850E+00       6.2090E-04
       2.1950E+00       6.2091E-04
       2.2050E+00       6.2093E-04
       2.2150E+00       6.2094E-04
       2.2250E+00       6.2096E-04
       2.2350E+00       6.2097E-04
       2.2450E+00       6.2098E-04
       2.2550E+00       6.2100E-04
       2.2650E+00       6.2101E-04
       2.2750E+00       6.2102E-04
       2.2850E+00       6.2104E-04
       2.2950E+00       6.2105E-04
       2.3050E+00       6.2106E-04
       2.3150E+00       6.2107E-04
       2.3250E+00       6.2109E-04
       2.3350E+00       6.2110E-04
       2.3450E+00       6.2111E-04
       2.3550E+00       6.2112E-04
       2.3650E+00       6.2113E-04
       2.3750E+00       6.2114E-04
       2.3850E+00       6.2116E-04
       2.3950E+00       6.2117E-04
       2.4050E+00       6.2118E-04
       2.4150E+00       6.2119E-04
       2.4250E+00       6.2120E-04
       2.4350E+00       6.2121E-04
       2.4450E+00       6.2122E-04
       2.4550E+00       6.2123E-04
       2.4650E+00       6.2124E-04
       2.4750E+00       6.2125E-04
       2.4850E+00       6.2126E-04
       2.4950E+00       6.2127E-04
       2.5050E+00       6.2128E-04
       2.5150E+00       6.2129E-04
       2.5250E+00       6.2129E-04
       2.5350E+00       6.2130E-04
       2.5450E+00       6.2131E-04
       2.5550E+00       6.2132E-04
       2.5650E+00       6.2133E-04
       2.5750E+00       6.2133E-04
       2.5850E+00       6.2134E-04
       2.5950E+00       6.2135E-04
       2.6050E+00       6.2136E-04
       2.6150E+00       6.2136E-04
       2.6250E+00       6.2137E-04
       2.6350E+00       6.2138E-04
       2.6450E+00       6.2138E-04
       2.6550E+00       6.2139E-04
       2.6650E+00       6.2140E-04
       2.6750E+00       6.2140E-04
       2.6850E+00       6.2141E-04
       2.6950E+00       6.2141E-04
       2.7050E+00       6.2142E-04
       2.7150E+00       6.2143E-04
       2.7250E+00       6.2143E-04
       2.7350E+00       6.2144E-04
       2.7450E+00       6.2144E-04
       2.7550E+00       6.2144E-04
       2.7650E+00       6.2145E-04
       2.7750E+00       6.2145E-04
       2.7850E+00       6.2146E-04
       2.7950E+00       6.2146E-04
       2.8050E+00       6.2146E-04
