# Time          4.0000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       7.6500E-01       1.8438E-06       1.3763E-07       3.7669E-05       1.8606E-05
       7.7500E-01       1.8438E-06       1.3763E-07       3.7669E-05       1.8606E-05
       7.8500E-01       1.8438E-06       1.3763E-07       3.7669E-05       1.8606E-05
       7.9500E-01       1.8438E-06       1.3763E-07       3.7669E-05       1.8606E-05
       8.0500E-01       1.8438E-06       1.3762E-07       3.7669E-05       1.8606E-05
       8.1500E-01       1.8438E-06       1.3762E-07       3.7669E-05       1.8606E-05
       8.2500E-01       1.8438E-06       1.3762E-07       3.7669E-05       1.8606E-05
       8.3500E-01       1.8438E-06       1.3761E-07       3.7669E-05       1.8606E-05
       8.4500E-01       1.8438E-06       1.3761E-07       3.7669E-05       1.8606E-05
       8.5500E-01       1.8438E-06       1.3761E-07       3.7669E-05       1.8606E-05
       8.6500E-01       1.8438E-06       1.3761E-07       3.7669E-05       1.8606E-05
       8.7500E-01       1.8438E-06       1.3760E-07       3.7669E-05       1.8606E-05
       8.8500E-01       1.8438E-06       1.3760E-07       3.7669E-05       1.8606E-05
       8.9500E-01       1.8438E-06       1.3759E-07       3.7669E-05       1.8606E-05
       9.0500E-01       1.8437E-06       1.3759E-07       3.7669E-05       1.8606E-05
       9.1500E-01       1.8437E-06       1.3759E-07       3.7669E-05       1.8606E-05
       9.2500E-01       1.8437E-06       1.3758E-07       3.7669E-05       1.8606E-05
       9.3500E-01       1.8437E-06       1.3758E-07       3.7669E-05       1.8606E-05
       9.4500E-01       1.8437E-06       1.3757E-07       3.7669E-05       1.8606E-05
       9.5500E-01       1.8437E-06       1.3757E-07       3.7669E-05       1.8606E-05
       9.6500E-01       1.8437E-06       1.3756E-07       3.7669E-05       1.8606E-05
       9.7500E-01       1.8437E-06       1.3755E-07       3.7669E-05       1.8606E-05
       9.8500E-01       1.8437E-06       1.3755E-07       3.7669E-05       1.8606E-05
       9.9500E-01       1.8437E-06       1.3754E-07       3.7669E-05       1.8606E-05
       1.0050E+00       1.8437E-06       1.3754E-07       3.7669E-05       1.8606E-05
       1.0150E+00       1.8437E-06       1.3753E-07       3.7669E-05       1.8606E-05
       1.0250E+00       1.8437E-06       1.3752E-07       3.7669E-05       1.8606E-05
       1.0350E+00       1.8437E-06       1.3751E-07       3.7669E-05       1.8606E-05
       1.0450E+00       1.8437E-06       1.3750E-07       3.7669E-05       1.8606E-05
       1.0550E+00       1.8437E-06       1.3750E-07       3.7669E-05       1.8606E-05
       1.0650E+00       1.8437E-06       1.3749E-07       3.7669E-05       1.8606E-05
       1.0750E+00       1.8437E-06       1.3748E-07       3.7669E-05       1.8606E-05
       1.0850E+00       1.8437E-06       1.3747E-07       3.7669E-05       1.8606E-05
       1.0950E+00       1.8437E-06       1.3746E-07       3.7669E-05       1.8606E-05
       1.1050E+00       1.8437E-06       1.3744E-07       3.7669E-05       1.8606E-05
       1.1150E+00       1.8437E-06       1.3743E-07       3.7669E-05       1.8606E-05
       1.1250E+00       1.8437E-06       1.3742E-07       3.7669E-05       1.8606E-05
       1.1350E+00       1.8437E-06       1.3741E-07       3.7669E-05       1.8606E-05
       1.1450E+00       1.8437E-06       1.3739E-07       3.7669E-05       1.8606E-05
       1.1550E+00       1.8437E-06       1.3738E-07       3.7669E-05       1.8606E-05
       1.1650E+00       1.8436E-06       1.3736E-07       3.7669E-05       1.8606E-05
       1.1750E+00       1.8436E-06       1.3735E-07       3.7669E-05       1.8606E-05
       1.1850E+00       1.8436E-06       1.3733E-07       3.7669E-05       1.8606E-05
       1.1950E+00       1.8436E-06       1.3731E-07       3.7669E-05       1.8606E-05
       1.2050E+00       1.8436E-06       1.3729E-07       3.7669E-05       1.8606E-05
       1.2150E+00       1.8436E-06       1.3728E-07       3.7669E-05       1.8606E-05
       1.2250E+00       1.8436E-06       1.3726E-07       3.7669E-05       1.8606E-05
       1.2350E+00       1.8436E-06       1.3723E-07       3.7669E-05       1.8606E-05
       1.2450E+00       1.8436E-06       1.3721E-07       3.7669E-05       1.8606E-05
       1.2550E+00       1.8436E-06       1.3719E-07       3.7669E-05       1.8606E-05
       1.2650E+00       1.8436E-06       1.3717E-07       3.7669E-05       1.8606E-05
       1.2750E+00       1.8436E-06       1.3714E-07       3.7669E-05       1.8606E-05
       1.2850E+00       1.8435E-06       1.3711E-07       3.7669E-05       1.8606E-05
       1.2950E+00       1.8435E-06       1.3709E-07       3.7669E-05       1.8606E-05
       1.3050E+00       1.8435E-06       1.3706E-07       3.7669E-05       1.8606E-05
       1.3150E+00       1.8435E-06       1.3703E-07       3.7669E-05       1.8606E-05
       1.3250E+00       1.8435E-06       1.3700E-07       3.7669E-05       1.8606E-05
       1.3350E+00       1.8435E-06       1.3696E-07       3.7669E-05       1.8606E-05
       1.3450E+00       1.8435E-06       1.3693E-07       3.7669E-05       1.8606E-05
       1.3550E+00       1.8434E-06       1.3689E-07       3.7669E-05       1.8606E-05
       1.3650E+00       1.8434E-06       1.3686E-07       3.7669E-05       1.8606E-05
       1.3750E+00       1.8434E-06       1.3682E-07       3.7669E-05       1.8606E-05
       1.3850E+00       1.8434E-06       1.3678E-07       3.7669E-05       1.8606E-05
       1.3950E+00       1.8434E-06       1.3674E-07       3.7669E-05       1.8606E-05
       1.4050E+00       1.8434E-06       1.3669E-07       3.7669E-05       1.8606E-05
