# Time          1.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       5.0000E-03       4.9397E+00      -4.9213E+00      -4.8083E+00      -3.9210E+00      -3.7443E+00      -4.6991E+00      -5.9387E+00      -3.0969E+00      -6.3390E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.1984E+00      -9.5946E+00      -6.4381E+00      -7.5069E+00      -1.0485E+01      -6.1903E+00      -1.8941E+01      -8.1171E+00      -7.2452E+00      -1.0921E+01      -9.2247E+00      -7.1201E+00      -1.3490E+01      -6.9040E+00      -1.2414E+01      -1.2976E+01      -9.0317E+00      -1.1517E+01      -1.2100E+01      -8.9682E+00      -1.2622E+01      -9.1532E+00      -1.4183E+01      -9.1707E+00
       1.5000E-02       5.0312E+00      -5.0128E+00      -4.7964E+00      -3.9210E+00      -3.7434E+00      -4.6993E+00      -5.5980E+00      -3.0967E+00      -6.1738E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.8503E+00      -9.0634E+00      -6.1815E+00      -7.5061E+00      -1.0484E+01      -6.0869E+00      -1.8417E+01      -7.6774E+00      -7.3367E+00      -1.0489E+01      -9.2249E+00      -7.1201E+00      -1.2958E+01      -6.9038E+00      -1.1981E+01      -1.2884E+01      -8.9402E+00      -1.1322E+01      -1.1904E+01      -8.8641E+00      -1.2427E+01      -9.0497E+00      -1.3988E+01      -9.0672E+00
       2.5000E-02       5.1033E+00      -5.0849E+00      -4.7853E+00      -3.9209E+00      -3.7427E+00      -4.6996E+00      -5.4460E+00      -3.0965E+00      -6.1500E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.6823E+00      -8.7513E+00      -6.0856E+00      -7.5054E+00      -1.0484E+01      -6.0037E+00      -1.8121E+01      -7.4374E+00      -7.4088E+00      -1.0265E+01      -9.2253E+00      -7.1200E+00      -1.2646E+01      -6.9037E+00      -1.1757E+01      -1.2812E+01      -8.8681E+00      -1.1167E+01      -1.1748E+01      -8.7802E+00      -1.2272E+01      -8.9665E+00      -1.3832E+01      -8.9839E+00
       3.5000E-02       5.1517E+00      -5.1333E+00      -4.7750E+00      -3.9207E+00      -3.7421E+00      -4.7000E+00      -5.3625E+00      -3.0964E+00      -6.1921E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6275E+00      -8.5996E+00      -6.0792E+00      -7.5048E+00      -1.0483E+01      -5.9450E+00      -1.7940E+01      -7.3342E+00      -7.4573E+00      -1.0133E+01      -9.2257E+00      -7.1199E+00      -1.2494E+01      -6.9035E+00      -1.1625E+01      -1.2763E+01      -8.8197E+00      -1.1060E+01      -1.1640E+01      -8.7208E+00      -1.2165E+01      -8.9076E+00      -1.3725E+01      -8.9249E+00
       4.5000E-02       5.1855E+00      -5.1671E+00      -4.7654E+00      -3.9205E+00      -3.7415E+00      -4.7006E+00      -5.3077E+00      -3.0962E+00      -6.2705E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6384E+00      -8.5429E+00      -6.1239E+00      -7.5043E+00      -1.0482E+01      -5.9015E+00      -1.7818E+01      -7.3112E+00      -7.4911E+00      -1.0045E+01      -9.2262E+00      -7.1196E+00      -1.2438E+01      -6.9034E+00      -1.1536E+01      -1.2729E+01      -8.7859E+00      -1.0982E+01      -1.1563E+01      -8.6768E+00      -1.2087E+01      -8.8639E+00      -1.3647E+01      -8.8814E+00
       5.5000E-02       5.2149E+00      -5.1965E+00      -4.7564E+00      -3.9201E+00      -3.7410E+00      -4.7012E+00      -5.2641E+00      -3.0961E+00      -6.3736E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6827E+00      -8.5285E+00      -6.1976E+00      -7.5037E+00      -1.0482E+01      -5.8632E+00      -1.7716E+01      -7.3262E+00      -7.5204E+00      -9.9717E+00      -9.2269E+00      -7.1193E+00      -1.2423E+01      -6.9033E+00      -1.1463E+01      -1.2700E+01      -8.7565E+00      -1.0915E+01      -1.1494E+01      -8.6379E+00      -1.2019E+01      -8.8252E+00      -1.3580E+01      -8.8429E+00
       6.5000E-02       5.2460E+00      -5.2276E+00      -4.7480E+00      -3.9197E+00      -3.7404E+00      -4.7019E+00      -5.2249E+00      -3.0959E+00      -6.4978E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.7448E+00      -8.5283E+00      -6.2907E+00      -7.5032E+00      -1.0481E+01      -5.8237E+00      -1.7614E+01      -7.3571E+00      -7.5515E+00      -9.9013E+00      -9.2276E+00      -7.1188E+00      -1.2423E+01      -6.9031E+00      -1.1393E+01      -1.2668E+01      -8.7254E+00      -1.0844E+01      -1.1423E+01      -8.5979E+00      -1.1948E+01      -8.7853E+00      -1.3509E+01      -8.8033E+00
       7.5000E-02       5.2820E+00      -5.2636E+00      -4.7402E+00      -3.9191E+00      -3.7398E+00      -4.7028E+00      -5.1873E+00      -3.0958E+00      -6.6431E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8180E+00      -8.5296E+00      -6.4000E+00      -7.5026E+00      -1.0481E+01      -5.7799E+00      -1.7505E+01      -7.3944E+00      -7.5875E+00      -9.8278E+00      -9.2285E+00      -7.1183E+00      -1.2424E+01      -6.9030E+00      -1.1319E+01      -1.2632E+01      -8.6894E+00      -1.0764E+01      -1.1343E+01      -8.5535E+00      -1.1868E+01      -8.7409E+00      -1.3429E+01      -8.7593E+00
       8.5000E-02       5.3247E+00      -5.3062E+00      -4.7330E+00      -3.9185E+00      -3.7392E+00      -4.7039E+00      -5.1508E+00      -3.0957E+00      -6.8109E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.9005E+00      -8.5268E+00      -6.5251E+00      -7.5020E+00      -1.0480E+01      -5.7300E+00      -1.7383E+01      -7.4342E+00      -7.6302E+00      -9.7486E+00      -9.2296E+00      -7.1177E+00      -1.2421E+01      -6.9028E+00      -1.1240E+01      -1.2589E+01      -8.6467E+00      -1.0672E+01      -1.1250E+01      -8.5030E+00      -1.1775E+01      -8.6905E+00      -1.3336E+01      -8.7093E+00
       9.5000E-02       5.3748E+00      -5.3564E+00      -4.7263E+00      -3.9179E+00      -3.7386E+00      -4.7052E+00      -5.1150E+00      -3.0955E+00      -7.0023E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.9915E+00      -8.5173E+00      -6.6663E+00      -7.5013E+00      -1.0479E+01      -5.6731E+00      -1.7247E+01      -7.4750E+00      -7.6804E+00      -9.6626E+00      -9.2308E+00      -7.1170E+00      -1.2411E+01      -6.9027E+00      -1.1154E+01      -1.2539E+01      -8.5965E+00      -1.0565E+01      -1.1142E+01      -8.4455E+00      -1.1667E+01      -8.6330E+00      -1.3229E+01      -8.6523E+00
