# Time          4.5000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       5.0000E-03      -1.2643E+01      -2.0647E+00      -1.0033E+03
       1.5000E-02      -1.0998E+01      -5.0805E-01      -1.0033E+03
       2.5000E-02      -1.0148E+01       2.7818E-01      -1.0033E+03
       3.5000E-02      -9.7079E+00       6.5661E-01      -1.0033E+03
       4.5000E-02      -9.4830E+00       8.1592E-01      -1.0033E+03
       5.5000E-02      -9.3517E+00       8.7528E-01      -1.0033E+03
       6.5000E-02      -9.2539E+00       8.9320E-01      -1.0033E+03
       7.5000E-02      -9.1637E+00       8.9439E-01      -1.0033E+03
       8.5000E-02      -9.0705E+00       8.8848E-01      -1.0033E+03
       9.5000E-02      -8.9698E+00       8.7905E-01      -1.0033E+03
       1.0500E-01      -8.8606E+00       8.6749E-01      -1.0033E+03
       1.1500E-01      -8.7433E+00       8.5484E-01      -1.0032E+03
       1.2500E-01      -8.6202E+00       8.4238E-01      -1.0032E+03
       1.3500E-01      -8.4947E+00       8.3151E-01      -1.0032E+03
       1.4500E-01      -8.3706E+00       8.2312E-01      -1.0032E+03
       1.5500E-01      -8.2513E+00       8.1726E-01      -1.0032E+03
       1.6500E-01      -8.1392E+00       8.1340E-01      -1.0032E+03
       1.7500E-01      -8.0357E+00       8.1094E-01      -1.0032E+03
       1.8500E-01      -7.9412E+00       8.0936E-01      -1.0032E+03
       1.9500E-01      -7.8560E+00       8.0834E-01      -1.0032E+03
       2.0500E-01      -7.7805E+00       8.0766E-01      -1.0032E+03
       2.1500E-01      -7.7151E+00       8.0719E-01      -1.0032E+03
       2.2500E-01      -7.6611E+00       8.0686E-01      -1.0032E+03
       2.3500E-01      -7.6208E+00       8.0634E-01      -1.0032E+03
       2.4500E-01      -7.6066E+00       7.9408E-01      -1.0032E+03
       2.5500E-01      -8.1290E+00       9.8600E-02      -1.0032E+03
       2.6500E-01      -8.1965E+00       8.7649E-03      -1.0032E+03
       2.7500E-01      -8.2025E+00       7.4593E-04      -1.0032E+03
       2.8500E-01      -8.2031E+00       6.3235E-05      -1.0032E+03
       2.9500E-01      -8.2031E+00       5.3593E-06      -1.0032E+03
       3.0500E-01      -8.2032E+00       4.5460E-07      -1.0032E+03
       3.1500E-01      -8.2032E+00       3.8976E-08      -1.0032E+03
       3.2500E-01      -8.2032E+00       3.7512E-09      -1.0032E+03
       3.3500E-01      -8.2033E+00       7.6066E-10      -1.0032E+03
       3.4500E-01      -8.2033E+00       5.0103E-10      -1.0032E+03
       3.5500E-01      -8.2033E+00       4.7230E-10      -1.0032E+03
       3.6500E-01      -8.2033E+00       4.6269E-10      -1.0032E+03
       3.7500E-01      -8.2033E+00       4.5431E-10      -1.0032E+03
       3.8500E-01      -8.2033E+00       4.4576E-10      -1.0032E+03
       3.9500E-01      -8.2034E+00       4.3699E-10      -1.0032E+03
       4.0500E-01      -8.2034E+00       4.2809E-10      -1.0032E+03
       4.1500E-01      -8.2034E+00       4.1917E-10      -1.0032E+03
       4.2500E-01      -8.2034E+00       4.1035E-10      -1.0032E+03
       4.3500E-01      -8.2034E+00       4.0171E-10      -1.0032E+03
       4.4500E-01      -8.2034E+00       3.9336E-10      -1.0032E+03
       4.5500E-01      -8.2034E+00       3.8537E-10      -1.0032E+03
       4.6500E-01      -8.2034E+00       3.7782E-10      -1.0032E+03
       4.7500E-01      -8.2033E+00       3.7073E-10      -1.0032E+03
       4.8500E-01      -8.2033E+00       3.6418E-10      -1.0032E+03
       4.9500E-01      -8.2033E+00       3.5817E-10      -1.0032E+03
       5.0500E-01      -8.2033E+00       3.5270E-10      -1.0032E+03
       5.1500E-01      -8.2033E+00       3.4778E-10      -1.0032E+03
       5.2500E-01      -8.2033E+00       3.4339E-10      -1.0032E+03
       5.3500E-01      -8.2033E+00       3.3950E-10      -1.0032E+03
       5.4500E-01      -8.2032E+00       3.3609E-10      -1.0032E+03
       5.5500E-01      -8.2032E+00       3.3310E-10      -1.0032E+03
       5.6500E-01      -8.2032E+00       3.3050E-10      -1.0032E+03
       5.7500E-01      -8.2032E+00       3.2824E-10      -1.0032E+03
       5.8500E-01      -8.2032E+00       3.2629E-10      -1.0032E+03
       5.9500E-01      -8.2032E+00       3.2461E-10      -1.0032E+03
       6.0500E-01      -8.2031E+00       3.2314E-10      -1.0032E+03
       6.1500E-01      -8.2031E+00       3.2186E-10      -1.0032E+03
       6.2500E-01      -8.2031E+00       3.2072E-10      -1.0032E+03
       6.3500E-01      -8.2031E+00       3.1971E-10      -1.0032E+03
       6.4500E-01      -8.2031E+00       3.1879E-10      -1.0032E+03
       6.5500E-01      -8.2030E+00       3.1794E-10      -1.0032E+03
       6.6500E-01      -8.2030E+00       3.1715E-10      -1.0032E+03
       6.7500E-01      -8.2030E+00       3.1638E-10      -1.0032E+03
       6.8500E-01      -8.2030E+00       3.1564E-10      -1.0032E+03
       6.9500E-01      -8.2030E+00       3.1490E-10      -1.0032E+03
       7.0500E-01      -8.2029E+00       3.1415E-10      -1.0032E+03
       7.1500E-01      -8.2029E+00       3.1340E-10      -1.0032E+03
       7.2500E-01      -8.2029E+00       3.1262E-10      -1.0032E+03
       7.3500E-01      -8.2029E+00       3.1181E-10      -1.0032E+03
       7.4500E-01      -8.2029E+00       3.1098E-10      -1.0032E+03
       7.5500E-01      -8.2028E+00       3.1010E-10      -1.0032E+03
       7.6500E-01      -8.2028E+00       3.0919E-10      -1.0032E+03
       7.7500E-01      -8.2028E+00       3.0823E-10      -1.0032E+03
       7.8500E-01      -8.2028E+00       3.0722E-10      -1.0032E+03
       7.9500E-01      -8.2028E+00       3.0615E-10      -1.0032E+03
       8.0500E-01      -8.2027E+00       3.0504E-10      -1.0032E+03
       8.1500E-01      -8.2027E+00       3.0385E-10      -1.0032E+03
       8.2500E-01      -8.2027E+00       3.0260E-10      -1.0032E+03
       8.3500E-01      -8.2027E+00       3.0128E-10      -1.0032E+03
       8.4500E-01      -8.2027E+00       2.9990E-10      -1.0032E+03
       8.5500E-01      -8.2026E+00       2.9843E-10      -1.0032E+03
       8.6500E-01      -8.2026E+00       2.9689E-10      -1.0032E+03
       8.7500E-01      -8.2026E+00       2.9526E-10      -1.0032E+03
       8.8500E-01      -8.2026E+00       2.9354E-10      -1.0032E+03
       8.9500E-01      -8.2026E+00       2.9174E-10      -1.0032E+03
       9.0500E-01      -8.2025E+00       2.8982E-10      -1.0032E+03
       9.1500E-01      -8.2025E+00       2.8780E-10      -1.0032E+03
       9.2500E-01      -8.2025E+00       2.8567E-10      -1.0032E+03
       9.3500E-01      -8.2025E+00       2.8343E-10      -1.0032E+03
       9.4500E-01      -8.2025E+00       2.8107E-10      -1.0032E+03
       9.5500E-01      -8.2024E+00       2.7857E-10      -1.0032E+03
       9.6500E-01      -8.2024E+00       2.7594E-10      -1.0032E+03
       9.7500E-01      -8.2024E+00       2.7317E-10      -1.0032E+03
       9.8500E-01      -8.2024E+00       2.7025E-10      -1.0032E+03
       9.9500E-01      -8.2024E+00       2.6717E-10      -1.0032E+03
       1.0050E+00      -8.2023E+00       2.6393E-10      -1.0032E+03
       1.0150E+00      -8.2023E+00       2.6050E-10      -1.0032E+03
       1.0250E+00      -8.2023E+00       2.5691E-10      -1.0032E+03
       1.0350E+00      -8.2023E+00       2.5311E-10      -1.0032E+03
       1.0450E+00      -8.2023E+00       2.4912E-10      -1.0032E+03
       1.0550E+00      -8.2022E+00       2.4490E-10      -1.0032E+03
