# Time          5.0000E+00
    Distance         pH
  1.8750E+00    5.9523E+00
  1.8850E+00    5.9483E+00
  1.8950E+00    5.9443E+00
  1.9050E+00    5.9402E+00
  1.9150E+00    5.9360E+00
  1.9250E+00    5.9318E+00
  1.9350E+00    5.9275E+00
  1.9450E+00    5.9231E+00
  1.9550E+00    5.9187E+00
  1.9650E+00    5.9142E+00
  1.9750E+00    5.9097E+00
  1.9850E+00    5.9050E+00
  1.9950E+00    5.9003E+00
  2.0050E+00    5.8956E+00
  2.0150E+00    5.8908E+00
  2.0250E+00    5.8859E+00
  2.0350E+00    5.8809E+00
  2.0450E+00    5.8759E+00
  2.0550E+00    5.8708E+00
  2.0650E+00    5.8657E+00
  2.0750E+00    5.8605E+00
  2.0850E+00    5.8552E+00
  2.0950E+00    5.8499E+00
  2.1050E+00    5.8445E+00
  2.1150E+00    5.8391E+00
  2.1250E+00    5.8336E+00
  2.1350E+00    5.8280E+00
  2.1450E+00    5.8224E+00
  2.1550E+00    5.8168E+00
  2.1650E+00    5.8110E+00
  2.1750E+00    5.8053E+00
  2.1850E+00    5.7995E+00
  2.1950E+00    5.7936E+00
  2.2050E+00    5.7877E+00
  2.2150E+00    5.7817E+00
  2.2250E+00    5.7757E+00
  2.2350E+00    5.7696E+00
  2.2450E+00    5.7636E+00
  2.2550E+00    5.7574E+00
  2.2650E+00    5.7513E+00
  2.2750E+00    5.7451E+00
  2.2850E+00    5.7388E+00
  2.2950E+00    5.7326E+00
  2.3050E+00    5.7263E+00
  2.3150E+00    5.7200E+00
  2.3250E+00    5.7136E+00
  2.3350E+00    5.7073E+00
  2.3450E+00    5.7009E+00
  2.3550E+00    5.6945E+00
  2.3650E+00    5.6881E+00
  2.3750E+00    5.6817E+00
  2.3850E+00    5.6753E+00
  2.3950E+00    5.6688E+00
  2.4050E+00    5.6624E+00
  2.4150E+00    5.6560E+00
  2.4250E+00    5.6496E+00
  2.4350E+00    5.6432E+00
  2.4450E+00    5.6368E+00
  2.4550E+00    5.6304E+00
  2.4650E+00    5.6240E+00
  2.4750E+00    5.6177E+00
  2.4850E+00    5.6114E+00
  2.4950E+00    5.6051E+00
  2.5050E+00    5.5988E+00
  2.5150E+00    5.5926E+00
  2.5250E+00    5.5864E+00
  2.5350E+00    5.5803E+00
  2.5450E+00    5.5742E+00
  2.5550E+00    5.5681E+00
  2.5650E+00    5.5621E+00
  2.5750E+00    5.5561E+00
  2.5850E+00    5.5502E+00
  2.5950E+00    5.5444E+00
  2.6050E+00    5.5386E+00
  2.6150E+00    5.5328E+00
  2.6250E+00    5.5272E+00
  2.6350E+00    5.5216E+00
  2.6450E+00    5.5160E+00
  2.6550E+00    5.5105E+00
  2.6650E+00    5.5051E+00
  2.6750E+00    5.4998E+00
  2.6850E+00    5.4945E+00
  2.6950E+00    5.4894E+00
  2.7050E+00    5.4843E+00
  2.7150E+00    5.4792E+00
  2.7250E+00    5.4743E+00
  2.7350E+00    5.4694E+00
  2.7450E+00    5.4646E+00
  2.7550E+00    5.4599E+00
  2.7650E+00    5.4553E+00
  2.7750E+00    5.4508E+00
  2.7850E+00    5.4463E+00
  2.7950E+00    5.4419E+00
  2.8050E+00    5.4377E+00
  2.8150E+00    5.4335E+00
  2.8250E+00    5.4293E+00
  2.8350E+00    5.4253E+00
  2.8450E+00    5.4214E+00
  2.8550E+00    5.4175E+00
  2.8650E+00    5.4137E+00
  2.8750E+00    5.4101E+00
  2.8850E+00    5.4065E+00
  2.8950E+00    5.4030E+00
  2.9050E+00    5.3996E+00
  2.9150E+00    5.3963E+00
  2.9250E+00    5.3932E+00
  2.9350E+00    5.3902E+00
  2.9450E+00    5.3873E+00
  2.9550E+00    5.3847E+00
  2.9650E+00    5.3823E+00
  2.9750E+00    5.3802E+00
  2.9850E+00    5.3787E+00
  2.9950E+00    5.3777E+00
