# Time          5.0000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.9218E-12       2.9588E-13       7.9849E-11       3.9566E-11
       1.5000E-02       3.9211E-12       2.9568E-13       7.9898E-11       3.9517E-11
       2.5000E-02       3.9204E-12       2.9549E-13       7.9946E-11       3.9470E-11
       3.5000E-02       3.9198E-12       2.9530E-13       7.9991E-11       3.9426E-11
       4.5000E-02       3.9191E-12       2.9511E-13       8.0033E-11       3.9384E-11
       5.5000E-02       3.9185E-12       2.9493E-13       8.0072E-11       3.9346E-11
       6.5000E-02       3.9179E-12       2.9474E-13       8.0107E-11       3.9312E-11
       7.5000E-02       3.9174E-12       2.9456E-13       8.0138E-11       3.9281E-11
       8.5000E-02       3.9168E-12       2.9438E-13       8.0165E-11       3.9254E-11
       9.5000E-02       3.9163E-12       2.9420E-13       8.0189E-11       3.9231E-11
       1.0500E-01       3.9158E-12       2.9402E-13       8.0209E-11       3.9211E-11
       1.1500E-01       3.9153E-12       2.9385E-13       8.0226E-11       3.9194E-11
       1.2500E-01       3.9149E-12       2.9368E-13       8.0240E-11       3.9181E-11
       1.3500E-01       3.9144E-12       2.9351E-13       8.0250E-11       3.9170E-11
       1.4500E-01       3.9140E-12       2.9334E-13       8.0259E-11       3.9162E-11
       1.5500E-01       3.9136E-12       2.9318E-13       8.0265E-11       3.9156E-11
       1.6500E-01       3.9132E-12       2.9302E-13       8.0270E-11       3.9152E-11
       1.7500E-01       3.9129E-12       2.9286E-13       8.0273E-11       3.9149E-11
       1.8500E-01       3.9125E-12       2.9270E-13       8.0275E-11       3.9147E-11
       1.9500E-01       3.9122E-12       2.9256E-13       8.0276E-11       3.9146E-11
       2.0500E-01       3.9119E-12       2.9242E-13       8.0275E-11       3.9147E-11
       2.1500E-01       3.9116E-12       2.9229E-13       8.0273E-11       3.9149E-11
       2.2500E-01       3.9114E-12       2.9219E-13       8.0269E-11       3.9154E-11
       2.3500E-01       3.9113E-12       2.9210E-13       8.0262E-11       3.9161E-11
       2.4500E-01       3.9112E-12       2.9206E-13       8.0250E-11       3.9173E-11
       2.5500E-01       1.8431E-06       1.3763E-07       3.7807E-05       1.8468E-05
       2.6500E-01       1.8431E-06       1.3763E-07       3.7798E-05       1.8476E-05
       2.7500E-01       1.8432E-06       1.3763E-07       3.7790E-05       1.8485E-05
       2.8500E-01       1.8432E-06       1.3764E-07       3.7782E-05       1.8493E-05
       2.9500E-01       1.8433E-06       1.3764E-07       3.7774E-05       1.8501E-05
       3.0500E-01       1.8433E-06       1.3764E-07       3.7766E-05       1.8509E-05
       3.1500E-01       1.8434E-06       1.3765E-07       3.7758E-05       1.8516E-05
       3.2500E-01       1.8434E-06       1.3765E-07       3.7751E-05       1.8523E-05
       3.3500E-01       1.8434E-06       1.3765E-07       3.7744E-05       1.8530E-05
       3.4500E-01       1.8435E-06       1.3765E-07       3.7737E-05       1.8537E-05
       3.5500E-01       1.8435E-06       1.3766E-07       3.7731E-05       1.8544E-05
       3.6500E-01       1.8435E-06       1.3766E-07       3.7725E-05       1.8550E-05
       3.7500E-01       1.8436E-06       1.3766E-07       3.7719E-05       1.8555E-05
       3.8500E-01       1.8436E-06       1.3766E-07       3.7714E-05       1.8561E-05
       3.9500E-01       1.8436E-06       1.3766E-07       3.7709E-05       1.8566E-05
       4.0500E-01       1.8436E-06       1.3767E-07       3.7704E-05       1.8570E-05
       4.1500E-01       1.8437E-06       1.3767E-07       3.7700E-05       1.8575E-05
       4.2500E-01       1.8437E-06       1.3767E-07       3.7696E-05       1.8579E-05
       4.3500E-01       1.8437E-06       1.3767E-07       3.7692E-05       1.8582E-05
       4.4500E-01       1.8437E-06       1.3767E-07       3.7689E-05       1.8585E-05
       4.5500E-01       1.8437E-06       1.3767E-07       3.7686E-05       1.8588E-05
       4.6500E-01       1.8437E-06       1.3767E-07       3.7684E-05       1.8591E-05
       4.7500E-01       1.8437E-06       1.3767E-07       3.7681E-05       1.8593E-05
       4.8500E-01       1.8438E-06       1.3767E-07       3.7679E-05       1.8595E-05
       4.9500E-01       1.8438E-06       1.3767E-07       3.7678E-05       1.8597E-05
       5.0500E-01       1.8438E-06       1.3768E-07       3.7676E-05       1.8598E-05
       5.1500E-01       1.8438E-06       1.3768E-07       3.7675E-05       1.8600E-05
       5.2500E-01       1.8438E-06       1.3768E-07       3.7674E-05       1.8601E-05
       5.3500E-01       1.8438E-06       1.3768E-07       3.7673E-05       1.8602E-05
       5.4500E-01       1.8438E-06       1.3768E-07       3.7672E-05       1.8602E-05
       5.5500E-01       1.8438E-06       1.3768E-07       3.7671E-05       1.8603E-05
       5.6500E-01       1.8438E-06       1.3768E-07       3.7671E-05       1.8604E-05
       5.7500E-01       1.8438E-06       1.3768E-07       3.7670E-05       1.8604E-05
       5.8500E-01       1.8438E-06       1.3768E-07       3.7670E-05       1.8604E-05
       5.9500E-01       1.8438E-06       1.3768E-07       3.7670E-05       1.8605E-05
       6.0500E-01       1.8438E-06       1.3768E-07       3.7669E-05       1.8605E-05
       6.1500E-01       1.8438E-06       1.3768E-07       3.7669E-05       1.8605E-05
       6.2500E-01       1.8438E-06       1.3768E-07       3.7669E-05       1.8605E-05
