# Time          1.0000E+00
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.8857E-12       2.9014E-13       7.9854E-11       3.9511E-11
       1.5000E-02       3.8091E-12       2.7781E-13       7.9922E-11       3.9487E-11
       2.5000E-02       3.7172E-12       2.6407E-13       7.9963E-11       3.9500E-11
       3.5000E-02       3.6144E-12       2.5035E-13       7.9999E-11       3.9522E-11
       4.5000E-02       3.5057E-12       2.3780E-13       8.0035E-11       3.9546E-11
       5.5000E-02       3.3959E-12       2.2712E-13       8.0071E-11       3.9570E-11
       6.5000E-02       3.2888E-12       2.1860E-13       8.0106E-11       3.9593E-11
       7.5000E-02       3.1875E-12       2.1215E-13       8.0138E-11       3.9615E-11
       8.5000E-02       3.0939E-12       2.0753E-13       8.0168E-11       3.9634E-11
       9.5000E-02       3.0093E-12       2.0439E-13       8.0194E-11       3.9652E-11
       1.0500E-01       2.9340E-12       2.0238E-13       8.0217E-11       3.9667E-11
       1.1500E-01       2.8683E-12       2.0120E-13       8.0237E-11       3.9681E-11
       1.2500E-01       2.8116E-12       2.0058E-13       8.0255E-11       3.9692E-11
       1.3500E-01       2.7633E-12       2.0033E-13       8.0269E-11       3.9702E-11
       1.4500E-01       2.7228E-12       2.0031E-13       8.0281E-11       3.9710E-11
       1.5500E-01       2.6891E-12       2.0042E-13       8.0291E-11       3.9717E-11
       1.6500E-01       2.6615E-12       2.0060E-13       8.0300E-11       3.9722E-11
       1.7500E-01       2.6389E-12       2.0079E-13       8.0306E-11       3.9727E-11
       1.8500E-01       2.6207E-12       2.0097E-13       8.0312E-11       3.9730E-11
       1.9500E-01       2.6062E-12       2.0114E-13       8.0316E-11       3.9733E-11
       2.0500E-01       2.5947E-12       2.0128E-13       8.0319E-11       3.9735E-11
       2.1500E-01       2.5856E-12       2.0139E-13       8.0322E-11       3.9737E-11
       2.2500E-01       2.5786E-12       2.0147E-13       8.0324E-11       3.9739E-11
       2.3500E-01       2.5732E-12       2.0153E-13       8.0326E-11       3.9740E-11
       2.4500E-01       2.5693E-12       2.0157E-13       8.0326E-11       3.9741E-11
       2.5500E-01       1.2103E-06       9.5055E-08       3.7872E-05       1.8740E-05
       2.6500E-01       1.2092E-06       9.5063E-08       3.7872E-05       1.8741E-05
       2.7500E-01       1.2083E-06       9.5065E-08       3.7872E-05       1.8741E-05
       2.8500E-01       1.2075E-06       9.5062E-08       3.7872E-05       1.8742E-05
       2.9500E-01       1.2068E-06       9.5056E-08       3.7872E-05       1.8742E-05
