# Time          5.0000E+00
# Units: Bars
    Distance        CO2(g)          
       6.6500E-01       6.1480E-04
       6.7500E-01       6.1480E-04
       6.8500E-01       6.1480E-04
       6.9500E-01       6.1480E-04
       7.0500E-01       6.1480E-04
       7.1500E-01       6.1480E-04
       7.2500E-01       6.1481E-04
       7.3500E-01       6.1481E-04
       7.4500E-01       6.1481E-04
       7.5500E-01       6.1481E-04
       7.6500E-01       6.1481E-04
       7.7500E-01       6.1481E-04
       7.8500E-01       6.1481E-04
       7.9500E-01       6.1482E-04
       8.0500E-01       6.1482E-04
       8.1500E-01       6.1482E-04
       8.2500E-01       6.1482E-04
       8.3500E-01       6.1482E-04
       8.4500E-01       6.1482E-04
       8.5500E-01       6.1482E-04
       8.6500E-01       6.1482E-04
       8.7500E-01       6.1483E-04
       8.8500E-01       6.1483E-04
       8.9500E-01       6.1483E-04
       9.0500E-01       6.1483E-04
       9.1500E-01       6.1483E-04
       9.2500E-01       6.1483E-04
       9.3500E-01       6.1483E-04
       9.4500E-01       6.1483E-04
       9.5500E-01       6.1484E-04
       9.6500E-01       6.1484E-04
       9.7500E-01       6.1484E-04
       9.8500E-01       6.1484E-04
       9.9500E-01       6.1484E-04
       1.0050E+00       6.1484E-04
       1.0150E+00       6.1484E-04
       1.0250E+00       6.1484E-04
       1.0350E+00       6.1485E-04
       1.0450E+00       6.1485E-04
       1.0550E+00       6.1485E-04
       1.0650E+00       6.1485E-04
       1.0750E+00       6.1485E-04
       1.0850E+00       6.1485E-04
       1.0950E+00       6.1485E-04
       1.1050E+00       6.1486E-04
       1.1150E+00       6.1486E-04
       1.1250E+00       6.1486E-04
       1.1350E+00       6.1486E-04
       1.1450E+00       6.1486E-04
       1.1550E+00       6.1486E-04
       1.1650E+00       6.1486E-04
       1.1750E+00       6.1486E-04
       1.1850E+00       6.1487E-04
       1.1950E+00       6.1487E-04
       1.2050E+00       6.1487E-04
       1.2150E+00       6.1487E-04
       1.2250E+00       6.1487E-04
       1.2350E+00       6.1487E-04
       1.2450E+00       6.1487E-04
       1.2550E+00       6.1487E-04
       1.2650E+00       6.1487E-04
       1.2750E+00       6.1488E-04
       1.2850E+00       6.1488E-04
       1.2950E+00       6.1488E-04
       1.3050E+00       6.1488E-04
       1.3150E+00       6.1488E-04
       1.3250E+00       6.1488E-04
       1.3350E+00       6.1488E-04
       1.3450E+00       6.1488E-04
       1.3550E+00       6.1489E-04
       1.3650E+00       6.1489E-04
       1.3750E+00       6.1489E-04
       1.3850E+00       6.1489E-04
       1.3950E+00       6.1489E-04
       1.4050E+00       6.1489E-04
       1.4150E+00       6.1489E-04
       1.4250E+00       6.1489E-04
       1.4350E+00       6.1490E-04
       1.4450E+00       6.1490E-04
       1.4550E+00       6.1490E-04
       1.4650E+00       6.1490E-04
       1.4750E+00       6.1490E-04
       1.4850E+00       6.1490E-04
       1.4950E+00       6.1490E-04
       1.5050E+00       6.1490E-04
       1.5150E+00       6.1490E-04
       1.5250E+00       6.1491E-04
       1.5350E+00       6.1491E-04
       1.5450E+00       6.1491E-04
       1.5550E+00       6.1491E-04
       1.5650E+00       6.1491E-04
       1.5750E+00       6.1491E-04
       1.5850E+00       6.1491E-04
       1.5950E+00       6.1491E-04
       1.6050E+00       6.1492E-04
       1.6150E+00       6.1492E-04
       1.6250E+00       6.1492E-04
       1.6350E+00       6.1492E-04
       1.6450E+00       6.1492E-04
       1.6550E+00       6.1492E-04
