# Time          3.5000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       5.0000E-03      -1.2637E+01      -2.0595E+00      -1.0033E+03
       1.5000E-02      -1.0991E+01      -5.0168E-01      -1.0033E+03
       2.5000E-02      -1.0142E+01       2.8392E-01      -1.0033E+03
       3.5000E-02      -9.7023E+00       6.6097E-01      -1.0033E+03
       4.5000E-02      -9.4781E+00       8.1917E-01      -1.0033E+03
       5.5000E-02      -9.3469E+00       8.7788E-01      -1.0033E+03
       6.5000E-02      -9.2489E+00       8.9544E-01      -1.0033E+03
       7.5000E-02      -9.1581E+00       8.9642E-01      -1.0033E+03
       8.5000E-02      -9.0641E+00       8.9035E-01      -1.0033E+03
       9.5000E-02      -8.9625E+00       8.8076E-01      -1.0033E+03
       1.0500E-01      -8.8522E+00       8.6906E-01      -1.0033E+03
       1.1500E-01      -8.7339E+00       8.5628E-01      -1.0032E+03
       1.2500E-01      -8.6099E+00       8.4377E-01      -1.0032E+03
       1.3500E-01      -8.4837E+00       8.3295E-01      -1.0032E+03
       1.4500E-01      -8.3591E+00       8.2467E-01      -1.0032E+03
       1.5500E-01      -8.2397E+00       8.1893E-01      -1.0032E+03
       1.6500E-01      -8.1276E+00       8.1517E-01      -1.0032E+03
       1.7500E-01      -8.0241E+00       8.1278E-01      -1.0032E+03
       1.8500E-01      -7.9298E+00       8.1126E-01      -1.0032E+03
       1.9500E-01      -7.8448E+00       8.1026E-01      -1.0032E+03
       2.0500E-01      -7.7695E+00       8.0960E-01      -1.0032E+03
       2.1500E-01      -7.7043E+00       8.0915E-01      -1.0032E+03
       2.2500E-01      -7.6504E+00       8.0883E-01      -1.0032E+03
       2.3500E-01      -7.6102E+00       8.0832E-01      -1.0032E+03
       2.4500E-01      -7.5960E+00       7.9616E-01      -1.0032E+03
       2.5500E-01      -8.1202E+00       9.8297E-02      -1.0032E+03
       2.6500E-01      -8.1875E+00       8.6730E-03      -1.0032E+03
       2.7500E-01      -8.1935E+00       7.3266E-04      -1.0032E+03
       2.8500E-01      -8.1940E+00       6.1653E-05      -1.0032E+03
       2.9500E-01      -8.1941E+00       5.1868E-06      -1.0032E+03
