# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  6.88900E-02                5.09722192563654E+00   3.38916325641491E-06   7.57130720848434E-05   9.78908432155133E-05   1.47017043785050E-04
  1.14852E-01                5.15782162581508E+00   2.28721437639363E-06   6.07510814386727E-05   9.78915512958879E-05   1.47018152162252E-04
  2.06777E-01                5.22391406031676E+00   1.55931583250485E-06   4.40564540762292E-05   9.78923385020381E-05   1.47019359758741E-04
  2.90627E-01                5.25461767022925E+00   1.53818283386794E-06   3.51825094726084E-05   9.78925497750440E-05   1.47019501884912E-04
  4.06816E-01                5.27401414604128E+00   1.67483460121875E-06   2.90292302014287E-05   9.78921793177929E-05   1.47018731222257E-04
  5.19770E-01                5.28348051523142E+00   1.77301900270138E-06   2.59972301186416E-05   9.78917512823818E-05   1.47017897159451E-04
  6.48382E-01                5.28862402567855E+00   1.83301821415193E-06   2.43611350990769E-05   9.78915131824058E-05   1.47017434945751E-04
  8.02596E-01                5.29129300814436E+00   1.86540105217375E-06   2.35201850158545E-05   9.78915805571153E-05   1.47017477381673E-04
  9.76803E-01                5.29250139820792E+00   1.88040816160259E-06   2.31412947199090E-05   9.78934067771572E-05   1.47020189756617E-04
  1.00000E+00                5.29263773166611E+00   1.88209245350067E-06   2.30987745702731E-05   9.78936680253652E-05   1.47020573173079E-04
  1.04639E+00                5.29283194961854E+00   1.88453796306945E-06   2.30380459681249E-05   9.78944090746981E-05   1.47021685089891E-04
  1.13841E+00                5.29304270222341E+00   1.88737186142982E-06   2.29714476620263E-05   9.78970562892533E-05   1.47025660131781E-04
  1.27074E+00                5.29317463976905E+00   1.88982114851577E-06   2.29273885452780E-05   9.79064716813484E-05   1.47039803928530E-04
  1.45841E+00                5.29320800223907E+00   1.89443604596800E-06   2.29044414585747E-05   9.79541148663138E-05   1.47111373496996E-04
  1.68165E+00                5.29311552624764E+00   1.91029829029654E-06   2.28954490910103E-05   9.81429314045633E-05   1.47395042916033E-04
  1.95215E+00                5.29292029562608E+00   1.96732076488568E-06   2.28925924393436E-05   9.88151828405675E-05   1.48405047655197E-04
  2.25499E+00                5.29363102620171E+00   2.09866383461389E-06   2.28961933381001E-05   1.00536484155087E-04   1.50991717776288E-04
  2.60276E+00                5.30142369978139E+00   2.25454556289910E-06   2.29333052870398E-05   1.04232380478445E-04   1.56546736075081E-04
  2.98850E+00                5.33579521619793E+00   2.05940130407153E-06   2.30996557963234E-05   1.10471293140376E-04   1.65927539135903E-04
  3.42324E+00                5.43000741804992E+00   9.00130772174712E-07   2.36256155491504E-05   1.19383920051361E-04   1.79334857258999E-04
  3.90493E+00                5.59004893730181E+00  -1.33522994827670E-06   2.48259162491838E-05   1.29890973712291E-04   1.95152742156111E-04
  4.40493E+00                5.75529129260020E+00  -3.93156493078206E-06   2.66309506404400E-05   1.39858866690501E-04   2.10176314627723E-04
  4.90493E+00                5.87992217848435E+00  -6.27073350754703E-06   2.85308085255919E-05   1.47952272811684E-04   2.22389697834804E-04
  5.00000E+00                5.90034045052294E+00  -6.70427218712871E-06   2.88995406592593E-05   1.49455435433990E-04   2.24697508674127E-04
  5.19013E+00                5.93665945874730E+00  -7.50282039376023E-06   2.95938243677684E-05   1.52055922523751E-04   2.28614026219382E-04
  5.52094E+00                5.98511271787326E+00  -8.65394838900315E-06   3.06205693054026E-05   1.55610155596685E-04   2.33971234813167E-04
  5.98554E+00                6.02999595502976E+00  -9.81904644572822E-06   3.16810002424311E-05   1.58987173266741E-04   2.39069826465232E-04
  6.48554E+00                6.05958494521758E+00  -1.06455926146943E-05   3.24420361489759E-05   1.61236416663312E-04   2.42474399867498E-04
  6.98554E+00                6.07711589940758E+00  -1.11590664664741E-05   3.29178976921400E-05   1.62538922777287E-04   2.44449342324015E-04
  7.48554E+00                6.08714958797628E+00  -1.14613898655046E-05   3.31992614105835E-05   1.63230790339094E-04   2.45500236165197E-04
  7.98554E+00                6.09266839352783E+00  -1.16304356699851E-05   3.33570203608543E-05   1.63536714723885E-04   2.45967004613809E-04
  8.48554E+00                6.09556206319308E+00  -1.17198761374750E-05   3.34406326339187E-05   1.63589646791654E-04   2.46051220873448E-04
  8.98554E+00                6.09698263809373E+00  -1.17639638399179E-05   3.34818886401475E-05   1.63458168891954E-04   2.45857216575461E-04
  9.48554E+00                6.09760493736308E+00  -1.17832538267998E-05   3.34999462105967E-05   1.63170712205379E-04   2.45428567168496E-04
  9.98554E+00                6.09780897544048E+00  -1.17894637067789E-05   3.35057526908395E-05   1.62733826774002E-04   2.44775660256606E-04
  1.00000E+01                6.09781782145822E+00  -1.17896323239295E-05   3.35058989808038E-05   1.62720758404774E-04   2.44755729612570E-04
  1.00289E+01                6.09782779005186E+00  -1.17899296890180E-05   3.35061745274976E-05   1.62694737205350E-04   2.44716824304902E-04
  1.00868E+01                6.09784290153261E+00  -1.17903778696969E-05   3.35065931045811E-05   1.62640720754127E-04   2.44636060378516E-04
  1.02025E+01                6.09785759819178E+00  -1.17907929183433E-05   3.35069807333919E-05   1.62524775029955E-04   2.44462690784518E-04
  1.04339E+01                6.09784446590145E+00  -1.17902984889641E-05   3.35065139459602E-05   1.62260719332254E-04   2.44067827718340E-04
  1.08968E+01                6.09773163760352E+00  -1.17865908248134E-05   3.35030268591398E-05   1.61598416689315E-04   2.43077370974095E-04
  1.13968E+01                6.09756491601112E+00  -1.17810309446936E-05   3.34977890316403E-05   1.60722703766726E-04   2.41767241040714E-04
  1.18968E+01                6.09737680621293E+00  -1.17746965535672E-05   3.34918165977786E-05   1.59689164991886E-04   2.40220775430724E-04
  1.23968E+01                6.09717872309068E+00  -1.17679651098050E-05   3.34854651834171E-05   1.58506335783022E-04   2.38450819087992E-04
  1.28968E+01                6.09697687794154E+00  -1.17610364980986E-05   3.34789227123183E-05   1.57188381591831E-04   2.36478561952531E-04
  1.33968E+01                6.09677489747297E+00  -1.17540327258340E-05   3.34723042719507E-05   1.55753736213577E-04   2.34331578527092E-04
  1.38968E+01                6.09657491335715E+00  -1.17470310922911E-05   3.34656831801831E-05   1.54223526234872E-04   2.32041471378752E-04
  1.43968E+01                6.09637784327069E+00  -1.17400722008671E-05   3.34590984336300E-05   1.52620242397914E-04   2.29641884801373E-04
  1.48968E+01                6.09618359265503E+00  -1.17331657250151E-05   3.34525600728944E-05   1.50966713119510E-04   2.27166971890261E-04
