# Time          1.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       5.0000E-03       4.9399E+00      -4.9215E+00      -4.8083E+00      -3.9183E+00      -3.7409E+00      -4.7057E+00      -5.9377E+00      -3.0991E+00      -6.3384E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.1974E+00      -9.5932E+00      -6.4373E+00      -7.5036E+00      -1.0482E+01      -6.1900E+00      -1.8939E+01      -8.1159E+00      -7.2455E+00      -1.0920E+01      -9.2314E+00      -7.1175E+00      -1.3491E+01      -6.9063E+00      -1.2415E+01      -1.2978E+01      -9.0315E+00      -1.1517E+01      -1.2096E+01      -8.9647E+00      -1.2619E+01      -9.1502E+00      -1.4184E+01      -9.1727E+00
       1.5000E-02       5.0317E+00      -5.0133E+00      -4.7964E+00      -3.9110E+00      -3.7330E+00      -4.7208E+00      -5.5971E+00      -3.1040E+00      -6.1732E+00      -2.9856E+00      -3.6991E+00      -3.6992E+00      -6.8490E+00      -9.0611E+00      -6.1806E+00      -7.4959E+00      -1.0474E+01      -6.0863E+00      -1.8415E+01      -7.6757E+00      -7.3374E+00      -1.0488E+01      -9.2467E+00      -7.1104E+00      -1.2964E+01      -6.9113E+00      -1.1987E+01      -1.2891E+01      -8.9396E+00      -1.1321E+01      -1.1893E+01      -8.8531E+00      -1.2417E+01      -9.0394E+00      -1.3994E+01      -9.0740E+00
       2.5000E-02       5.1040E+00      -5.0855E+00      -4.7853E+00      -3.9020E+00      -3.7239E+00      -4.7384E+00      -5.4453E+00      -3.1102E+00      -6.1497E+00      -2.9857E+00      -3.6992E+00      -3.6994E+00      -6.6812E+00      -8.7489E+00      -6.0850E+00      -7.4871E+00      -1.0466E+01      -6.0029E+00      -1.8118E+01      -7.4357E+00      -7.4098E+00      -1.0264E+01      -9.2645E+00      -7.1016E+00      -1.2658E+01      -6.9177E+00      -1.1770E+01      -1.2825E+01      -8.8674E+00      -1.1165E+01      -1.1728E+01      -8.7608E+00      -1.2252E+01      -8.9471E+00      -1.3844E+01      -8.9969E+00
       3.5000E-02       5.1525E+00      -5.1339E+00      -4.7749E+00      -3.8919E+00      -3.7138E+00      -4.7567E+00      -5.3620E+00      -3.1175E+00      -6.1920E+00      -2.9858E+00      -3.6994E+00      -3.6997E+00      -6.6268E+00      -8.5974E+00      -6.0789E+00      -7.4774E+00      -1.0456E+01      -5.9440E+00      -1.7938E+01      -7.3328E+00      -7.4585E+00      -1.0132E+01      -9.2830E+00      -7.0919E+00      -1.2514E+01      -6.9253E+00      -1.1645E+01      -1.2784E+01      -8.8188E+00      -1.1058E+01      -1.1611E+01      -8.6920E+00      -1.2135E+01      -8.8782E+00      -1.3744E+01      -8.9453E+00
       4.5000E-02       5.1863E+00      -5.1677E+00      -4.7652E+00      -3.8813E+00      -3.7033E+00      -4.7739E+00      -5.3075E+00      -3.1256E+00      -6.2705E+00      -2.9860E+00      -3.6995E+00      -3.7001E+00      -6.6379E+00      -8.5408E+00      -6.1237E+00      -7.4672E+00      -1.0446E+01      -5.9004E+00      -1.7816E+01      -7.3101E+00      -7.4926E+00      -1.0043E+01      -9.3005E+00      -7.0816E+00      -1.2465E+01      -6.9337E+00      -1.1565E+01      -1.2758E+01      -8.7849E+00      -1.0980E+01      -1.1523E+01      -8.6381E+00      -1.2047E+01      -8.8242E+00      -1.3675E+01      -8.9100E+00
       5.5000E-02       5.2157E+00      -5.1971E+00      -4.7562E+00      -3.8706E+00      -3.6926E+00      -4.7887E+00      -5.2642E+00      -3.1342E+00      -6.3734E+00      -2.9863E+00      -3.6998E+00      -3.7006E+00      -6.6823E+00      -8.5264E+00      -6.1974E+00      -7.4569E+00      -1.0436E+01      -5.8620E+00      -1.7713E+01      -7.3251E+00      -7.5223E+00      -9.9707E+00      -9.3156E+00      -7.0713E+00      -1.2459E+01      -6.9426E+00      -1.1501E+01      -1.2737E+01      -8.7555E+00      -1.0912E+01      -1.1445E+01      -8.5891E+00      -1.1969E+01      -8.7752E+00      -1.3616E+01      -8.8802E+00
       6.5000E-02       5.2468E+00      -5.2282E+00      -4.7478E+00      -3.8602E+00      -3.6823E+00      -4.8003E+00      -5.2253E+00      -3.1431E+00      -6.4971E+00      -2.9866E+00      -3.7001E+00      -3.7012E+00      -6.7441E+00      -8.5260E+00      -6.2902E+00      -7.4470E+00      -1.0427E+01      -5.8224E+00      -1.7612E+01      -7.3559E+00      -7.5537E+00      -9.9006E+00      -9.3275E+00      -7.0613E+00      -1.2468E+01      -6.9519E+00      -1.1440E+01      -1.2715E+01      -8.7243E+00      -1.0841E+01      -1.1364E+01      -8.5394E+00      -1.1888E+01      -8.7254E+00      -1.3554E+01      -8.8496E+00
       7.5000E-02       5.2827E+00      -5.2641E+00      -4.7400E+00      -3.8504E+00      -3.6725E+00      -4.8085E+00      -5.1881E+00      -3.1519E+00      -6.6416E+00      -2.9869E+00      -3.7005E+00      -3.7020E+00      -6.8170E+00      -8.5270E+00      -6.3989E+00      -7.4378E+00      -1.0418E+01      -5.7787E+00      -1.7503E+01      -7.3929E+00      -7.5900E+00      -9.8275E+00      -9.3362E+00      -7.0520E+00      -1.2478E+01      -6.9612E+00      -1.1376E+01      -1.2688E+01      -8.6884E+00      -1.0761E+01      -1.1275E+01      -8.4860E+00      -1.1798E+01      -8.6720E+00      -1.3483E+01      -8.8148E+00
       8.5000E-02       5.3251E+00      -5.3064E+00      -4.7328E+00      -3.8412E+00      -3.6634E+00      -4.8136E+00      -5.1520E+00      -3.1604E+00      -6.8079E+00      -2.9874E+00      -3.7009E+00      -3.7029E+00      -6.8987E+00      -8.5240E+00      -6.5229E+00      -7.4293E+00      -1.0410E+01      -5.7290E+00      -1.7382E+01      -7.4323E+00      -7.6329E+00      -9.7490E+00      -9.3419E+00      -7.0435E+00      -1.2483E+01      -6.9702E+00      -1.1306E+01      -1.2654E+01      -8.6459E+00      -1.0669E+01      -1.1174E+01      -8.4274E+00      -1.1697E+01      -8.6133E+00      -1.3400E+01      -8.7737E+00
       9.5000E-02       5.3749E+00      -5.3561E+00      -4.7261E+00      -3.8330E+00      -3.6552E+00      -4.8162E+00      -5.1167E+00      -3.1685E+00      -6.9970E+00      -2.9879E+00      -3.7014E+00      -3.7039E+00      -6.9887E+00      -8.5145E+00      -6.6625E+00      -7.4217E+00      -1.0403E+01      -5.6725E+00      -1.7247E+01      -7.4725E+00      -7.6832E+00      -9.6640E+00      -9.3451E+00      -7.0358E+00      -1.2482E+01      -6.9788E+00      -1.1229E+01      -1.2612E+01      -8.5962E+00      -1.0563E+01      -1.1060E+01      -8.3628E+00      -1.1583E+01      -8.5487E+00      -1.3302E+01      -8.7253E+00
