# Time          1.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       3.1500E-01      -1.1751E-05       3.3468E-05       1.2509E-04       1.8849E-04       1.7270E-05       1.7120E-05       8.0045E-04       1.2509E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.2500E-01      -1.1751E-05       3.3468E-05       1.2520E-04       1.8864E-04       1.7176E-05       1.7121E-05       8.0002E-04       1.2509E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.3500E-01      -1.1752E-05       3.3469E-05       1.2531E-04       1.8879E-04       1.7081E-05       1.7121E-05       7.9958E-04       1.2509E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.4500E-01      -1.1752E-05       3.3469E-05       1.2543E-04       1.8896E-04       1.6986E-05       1.7121E-05       7.9912E-04       1.2509E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.5500E-01      -1.1752E-05       3.3469E-05       1.2555E-04       1.8913E-04       1.6891E-05       1.7121E-05       7.9864E-04       1.2509E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.6500E-01      -1.1752E-05       3.3469E-05       1.2567E-04       1.8930E-04       1.6794E-05       1.7121E-05       7.9815E-04       1.2509E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.7500E-01      -1.1753E-05       3.3470E-05       1.2579E-04       1.8949E-04       1.6698E-05       1.7122E-05       7.9763E-04       1.2508E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.8500E-01      -1.1753E-05       3.3470E-05       1.2592E-04       1.8968E-04       1.6602E-05       1.7122E-05       7.9709E-04       1.2508E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.9500E-01      -1.1753E-05       3.3470E-05       1.2605E-04       1.8987E-04       1.6506E-05       1.7122E-05       7.9653E-04       1.2508E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.0500E-01      -1.1754E-05       3.3471E-05       1.2619E-04       1.9008E-04       1.6409E-05       1.7122E-05       7.9595E-04       1.2508E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.1500E-01      -1.1754E-05       3.3471E-05       1.2633E-04       1.9028E-04       1.6314E-05       1.7122E-05       7.9535E-04       1.2508E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.2500E-01      -1.1754E-05       3.3471E-05       1.2647E-04       1.9050E-04       1.6219E-05       1.7123E-05       7.9473E-04       1.2508E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.3500E-01      -1.1755E-05       3.3471E-05       1.2662E-04       1.9072E-04       1.6124E-05       1.7123E-05       7.9408E-04       1.2508E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.4500E-01      -1.1755E-05       3.3472E-05       1.2677E-04       1.9095E-04       1.6031E-05       1.7123E-05       7.9341E-04       1.2507E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.5500E-01      -1.1755E-05       3.3472E-05       1.2693E-04       1.9118E-04       1.5938E-05       1.7123E-05       7.9272E-04       1.2507E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.6500E-01      -1.1756E-05       3.3472E-05       1.2709E-04       1.9143E-04       1.5847E-05       1.7123E-05       7.9201E-04       1.2507E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.7500E-01      -1.1756E-05       3.3473E-05       1.2726E-04       1.9167E-04       1.5756E-05       1.7124E-05       7.9127E-04       1.2507E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.8500E-01      -1.1756E-05       3.3473E-05       1.2743E-04       1.9193E-04       1.5667E-05       1.7124E-05       7.9051E-04       1.2507E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.9500E-01      -1.1756E-05       3.3473E-05       1.2760E-04       1.9219E-04       1.5580E-05       1.7124E-05       7.8973E-04       1.2507E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.0500E-01      -1.1757E-05       3.3473E-05       1.2778E-04       1.9246E-04       1.5494E-05       1.7124E-05       7.8892E-04       1.2507E-08       1.0343E-03       2.0000E-04       2.0000E-04
