# Time          4.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       1.0500E-01       5.4218E+00      -5.4033E+00      -4.7201E+00      -3.9191E+00      -3.7371E+00      -4.6990E+00      -5.0859E+00      -3.0948E+00      -7.1803E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.0758E+00      -8.5078E+00      -6.7975E+00      -7.4998E+00      -1.0478E+01      -5.6201E+00      -1.7124E+01      -7.5124E+00      -7.7273E+00      -9.5866E+00      -9.2247E+00      -7.1183E+00      -1.2401E+01      -6.9020E+00      -1.1077E+01      -1.2491E+01      -8.5496E+00      -1.0465E+01      -1.1041E+01      -8.3909E+00      -1.1568E+01      -8.5811E+00      -1.3128E+01      -8.5985E+00
       1.1500E-01       5.4840E+00      -5.4655E+00      -4.7145E+00      -3.9187E+00      -3.7365E+00      -4.6990E+00      -5.0523E+00      -3.0946E+00      -7.4070E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.1780E+00      -8.4856E+00      -6.9619E+00      -7.4992E+00      -1.0477E+01      -5.5521E+00      -1.6966E+01      -7.5524E+00      -7.7895E+00      -9.4908E+00      -9.2247E+00      -7.1179E+00      -1.2379E+01      -6.9018E+00      -1.0981E+01      -1.2429E+01      -8.4874E+00      -1.0335E+01      -1.0910E+01      -8.3224E+00      -1.1438E+01      -8.5128E+00      -1.2998E+01      -8.5304E+00
       1.2500E-01       5.5507E+00      -5.5323E+00      -4.7092E+00      -3.9183E+00      -3.7359E+00      -4.6990E+00      -5.0199E+00      -3.0944E+00      -7.6458E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.2834E+00      -8.4575E+00      -7.1340E+00      -7.4987E+00      -1.0477E+01      -5.4802E+00      -1.6800E+01      -7.5910E+00      -7.8563E+00      -9.3916E+00      -9.2247E+00      -7.1175E+00      -1.2350E+01      -6.9016E+00      -1.0882E+01      -1.2362E+01      -8.4207E+00      -1.0196E+01      -1.0771E+01      -8.2499E+00      -1.1299E+01      -8.4405E+00      -1.2859E+01      -8.4582E+00
       1.3500E-01       5.6192E+00      -5.6007E+00      -4.7045E+00      -3.9179E+00      -3.7354E+00      -4.6990E+00      -4.9889E+00      -3.0942E+00      -7.8875E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.3882E+00      -8.4254E+00      -7.3073E+00      -7.4982E+00      -1.0476E+01      -5.4070E+00      -1.6632E+01      -7.6274E+00      -7.9247E+00      -9.2922E+00      -9.2247E+00      -7.1171E+00      -1.2318E+01      -6.9014E+00      -1.0782E+01      -1.2293E+01      -8.3522E+00      -1.0054E+01      -1.0628E+01      -8.1762E+00      -1.1157E+01      -8.3668E+00      -1.2717E+01      -8.3848E+00
       1.4500E-01       5.6864E+00      -5.6679E+00      -4.7002E+00      -3.9174E+00      -3.7349E+00      -4.6990E+00      -4.9596E+00      -3.0940E+00      -8.1226E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.4889E+00      -8.3917E+00      -7.4752E+00      -7.4977E+00      -1.0476E+01      -5.3354E+00      -1.6468E+01      -7.6610E+00      -7.9919E+00      -9.1956E+00      -9.2247E+00      -7.1166E+00      -1.2284E+01      -6.9012E+00      -1.0685E+01      -1.2226E+01      -8.2850E+00      -9.9154E+00      -1.0489E+01      -8.1041E+00      -1.1017E+01      -8.2949E+00      -1.2578E+01      -8.3131E+00
       1.5500E-01       5.7502E+00      -5.7318E+00      -4.6963E+00      -3.9170E+00      -3.7343E+00      -4.6990E+00      -4.9319E+00      -3.0938E+00      -8.3446E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.5833E+00      -8.3585E+00      -7.6334E+00      -7.4972E+00      -1.0475E+01      -5.2677E+00      -1.6313E+01      -7.6915E+00      -8.0557E+00      -9.1041E+00      -9.2247E+00      -7.1162E+00      -1.2251E+01      -6.9010E+00      -1.0593E+01      -1.2162E+01      -8.2212E+00      -9.7838E+00      -1.0357E+01      -8.0360E+00      -1.0885E+01      -8.2267E+00      -1.2447E+01      -8.2452E+00
       1.6500E-01       5.8093E+00      -5.7909E+00      -4.6928E+00      -3.9165E+00      -3.7338E+00      -4.6990E+00      -4.9059E+00      -3.0936E+00      -8.5497E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.6703E+00      -8.3272E+00      -7.7795E+00      -7.4967E+00      -1.0475E+01      -5.2052E+00      -1.6168E+01      -7.7194E+00      -8.1149E+00      -9.0190E+00      -9.2247E+00      -7.1158E+00      -1.2219E+01      -6.9008E+00      -1.0508E+01      -1.2103E+01      -8.1620E+00      -9.6621E+00      -1.0235E+01      -7.9729E+00      -1.0763E+01      -8.1637E+00      -1.2325E+01      -8.1824E+00
       1.7500E-01       5.8632E+00      -5.8447E+00      -4.6898E+00      -3.9160E+00      -3.7334E+00      -4.6990E+00      -4.8817E+00      -3.0934E+00      -8.7367E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.7496E+00      -8.2988E+00      -7.9126E+00      -7.4962E+00      -1.0474E+01      -5.1482E+00      -1.6036E+01      -7.7448E+00      -8.1687E+00      -8.9410E+00      -9.2248E+00      -7.1153E+00      -1.2191E+01      -6.9007E+00      -1.0430E+01      -1.2049E+01      -8.1082E+00      -9.5513E+00      -1.0124E+01      -7.9155E+00      -1.0652E+01      -8.1063E+00      -1.2214E+01      -8.1253E+00
       1.8500E-01       5.9117E+00      -5.8932E+00      -4.6871E+00      -3.9156E+00      -3.7329E+00      -4.6990E+00      -4.8593E+00      -3.0932E+00      -8.9054E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.8213E+00      -8.2735E+00      -8.0328E+00      -7.4958E+00      -1.0474E+01      -5.0970E+00      -1.5917E+01      -7.7681E+00      -8.2173E+00      -8.8700E+00      -9.2248E+00      -7.1149E+00      -1.2165E+01      -6.9005E+00      -1.0359E+01      -1.2000E+01      -8.0597E+00      -9.4516E+00      -1.0024E+01      -7.8639E+00      -1.0552E+01      -8.0547E+00      -1.2114E+01      -8.0740E+00
       1.9500E-01       5.9549E+00      -5.9365E+00      -4.6848E+00      -3.9151E+00      -3.7324E+00      -4.6990E+00      -4.8386E+00      -3.0930E+00      -9.0563E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.8857E+00      -8.2514E+00      -8.1405E+00      -7.4954E+00      -1.0474E+01      -5.0515E+00      -1.5810E+01      -7.7892E+00      -8.2605E+00      -8.8061E+00      -9.2248E+00      -7.1145E+00      -1.2143E+01      -6.9003E+00      -1.0295E+01      -1.1957E+01      -8.0164E+00      -9.3628E+00      -9.9345E+00      -7.8179E+00      -1.0463E+01      -8.0088E+00      -1.2025E+01      -8.0283E+00
