# Time          2.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       5.0000E-03       4.9395E+00      -4.9211E+00      -4.8083E+00      -3.9211E+00      -3.7443E+00      -4.6990E+00      -5.9401E+00      -3.0969E+00      -6.3395E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.1993E+00      -9.5960E+00      -6.4389E+00      -7.5070E+00      -1.0485E+01      -6.1905E+00      -1.8942E+01      -8.1182E+00      -7.2450E+00      -1.0923E+01      -9.2246E+00      -7.1201E+00      -1.3491E+01      -6.9040E+00      -1.2415E+01      -1.2976E+01      -9.0319E+00      -1.1517E+01      -1.2100E+01      -8.9685E+00      -1.2623E+01      -9.1534E+00      -1.4183E+01      -9.1710E+00
       1.5000E-02       5.0307E+00      -5.0123E+00      -4.7964E+00      -3.9210E+00      -3.7435E+00      -4.6990E+00      -5.5994E+00      -3.0966E+00      -6.1739E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.8515E+00      -9.0657E+00      -6.1821E+00      -7.5062E+00      -1.0484E+01      -6.0874E+00      -1.8419E+01      -7.6791E+00      -7.3362E+00      -1.0491E+01      -9.2247E+00      -7.1201E+00      -1.2961E+01      -6.9038E+00      -1.1983E+01      -1.2884E+01      -8.9407E+00      -1.1323E+01      -1.1905E+01      -8.8646E+00      -1.2428E+01      -9.0503E+00      -1.3989E+01      -9.0677E+00
       2.5000E-02       5.1026E+00      -5.0842E+00      -4.7853E+00      -3.9208E+00      -3.7427E+00      -4.6990E+00      -5.4473E+00      -3.0964E+00      -6.1495E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.6832E+00      -8.7535E+00      -6.0858E+00      -7.5054E+00      -1.0483E+01      -6.0044E+00      -1.8123E+01      -7.4390E+00      -7.4081E+00      -1.0267E+01      -9.2247E+00      -7.1200E+00      -1.2648E+01      -6.9036E+00      -1.1759E+01      -1.2812E+01      -8.8688E+00      -1.1168E+01      -1.1750E+01      -8.7808E+00      -1.2273E+01      -8.9672E+00      -1.3833E+01      -8.9845E+00
       3.5000E-02       5.1510E+00      -5.1326E+00      -4.7750E+00      -3.9207E+00      -3.7419E+00      -4.6990E+00      -5.3637E+00      -3.0962E+00      -6.1908E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6277E+00      -8.6013E+00      -6.0787E+00      -7.5046E+00      -1.0483E+01      -5.9457E+00      -1.7943E+01      -7.3351E+00      -7.4565E+00      -1.0135E+01      -9.2247E+00      -7.1198E+00      -1.2496E+01      -6.9034E+00      -1.1627E+01      -1.2764E+01      -8.8204E+00      -1.1061E+01      -1.1642E+01      -8.7214E+00      -1.2166E+01      -8.9083E+00      -1.3726E+01      -8.9256E+00
       4.5000E-02       5.1847E+00      -5.1663E+00      -4.7654E+00      -3.9205E+00      -3.7412E+00      -4.6990E+00      -5.3089E+00      -3.0960E+00      -6.2684E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6379E+00      -8.5441E+00      -6.1226E+00      -7.5039E+00      -1.0482E+01      -5.9024E+00      -1.7821E+01      -7.3116E+00      -7.4902E+00      -1.0047E+01      -9.2247E+00      -7.1196E+00      -1.2439E+01      -6.9032E+00      -1.1538E+01      -1.2730E+01      -8.7867E+00      -1.0984E+01      -1.1564E+01      -8.6773E+00      -1.2089E+01      -8.8647E+00      -1.3649E+01      -8.8820E+00
       5.5000E-02       5.2139E+00      -5.1954E+00      -4.7564E+00      -3.9202E+00      -3.7406E+00      -4.6991E+00      -5.2654E+00      -3.0958E+00      -6.3705E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6816E+00      -8.5295E+00      -6.1955E+00      -7.5033E+00      -1.0481E+01      -5.8642E+00      -1.7719E+01      -7.3262E+00      -7.5194E+00      -9.9740E+00      -9.2247E+00      -7.1193E+00      -1.2424E+01      -6.9030E+00      -1.1465E+01      -1.2700E+01      -8.7575E+00      -1.0917E+01      -1.1496E+01      -8.6385E+00      -1.2021E+01      -8.8263E+00      -1.3581E+01      -8.8436E+00
       6.5000E-02       5.2446E+00      -5.2262E+00      -4.7480E+00      -3.9199E+00      -3.7399E+00      -4.6991E+00      -5.2263E+00      -3.0956E+00      -6.4934E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.7430E+00      -8.5293E+00      -6.2877E+00      -7.5027E+00      -1.0481E+01      -5.8251E+00      -1.7618E+01      -7.3568E+00      -7.5502E+00      -9.9041E+00      -9.2248E+00      -7.1190E+00      -1.2423E+01      -6.9028E+00      -1.1395E+01      -1.2669E+01      -8.7268E+00      -1.0847E+01      -1.1426E+01      -8.5988E+00      -1.1951E+01      -8.7868E+00      -1.3511E+01      -8.8043E+00
       7.5000E-02       5.2802E+00      -5.2618E+00      -4.7402E+00      -3.9195E+00      -3.7393E+00      -4.6991E+00      -5.1889E+00      -3.0954E+00      -6.6372E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8157E+00      -8.5308E+00      -6.3959E+00      -7.5021E+00      -1.0480E+01      -5.7817E+00      -1.7510E+01      -7.3938E+00      -7.5857E+00      -9.8312E+00      -9.2248E+00      -7.1186E+00      -1.2425E+01      -6.9026E+00      -1.1322E+01      -1.2634E+01      -8.6912E+00      -1.0768E+01      -1.1346E+01      -8.5548E+00      -1.1872E+01      -8.7431E+00      -1.3432E+01      -8.7607E+00
       8.5000E-02       5.3223E+00      -5.3039E+00      -4.7330E+00      -3.9190E+00      -3.7388E+00      -4.6992E+00      -5.1525E+00      -3.0952E+00      -6.8031E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8973E+00      -8.5283E+00      -6.5196E+00      -7.5015E+00      -1.0480E+01      -5.7324E+00      -1.7389E+01      -7.4334E+00      -7.6278E+00      -9.7526E+00      -9.2249E+00      -7.1182E+00      -1.2422E+01      -6.9024E+00      -1.1243E+01      -1.2591E+01      -8.6491E+00      -1.0676E+01      -1.1254E+01      -8.5049E+00      -1.1780E+01      -8.6933E+00      -1.3340E+01      -8.7112E+00
       9.5000E-02       5.3719E+00      -5.3534E+00      -4.7263E+00      -3.9186E+00      -3.7382E+00      -4.6992E+00      -5.1168E+00      -3.0950E+00      -6.9923E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.9875E+00      -8.5193E+00      -6.6593E+00      -7.5010E+00      -1.0479E+01      -5.6761E+00      -1.7254E+01      -7.4740E+00      -7.6774E+00      -9.6674E+00      -9.2249E+00      -7.1177E+00      -1.2413E+01      -6.9022E+00      -1.1158E+01      -1.2542E+01      -8.5995E+00      -1.0571E+01      -1.1148E+01      -8.4481E+00      -1.1674E+01      -8.6366E+00      -1.3234E+01      -8.6548E+00
