# Time          3.0000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.9558E-11       7.9829E-11       2.9581E-13       0.0000E+00       3.9209E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.9511E-11       7.9876E-11       2.9561E-13       0.0000E+00       3.9202E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.9468E-11       7.9920E-11       2.9542E-13       0.0000E+00       3.9195E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       3.9429E-11       7.9960E-11       2.9523E-13       0.0000E+00       3.9189E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       3.9394E-11       7.9995E-11       2.9504E-13       0.0000E+00       3.9183E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       3.9364E-11       8.0025E-11       2.9485E-13       0.0000E+00       3.9177E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       3.9339E-11       8.0050E-11       2.9467E-13       0.0000E+00       3.9172E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       3.9319E-11       8.0071E-11       2.9449E-13       0.0000E+00       3.9166E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       3.9304E-11       8.0087E-11       2.9431E-13       0.0000E+00       3.9161E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       3.9292E-11       8.0099E-11       2.9413E-13       0.0000E+00       3.9157E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01       0.0000E+00       0.0000E+00       3.9283E-11       8.0108E-11       2.9396E-13       0.0000E+00       3.9152E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01       0.0000E+00       0.0000E+00       3.9277E-11       8.0114E-11       2.9378E-13       0.0000E+00       3.9148E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.2500E-01       0.0000E+00       0.0000E+00       3.9273E-11       8.0118E-11       2.9361E-13       0.0000E+00       3.9144E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.3500E-01       0.0000E+00       0.0000E+00       3.9270E-11       8.0121E-11       2.9344E-13       0.0000E+00       3.9140E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.4500E-01       0.0000E+00       0.0000E+00       3.9269E-11       8.0123E-11       2.9327E-13       0.0000E+00       3.9136E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5500E-01       0.0000E+00       0.0000E+00       3.9268E-11       8.0124E-11       2.9310E-13       0.0000E+00       3.9132E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.6500E-01       0.0000E+00       0.0000E+00       3.9267E-11       8.0125E-11       2.9294E-13       0.0000E+00       3.9128E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.7500E-01       0.0000E+00       0.0000E+00       3.9267E-11       8.0125E-11       2.9277E-13       0.0000E+00       3.9125E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
