# Time          1.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       8.9500E-01      -1.0356E+01       1.1960E-02      -1.0032E+03
       9.0500E-01      -1.0374E+01       1.1119E-02      -1.0032E+03
       9.1500E-01      -1.0392E+01       1.0304E-02      -1.0032E+03
       9.2500E-01      -1.0409E+01       9.5185E-03      -1.0032E+03
       9.3500E-01      -1.0425E+01       8.7674E-03      -1.0032E+03
       9.4500E-01      -1.0440E+01       8.0538E-03      -1.0032E+03
       9.5500E-01      -1.0454E+01       7.3798E-03      -1.0032E+03
       9.6500E-01      -1.0467E+01       6.7470E-03      -1.0032E+03
       9.7500E-01      -1.0480E+01       6.1560E-03      -1.0032E+03
       9.8500E-01      -1.0492E+01       5.6069E-03      -1.0032E+03
       9.9500E-01      -1.0503E+01       5.0991E-03      -1.0032E+03
       1.0050E+00      -1.0514E+01       4.6317E-03      -1.0032E+03
       1.0150E+00      -1.0524E+01       4.2033E-03      -1.0032E+03
       1.0250E+00      -1.0533E+01       3.8124E-03      -1.0032E+03
       1.0350E+00      -1.0542E+01       3.4570E-03      -1.0032E+03
       1.0450E+00      -1.0550E+01       3.1351E-03      -1.0032E+03
       1.0550E+00      -1.0558E+01       2.8448E-03      -1.0032E+03
       1.0650E+00      -1.0565E+01       2.5837E-03      -1.0032E+03
       1.0750E+00      -1.0572E+01       2.3498E-03      -1.0032E+03
       1.0850E+00      -1.0579E+01       2.1410E-03      -1.0032E+03
       1.0950E+00      -1.0585E+01       1.9552E-03      -1.0032E+03
       1.1050E+00      -1.0590E+01       1.7904E-03      -1.0032E+03
       1.1150E+00      -1.0595E+01       1.6447E-03      -1.0032E+03
       1.1250E+00      -1.0600E+01       1.5164E-03      -1.0032E+03
       1.1350E+00      -1.0605E+01       1.4037E-03      -1.0032E+03
       1.1450E+00      -1.0609E+01       1.3050E-03      -1.0032E+03
       1.1550E+00      -1.0613E+01       1.2190E-03      -1.0032E+03
       1.1650E+00      -1.0617E+01       1.1444E-03      -1.0032E+03
       1.1750E+00      -1.0620E+01       1.0798E-03      -1.0032E+03
       1.1850E+00      -1.0623E+01       1.0241E-03      -1.0032E+03
       1.1950E+00      -1.0626E+01       9.7643E-04      -1.0032E+03
       1.2050E+00      -1.0629E+01       9.3577E-04      -1.0032E+03
       1.2150E+00      -1.0632E+01       9.0131E-04      -1.0032E+03
       1.2250E+00      -1.0634E+01       8.7232E-04      -1.0032E+03
       1.2350E+00      -1.0637E+01       8.4811E-04      -1.0032E+03
       1.2450E+00      -1.0639E+01       8.2810E-04      -1.0032E+03
       1.2550E+00      -1.0641E+01       8.1175E-04      -1.0032E+03
       1.2650E+00      -1.0642E+01       7.9860E-04      -1.0032E+03
       1.2750E+00      -1.0644E+01       7.8822E-04      -1.0032E+03
       1.2850E+00      -1.0646E+01       7.8024E-04      -1.0032E+03
       1.2950E+00      -1.0647E+01       7.7435E-04      -1.0032E+03
       1.3050E+00      -1.0648E+01       7.7025E-04      -1.0032E+03
       1.3150E+00      -1.0650E+01       7.6768E-04      -1.0032E+03
       1.3250E+00      -1.0651E+01       7.6644E-04      -1.0032E+03
       1.3350E+00      -1.0652E+01       7.6632E-04      -1.0032E+03
       1.3450E+00      -1.0653E+01       7.6717E-04      -1.0032E+03
       1.3550E+00      -1.0654E+01       7.6882E-04      -1.0032E+03
       1.3650E+00      -1.0655E+01       7.7116E-04      -1.0032E+03
       1.3750E+00      -1.0655E+01       7.7407E-04      -1.0032E+03
       1.3850E+00      -1.0656E+01       7.7746E-04      -1.0032E+03
       1.3950E+00      -1.0657E+01       7.8125E-04      -1.0032E+03
       1.4050E+00      -1.0657E+01       7.8536E-04      -1.0032E+03
       1.4150E+00      -1.0658E+01       7.8974E-04      -1.0032E+03
       1.4250E+00      -1.0659E+01       7.9433E-04      -1.0032E+03
       1.4350E+00      -1.0659E+01       7.9910E-04      -1.0032E+03
       1.4450E+00      -1.0659E+01       8.0399E-04      -1.0032E+03
       1.4550E+00      -1.0660E+01       8.0898E-04      -1.0032E+03
       1.4650E+00      -1.0660E+01       8.1405E-04      -1.0032E+03
       1.4750E+00      -1.0661E+01       8.1917E-04      -1.0032E+03
       1.4850E+00      -1.0661E+01       8.2432E-04      -1.0032E+03
       1.4950E+00      -1.0661E+01       8.2948E-04      -1.0032E+03
       1.5050E+00      -1.0662E+01       8.3465E-04      -1.0032E+03
       1.5150E+00      -1.0662E+01       8.3980E-04      -1.0032E+03
       1.5250E+00      -1.0662E+01       8.4494E-04      -1.0032E+03
       1.5350E+00      -1.0662E+01       8.5006E-04      -1.0032E+03
       1.5450E+00      -1.0662E+01       8.5514E-04      -1.0032E+03
       1.5550E+00      -1.0663E+01       8.6019E-04      -1.0032E+03
       1.5650E+00      -1.0663E+01       8.6520E-04      -1.0032E+03
       1.5750E+00      -1.0663E+01       8.7017E-04      -1.0032E+03
       1.5850E+00      -1.0663E+01       8.7510E-04      -1.0032E+03
       1.5950E+00      -1.0663E+01       8.7998E-04      -1.0032E+03
       1.6050E+00      -1.0663E+01       8.8482E-04      -1.0032E+03
       1.6150E+00      -1.0663E+01       8.8961E-04      -1.0032E+03
       1.6250E+00      -1.0664E+01       8.9436E-04      -1.0032E+03
       1.6350E+00      -1.0664E+01       8.9906E-04      -1.0032E+03
       1.6450E+00      -1.0664E+01       9.0371E-04      -1.0032E+03
       1.6550E+00      -1.0664E+01       9.0832E-04      -1.0032E+03
       1.6650E+00      -1.0664E+01       9.1288E-04      -1.0032E+03
