# Time          3.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       5.0000E-03      -1.2634E+01      -2.0569E+00      -1.0033E+03
       1.5000E-02      -1.0988E+01      -4.9850E-01      -1.0033E+03
       2.5000E-02      -1.0138E+01       2.8679E-01      -1.0033E+03
       3.5000E-02      -9.6995E+00       6.6315E-01      -1.0033E+03
       4.5000E-02      -9.4756E+00       8.2080E-01      -1.0033E+03
       5.5000E-02      -9.3446E+00       8.7917E-01      -1.0033E+03
       6.5000E-02      -9.2463E+00       8.9656E-01      -1.0033E+03
       7.5000E-02      -9.1553E+00       8.9743E-01      -1.0033E+03
       8.5000E-02      -9.0608E+00       8.9129E-01      -1.0033E+03
       9.5000E-02      -8.9588E+00       8.8162E-01      -1.0033E+03
       1.0500E-01      -8.8480E+00       8.6984E-01      -1.0033E+03
       1.1500E-01      -8.7291E+00       8.5700E-01      -1.0032E+03
       1.2500E-01      -8.6047E+00       8.4447E-01      -1.0032E+03
       1.3500E-01      -8.4781E+00       8.3367E-01      -1.0032E+03
       1.4500E-01      -8.3534E+00       8.2545E-01      -1.0032E+03
       1.5500E-01      -8.2338E+00       8.1976E-01      -1.0032E+03
       1.6500E-01      -8.1217E+00       8.1606E-01      -1.0032E+03
       1.7500E-01      -8.0183E+00       8.1371E-01      -1.0032E+03
       1.8500E-01      -7.9241E+00       8.1221E-01      -1.0032E+03
       1.9500E-01      -7.8393E+00       8.1123E-01      -1.0032E+03
       2.0500E-01      -7.7640E+00       8.1058E-01      -1.0032E+03
       2.1500E-01      -7.6989E+00       8.1013E-01      -1.0032E+03
       2.2500E-01      -7.6451E+00       8.0982E-01      -1.0032E+03
       2.3500E-01      -7.6050E+00       8.0931E-01      -1.0032E+03
       2.4500E-01      -7.5908E+00       7.9720E-01      -1.0032E+03
       2.5500E-01      -8.1158E+00       9.8149E-02      -1.0032E+03
       2.6500E-01      -8.1830E+00       8.6280E-03      -1.0032E+03
       2.7500E-01      -8.1890E+00       7.2618E-04      -1.0032E+03
       2.8500E-01      -8.1895E+00       6.0885E-05      -1.0032E+03
       2.9500E-01      -8.1896E+00       5.1033E-06      -1.0032E+03
       3.0500E-01      -8.1896E+00       4.2803E-07      -1.0032E+03
       3.1500E-01      -8.1896E+00       3.6174E-08      -1.0032E+03
       3.2500E-01      -8.1896E+00       3.3172E-09      -1.0032E+03
       3.3500E-01      -8.1896E+00       5.4716E-10      -1.0032E+03
       3.4500E-01      -8.1897E+00       2.9791E-10      -1.0032E+03
       3.5500E-01      -8.1897E+00       2.5936E-10      -1.0032E+03
       3.6500E-01      -8.1897E+00       2.3806E-10      -1.0032E+03
       3.7500E-01      -8.1897E+00       2.1795E-10      -1.0032E+03
       3.8500E-01      -8.1897E+00       1.9782E-10      -1.0032E+03
       3.9500E-01      -8.1897E+00       1.7768E-10      -1.0032E+03
       4.0500E-01      -8.1896E+00       1.5757E-10      -1.0032E+03
       4.1500E-01      -8.1896E+00       1.3758E-10      -1.0032E+03
       4.2500E-01      -8.1896E+00       1.1771E-10      -1.0032E+03
       4.3500E-01      -8.1896E+00       9.7945E-11      -1.0032E+03
       4.4500E-01      -8.1896E+00       7.8251E-11      -1.0032E+03
       4.5500E-01      -8.1896E+00       5.8539E-11      -1.0032E+03
       4.6500E-01      -8.1896E+00       3.8740E-11      -1.0032E+03
       4.7500E-01      -8.1895E+00       1.8747E-11      -1.0032E+03
       4.8500E-01      -8.1895E+00      -1.5800E-12      -1.0032E+03
       4.9500E-01      -8.1895E+00      -2.2320E-11      -1.0032E+03
       5.0500E-01      -8.1895E+00      -4.3615E-11      -1.0032E+03
       5.1500E-01      -8.1895E+00      -6.5559E-11      -1.0032E+03
       5.2500E-01      -8.1894E+00      -8.8298E-11      -1.0032E+03
       5.3500E-01      -8.1894E+00      -1.1191E-10      -1.0032E+03
       5.4500E-01      -8.1894E+00      -1.3650E-10      -1.0032E+03
       5.5500E-01      -8.1894E+00      -1.6218E-10      -1.0032E+03
       5.6500E-01      -8.1894E+00      -1.8904E-10      -1.0032E+03
       5.7500E-01      -8.1893E+00      -2.1715E-10      -1.0032E+03
       5.8500E-01      -8.1893E+00      -2.4661E-10      -1.0032E+03
       5.9500E-01      -8.1893E+00      -2.7748E-10      -1.0032E+03
       6.0500E-01      -8.1893E+00      -3.0986E-10      -1.0032E+03
       6.1500E-01      -8.1893E+00      -3.4382E-10      -1.0032E+03
       6.2500E-01      -8.1892E+00      -3.7943E-10      -1.0032E+03
       6.3500E-01      -8.1892E+00      -4.1678E-10      -1.0032E+03
       6.4500E-01      -8.1892E+00      -4.5593E-10      -1.0032E+03
       6.5500E-01      -8.1892E+00      -4.9696E-10      -1.0032E+03
       6.6500E-01      -8.1892E+00      -5.3996E-10      -1.0032E+03
       6.7500E-01      -8.1891E+00      -5.8499E-10      -1.0032E+03
       6.8500E-01      -8.1891E+00      -6.3215E-10      -1.0032E+03
       6.9500E-01      -8.1891E+00      -6.8149E-10      -1.0032E+03
       7.0500E-01      -8.1891E+00      -7.3313E-10      -1.0032E+03
       7.1500E-01      -8.1891E+00      -7.8712E-10      -1.0032E+03
       7.2500E-01      -8.1890E+00      -8.4357E-10      -1.0032E+03
       7.3500E-01      -8.1890E+00      -9.0255E-10      -1.0032E+03
       7.4500E-01      -8.1890E+00      -9.6414E-10      -1.0032E+03
       7.5500E-01      -8.1890E+00      -1.0285E-09      -1.0032E+03
       7.6500E-01      -8.1889E+00      -1.0956E-09      -1.0032E+03
       7.7500E-01      -8.1889E+00      -1.1655E-09      -1.0032E+03
       7.8500E-01      -8.1889E+00      -1.2385E-09      -1.0032E+03
       7.9500E-01      -8.1889E+00      -1.3145E-09      -1.0032E+03
       8.0500E-01      -8.1889E+00      -1.3937E-09      -1.0032E+03
       8.1500E-01      -8.1888E+00      -1.4761E-09      -1.0032E+03
       8.2500E-01      -8.1888E+00      -1.5619E-09      -1.0032E+03
       8.3500E-01      -8.1888E+00      -1.6511E-09      -1.0032E+03
       8.4500E-01      -8.1888E+00      -1.7437E-09      -1.0032E+03
       8.5500E-01      -8.1887E+00      -1.8400E-09      -1.0032E+03
       8.6500E-01      -8.1887E+00      -1.9399E-09      -1.0032E+03
       8.7500E-01      -8.1887E+00      -2.0436E-09      -1.0032E+03
       8.8500E-01      -8.1887E+00      -2.1512E-09      -1.0032E+03
       8.9500E-01      -8.1886E+00      -2.2627E-09      -1.0032E+03
       9.0500E-01      -8.1886E+00      -2.3782E-09      -1.0032E+03
       9.1500E-01      -8.1886E+00      -2.4977E-09      -1.0032E+03
       9.2500E-01      -8.1886E+00      -2.6214E-09      -1.0032E+03
       9.3500E-01      -8.1886E+00      -2.7494E-09      -1.0032E+03
       9.4500E-01      -8.1885E+00      -2.8816E-09      -1.0032E+03
       9.5500E-01      -8.1885E+00      -3.0181E-09      -1.0032E+03
       9.6500E-01      -8.1885E+00      -3.1591E-09      -1.0032E+03
       9.7500E-01      -8.1885E+00      -3.3045E-09      -1.0032E+03
       9.8500E-01      -8.1884E+00      -3.4545E-09      -1.0032E+03
       9.9500E-01      -8.1884E+00      -3.6090E-09      -1.0032E+03
       1.0050E+00      -8.1884E+00      -3.7680E-09      -1.0032E+03
       1.0150E+00      -8.1884E+00      -3.9317E-09      -1.0032E+03
       1.0250E+00      -8.1883E+00      -4.1001E-09      -1.0032E+03
       1.0350E+00      -8.1883E+00      -4.2731E-09      -1.0032E+03
       1.0450E+00      -8.1883E+00      -4.4509E-09      -1.0032E+03
       1.0550E+00      -8.1882E+00      -4.6333E-09      -1.0032E+03
       1.0650E+00      -8.1882E+00      -4.8204E-09      -1.0032E+03
       1.0750E+00      -8.1882E+00      -5.0123E-09      -1.0032E+03
       1.0850E+00      -8.1882E+00      -5.2088E-09      -1.0032E+03
       1.0950E+00      -8.1881E+00      -5.4101E-09      -1.0032E+03
       1.1050E+00      -8.1881E+00      -5.6160E-09      -1.0032E+03
       1.1150E+00      -8.1881E+00      -5.8265E-09      -1.0032E+03
       1.1250E+00      -8.1881E+00      -6.0416E-09      -1.0032E+03
       1.1350E+00      -8.1880E+00      -6.2612E-09      -1.0032E+03
       1.1450E+00      -8.1880E+00      -6.4853E-09      -1.0032E+03
       1.1550E+00      -8.1880E+00      -6.7139E-09      -1.0032E+03
       1.1650E+00      -8.1879E+00      -6.9467E-09      -1.0032E+03
       1.1750E+00      -8.1879E+00      -7.1839E-09      -1.0032E+03
       1.1850E+00      -8.1879E+00      -7.4253E-09      -1.0032E+03
       1.1950E+00      -8.1879E+00      -7.6708E-09      -1.0032E+03
       1.2050E+00      -8.1878E+00      -7.9203E-09      -1.0032E+03
       1.2150E+00      -8.1878E+00      -8.1737E-09      -1.0032E+03
       1.2250E+00      -8.1878E+00      -8.4309E-09      -1.0032E+03
       1.2350E+00      -8.1877E+00      -8.6917E-09      -1.0032E+03
       1.2450E+00      -8.1877E+00      -8.9561E-09      -1.0032E+03
       1.2550E+00      -8.1877E+00      -9.2239E-09      -1.0032E+03
       1.2650E+00      -8.1876E+00      -9.4950E-09      -1.0032E+03
       1.2750E+00      -8.1876E+00      -9.7693E-09      -1.0032E+03
       1.2850E+00      -8.1876E+00      -1.0046E-08      -1.0032E+03
       1.2950E+00      -8.1875E+00      -1.0327E-08      -1.0032E+03
       1.3050E+00      -8.1875E+00      -1.0609E-08      -1.0032E+03
       1.3150E+00      -8.1875E+00      -1.0895E-08      -1.0032E+03
       1.3250E+00      -8.1874E+00      -1.1182E-08      -1.0032E+03
       1.3350E+00      -8.1874E+00      -1.1472E-08      -1.0032E+03
       1.3450E+00      -8.1874E+00      -1.1764E-08      -1.0032E+03
       1.3550E+00      -8.1873E+00      -1.2057E-08      -1.0032E+03
       1.3650E+00      -8.1873E+00      -1.2353E-08      -1.0032E+03
       1.3750E+00      -8.1873E+00      -1.2649E-08      -1.0032E+03
       1.3850E+00      -8.1872E+00      -1.2948E-08      -1.0032E+03
       1.3950E+00      -8.1872E+00      -1.3247E-08      -1.0032E+03
       1.4050E+00      -8.1871E+00      -1.3547E-08      -1.0032E+03
       1.4150E+00      -8.1871E+00      -1.3848E-08      -1.0032E+03
       1.4250E+00      -8.1871E+00      -1.4150E-08      -1.0032E+03
       1.4350E+00      -8.1870E+00      -1.4452E-08      -1.0032E+03
       1.4450E+00      -8.1870E+00      -1.4754E-08      -1.0032E+03
       1.4550E+00      -8.1870E+00      -1.5057E-08      -1.0032E+03
       1.4650E+00      -8.1869E+00      -1.5359E-08      -1.0032E+03
       1.4750E+00      -8.1869E+00      -1.5661E-08      -1.0032E+03
       1.4850E+00      -8.1868E+00      -1.5963E-08      -1.0032E+03
       1.4950E+00      -8.1868E+00      -1.6265E-08      -1.0032E+03
       1.5050E+00      -8.1868E+00      -1.6566E-08      -1.0032E+03
       1.5150E+00      -8.1867E+00      -1.6866E-08      -1.0032E+03
       1.5250E+00      -8.1867E+00      -1.7165E-08      -1.0032E+03
       1.5350E+00      -8.1866E+00      -1.7463E-08      -1.0032E+03
       1.5450E+00      -8.1866E+00      -1.7761E-08      -1.0032E+03
       1.5550E+00      -8.1865E+00      -1.8057E-08      -1.0032E+03
       1.5650E+00      -8.1865E+00      -1.8352E-08      -1.0032E+03
       1.5750E+00      -8.1865E+00      -1.8645E-08      -1.0032E+03
       1.5850E+00      -8.1864E+00      -1.8938E-08      -1.0032E+03
       1.5950E+00      -8.1864E+00      -1.9229E-08      -1.0032E+03
       1.6050E+00      -8.1863E+00      -1.9518E-08      -1.0032E+03
       1.6150E+00      -8.1863E+00      -1.9806E-08      -1.0032E+03
       1.6250E+00      -8.1862E+00      -2.0093E-08      -1.0032E+03
       1.6350E+00      -8.1862E+00      -2.0378E-08      -1.0032E+03
       1.6450E+00      -8.1862E+00      -2.0661E-08      -1.0032E+03
       1.6550E+00      -8.1861E+00      -2.0944E-08      -1.0032E+03
       1.6650E+00      -8.1861E+00      -2.1225E-08      -1.0032E+03
       1.6750E+00      -8.1860E+00      -2.1504E-08      -1.0032E+03
       1.6850E+00      -8.1860E+00      -2.1783E-08      -1.0032E+03
       1.6950E+00      -8.1859E+00      -2.2060E-08      -1.0032E+03
       1.7050E+00      -8.1859E+00      -2.2336E-08      -1.0032E+03
       1.7150E+00      -8.1858E+00      -2.2611E-08      -1.0032E+03
       1.7250E+00      -8.1858E+00      -2.2885E-08      -1.0032E+03
       1.7350E+00      -8.1858E+00      -2.3159E-08      -1.0032E+03
       1.7450E+00      -8.1857E+00      -2.3432E-08      -1.0032E+03
       1.7550E+00      -8.1857E+00      -2.3705E-08      -1.0032E+03
       1.7650E+00      -8.1856E+00      -2.3978E-08      -1.0032E+03
       1.7750E+00      -8.1856E+00      -2.4250E-08      -1.0032E+03
       1.7850E+00      -8.1855E+00      -2.4523E-08      -1.0032E+03
       1.7950E+00      -8.1855E+00      -2.4796E-08      -1.0032E+03
       1.8050E+00      -8.1854E+00      -2.5070E-08      -1.0032E+03
       1.8150E+00      -8.1854E+00      -2.5344E-08      -1.0032E+03
       1.8250E+00      -8.1853E+00      -2.5620E-08      -1.0032E+03
       1.8350E+00      -8.1853E+00      -2.5897E-08      -1.0032E+03
       1.8450E+00      -8.1852E+00      -2.6176E-08      -1.0032E+03
       1.8550E+00      -8.1852E+00      -2.6456E-08      -1.0032E+03
       1.8650E+00      -8.1852E+00      -2.6739E-08      -1.0032E+03
       1.8750E+00      -8.1851E+00      -2.7024E-08      -1.0032E+03
       1.8850E+00      -8.1851E+00      -2.7312E-08      -1.0032E+03
       1.8950E+00      -8.1850E+00      -2.7603E-08      -1.0032E+03
       1.9050E+00      -8.1850E+00      -2.7898E-08      -1.0032E+03
       1.9150E+00      -8.1849E+00      -2.8196E-08      -1.0032E+03
       1.9250E+00      -8.1849E+00      -2.8498E-08      -1.0032E+03
       1.9350E+00      -8.1848E+00      -2.8804E-08      -1.0032E+03
       1.9450E+00      -8.1848E+00      -2.9115E-08      -1.0032E+03
       1.9550E+00      -8.1847E+00      -2.9431E-08      -1.0032E+03
       1.9650E+00      -8.1847E+00      -2.9752E-08      -1.0032E+03
       1.9750E+00      -8.1846E+00      -3.0079E-08      -1.0032E+03
       1.9850E+00      -8.1846E+00      -3.0412E-08      -1.0032E+03
       1.9950E+00      -8.1845E+00      -3.0751E-08      -1.0032E+03
       2.0050E+00      -8.1845E+00      -3.1096E-08      -1.0032E+03
