# Time          1.0000E+00
# Units: mol/m3
    Distance        CO2(g)          
       1.8550E+00       4.1666E-05
       1.8650E+00       4.1696E-05
       1.8750E+00       4.1726E-05
       1.8850E+00       4.1755E-05
       1.8950E+00       4.1784E-05
       1.9050E+00       4.1813E-05
       1.9150E+00       4.1842E-05
       1.9250E+00       4.1871E-05
       1.9350E+00       4.1899E-05
       1.9450E+00       4.1927E-05
       1.9550E+00       4.1955E-05
       1.9650E+00       4.1982E-05
       1.9750E+00       4.2010E-05
       1.9850E+00       4.2037E-05
       1.9950E+00       4.2063E-05
       2.0050E+00       4.2090E-05
       2.0150E+00       4.2116E-05
       2.0250E+00       4.2142E-05
       2.0350E+00       4.2168E-05
       2.0450E+00       4.2193E-05
       2.0550E+00       4.2219E-05
       2.0650E+00       4.2244E-05
       2.0750E+00       4.2268E-05
       2.0850E+00       4.2293E-05
       2.0950E+00       4.2317E-05
       2.1050E+00       4.2341E-05
       2.1150E+00       4.2365E-05
       2.1250E+00       4.2388E-05
       2.1350E+00       4.2412E-05
       2.1450E+00       4.2435E-05
       2.1550E+00       4.2457E-05
       2.1650E+00       4.2480E-05
       2.1750E+00       4.2502E-05
       2.1850E+00       4.2524E-05
       2.1950E+00       4.2546E-05
       2.2050E+00       4.2567E-05
       2.2150E+00       4.2588E-05
       2.2250E+00       4.2609E-05
       2.2350E+00       4.2630E-05
       2.2450E+00       4.2650E-05
       2.2550E+00       4.2670E-05
       2.2650E+00       4.2690E-05
       2.2750E+00       4.2710E-05
       2.2850E+00       4.2729E-05
       2.2950E+00       4.2748E-05
       2.3050E+00       4.2767E-05
       2.3150E+00       4.2786E-05
       2.3250E+00       4.2804E-05
       2.3350E+00       4.2822E-05
       2.3450E+00       4.2840E-05
       2.3550E+00       4.2857E-05
       2.3650E+00       4.2875E-05
       2.3750E+00       4.2892E-05
       2.3850E+00       4.2908E-05
       2.3950E+00       4.2925E-05
       2.4050E+00       4.2941E-05
       2.4150E+00       4.2957E-05
       2.4250E+00       4.2973E-05
       2.4350E+00       4.2988E-05
       2.4450E+00       4.3003E-05
       2.4550E+00       4.3018E-05
       2.4650E+00       4.3033E-05
       2.4750E+00       4.3047E-05
       2.4850E+00       4.3061E-05
       2.4950E+00       4.3075E-05
       2.5050E+00       4.3089E-05
       2.5150E+00       4.3102E-05
       2.5250E+00       4.3115E-05
       2.5350E+00       4.3128E-05
       2.5450E+00       4.3140E-05
       2.5550E+00       4.3152E-05
       2.5650E+00       4.3164E-05
       2.5750E+00       4.3176E-05
       2.5850E+00       4.3188E-05
       2.5950E+00       4.3199E-05
       2.6050E+00       4.3210E-05
       2.6150E+00       4.3220E-05
       2.6250E+00       4.3231E-05
       2.6350E+00       4.3241E-05
       2.6450E+00       4.3250E-05
       2.6550E+00       4.3260E-05
       2.6650E+00       4.3269E-05
       2.6750E+00       4.3278E-05
       2.6850E+00       4.3287E-05
       2.6950E+00       4.3295E-05
       2.7050E+00       4.3304E-05
       2.7150E+00       4.3311E-05
       2.7250E+00       4.3319E-05
       2.7350E+00       4.3326E-05
       2.7450E+00       4.3334E-05
       2.7550E+00       4.3340E-05
       2.7650E+00       4.3347E-05
