# Time          1.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       7.6500E-01       5.6829E-07       2.3468E-08       1.6754E-05       2.0386E-06
       7.7500E-01       5.6763E-07       2.2971E-08       1.6695E-05       2.0979E-06
       7.8500E-01       5.6694E-07       2.2476E-08       1.6636E-05       2.1575E-06
       7.9500E-01       5.6623E-07       2.1985E-08       1.6577E-05       2.2174E-06
       8.0500E-01       5.6549E-07       2.1497E-08       1.6517E-05       2.2776E-06
       8.1500E-01       5.6472E-07       2.1013E-08       1.6457E-05       2.3381E-06
       8.2500E-01       5.6393E-07       2.0534E-08       1.6397E-05       2.3987E-06
       8.3500E-01       5.6311E-07       2.0060E-08       1.6337E-05       2.4595E-06
       8.4500E-01       5.6226E-07       1.9592E-08       1.6277E-05       2.5205E-06
       8.5500E-01       5.6137E-07       1.9129E-08       1.6217E-05       2.5815E-06
       8.6500E-01       5.6046E-07       1.8673E-08       1.6156E-05       2.6425E-06
       8.7500E-01       5.5952E-07       1.8224E-08       1.6096E-05       2.7035E-06
       8.8500E-01       5.5855E-07       1.7781E-08       1.6036E-05       2.7645E-06
       8.9500E-01       5.5755E-07       1.7347E-08       1.5975E-05       2.8255E-06
       9.0500E-01       5.5651E-07       1.6920E-08       1.5915E-05       2.8863E-06
       9.1500E-01       5.5544E-07       1.6501E-08       1.5855E-05       2.9469E-06
       9.2500E-01       5.5434E-07       1.6091E-08       1.5796E-05       3.0074E-06
       9.3500E-01       5.5321E-07       1.5689E-08       1.5736E-05       3.0677E-06
       9.4500E-01       5.5204E-07       1.5296E-08       1.5677E-05       3.1277E-06
       9.5500E-01       5.5084E-07       1.4912E-08       1.5618E-05       3.1874E-06
       9.6500E-01       5.4960E-07       1.4537E-08       1.5559E-05       3.2469E-06
       9.7500E-01       5.4833E-07       1.4172E-08       1.5501E-05       3.3059E-06
       9.8500E-01       5.4702E-07       1.3816E-08       1.5443E-05       3.3646E-06
