# Time          1.0000E+01
# Units: Bars
    Distance        CO2(g)          
       1.8650E+00       6.6990E-04
       1.8750E+00       6.6973E-04
       1.8850E+00       6.6956E-04
       1.8950E+00       6.6940E-04
       1.9050E+00       6.6923E-04
       1.9150E+00       6.6907E-04
       1.9250E+00       6.6890E-04
       1.9350E+00       6.6874E-04
       1.9450E+00       6.6858E-04
       1.9550E+00       6.6842E-04
       1.9650E+00       6.6826E-04
       1.9750E+00       6.6810E-04
       1.9850E+00       6.6794E-04
       1.9950E+00       6.6778E-04
       2.0050E+00       6.6763E-04
       2.0150E+00       6.6747E-04
       2.0250E+00       6.6732E-04
       2.0350E+00       6.6717E-04
       2.0450E+00       6.6702E-04
       2.0550E+00       6.6686E-04
       2.0650E+00       6.6671E-04
       2.0750E+00       6.6657E-04
       2.0850E+00       6.6642E-04
       2.0950E+00       6.6627E-04
       2.1050E+00       6.6613E-04
       2.1150E+00       6.6598E-04
       2.1250E+00       6.6584E-04
       2.1350E+00       6.6569E-04
       2.1450E+00       6.6555E-04
       2.1550E+00       6.6541E-04
       2.1650E+00       6.6526E-04
       2.1750E+00       6.6512E-04
       2.1850E+00       6.6498E-04
       2.1950E+00       6.6484E-04
       2.2050E+00       6.6470E-04
       2.2150E+00       6.6456E-04
       2.2250E+00       6.6442E-04
       2.2350E+00       6.6428E-04
       2.2450E+00       6.6414E-04
       2.2550E+00       6.6401E-04
       2.2650E+00       6.6387E-04
       2.2750E+00       6.6373E-04
       2.2850E+00       6.6360E-04
       2.2950E+00       6.6347E-04
       2.3050E+00       6.6333E-04
       2.3150E+00       6.6320E-04
       2.3250E+00       6.6307E-04
       2.3350E+00       6.6294E-04
       2.3450E+00       6.6282E-04
       2.3550E+00       6.6269E-04
       2.3650E+00       6.6256E-04
       2.3750E+00       6.6244E-04
       2.3850E+00       6.6231E-04
       2.3950E+00       6.6219E-04
       2.4050E+00       6.6207E-04
       2.4150E+00       6.6195E-04
       2.4250E+00       6.6183E-04
       2.4350E+00       6.6171E-04
       2.4450E+00       6.6160E-04
       2.4550E+00       6.6148E-04
       2.4650E+00       6.6137E-04
       2.4750E+00       6.6126E-04
       2.4850E+00       6.6114E-04
       2.4950E+00       6.6103E-04
       2.5050E+00       6.6093E-04
       2.5150E+00       6.6082E-04
       2.5250E+00       6.6071E-04
       2.5350E+00       6.6061E-04
       2.5450E+00       6.6050E-04
       2.5550E+00       6.6040E-04
       2.5650E+00       6.6030E-04
       2.5750E+00       6.6020E-04
       2.5850E+00       6.6010E-04
       2.5950E+00       6.6000E-04
       2.6050E+00       6.5991E-04
       2.6150E+00       6.5981E-04
       2.6250E+00       6.5972E-04
       2.6350E+00       6.5963E-04
       2.6450E+00       6.5953E-04
       2.6550E+00       6.5945E-04
       2.6650E+00       6.5936E-04
