# Time          5.0000E+00
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.9085E-12       2.9376E-13       8.7034E-11       3.3253E-11
       1.5000E-02       3.8349E-12       2.8533E-13       9.7778E-11       2.2549E-11
       2.5000E-02       3.7732E-12       2.7684E-13       1.0491E-10       1.5450E-11
       3.5000E-02       3.7203E-12       2.6799E-13       1.0885E-10       1.1543E-11
       4.5000E-02       3.6679E-12       2.5815E-13       1.1093E-10       9.4961E-12
       5.5000E-02       3.6097E-12       2.4693E-13       1.1215E-10       8.3114E-12
       6.5000E-02       3.5419E-12       2.3424E-13       1.1302E-10       7.4752E-12
       7.5000E-02       3.4626E-12       2.2020E-13       1.1377E-10       6.7767E-12
       8.5000E-02       3.3710E-12       2.0505E-13       1.1446E-10       6.1439E-12
       9.5000E-02       3.2668E-12       1.8912E-13       1.1510E-10       5.5574E-12
       1.0500E-01       3.1505E-12       1.7278E-13       1.1571E-10       5.0139E-12
       1.1500E-01       3.0228E-12       1.5639E-13       1.1628E-10       4.5139E-12
       1.2500E-01       2.8851E-12       1.4031E-13       1.1682E-10       4.0579E-12
       1.3500E-01       2.7391E-12       1.2486E-13       1.1731E-10       3.6455E-12
       1.4500E-01       2.5869E-12       1.1031E-13       1.1776E-10       3.2753E-12
       1.5500E-01       2.4308E-12       9.6884E-14       1.1818E-10       2.9445E-12
       1.6500E-01       2.2733E-12       8.4711E-14       1.1856E-10       2.6484E-12
       1.7500E-01       2.1168E-12       7.3866E-14       1.1891E-10       2.3821E-12
       1.8500E-01       1.9636E-12       6.4362E-14       1.1923E-10       2.1406E-12
       1.9500E-01       1.8161E-12       5.6155E-14       1.1953E-10       1.9191E-12
       2.0500E-01       1.6761E-12       4.9168E-14       1.1981E-10       1.7135E-12
       2.1500E-01       1.5459E-12       4.3306E-14       1.2007E-10       1.5218E-12
       2.2500E-01       1.4276E-12       3.8483E-14       1.2031E-10       1.3473E-12
       2.3500E-01       1.3240E-12       3.4645E-14       1.2050E-10       1.2053E-12
       2.4500E-01       1.2391E-12       3.1813E-14       1.2062E-10       1.1273E-12
       2.5500E-01       1.8382E-07       4.7002E-09       1.8816E-05       1.7799E-07
       2.6500E-01       1.7465E-07       4.4569E-09       1.8813E-05       1.8565E-07
