# Time          1.5000E+01
    Distance         pH
  1.8750E+00    5.0355E+00
  1.8850E+00    5.0358E+00
  1.8950E+00    5.0361E+00
  1.9050E+00    5.0364E+00
  1.9150E+00    5.0368E+00
  1.9250E+00    5.0371E+00
  1.9350E+00    5.0374E+00
  1.9450E+00    5.0378E+00
  1.9550E+00    5.0381E+00
  1.9650E+00    5.0385E+00
  1.9750E+00    5.0388E+00
  1.9850E+00    5.0392E+00
  1.9950E+00    5.0395E+00
  2.0050E+00    5.0399E+00
  2.0150E+00    5.0402E+00
  2.0250E+00    5.0406E+00
  2.0350E+00    5.0409E+00
  2.0450E+00    5.0413E+00
  2.0550E+00    5.0417E+00
  2.0650E+00    5.0420E+00
  2.0750E+00    5.0424E+00
  2.0850E+00    5.0428E+00
  2.0950E+00    5.0432E+00
  2.1050E+00    5.0435E+00
  2.1150E+00    5.0439E+00
  2.1250E+00    5.0443E+00
  2.1350E+00    5.0447E+00
  2.1450E+00    5.0451E+00
  2.1550E+00    5.0455E+00
  2.1650E+00    5.0459E+00
  2.1750E+00    5.0463E+00
  2.1850E+00    5.0467E+00
  2.1950E+00    5.0471E+00
  2.2050E+00    5.0475E+00
  2.2150E+00    5.0479E+00
  2.2250E+00    5.0483E+00
  2.2350E+00    5.0488E+00
  2.2450E+00    5.0492E+00
  2.2550E+00    5.0496E+00
  2.2650E+00    5.0500E+00
  2.2750E+00    5.0504E+00
  2.2850E+00    5.0509E+00
  2.2950E+00    5.0513E+00
  2.3050E+00    5.0517E+00
  2.3150E+00    5.0522E+00
  2.3250E+00    5.0526E+00
  2.3350E+00    5.0531E+00
  2.3450E+00    5.0535E+00
  2.3550E+00    5.0539E+00
  2.3650E+00    5.0544E+00
  2.3750E+00    5.0548E+00
  2.3850E+00    5.0553E+00
  2.3950E+00    5.0558E+00
  2.4050E+00    5.0562E+00
  2.4150E+00    5.0567E+00
  2.4250E+00    5.0571E+00
  2.4350E+00    5.0576E+00
  2.4450E+00    5.0581E+00
  2.4550E+00    5.0585E+00
  2.4650E+00    5.0590E+00
  2.4750E+00    5.0595E+00
  2.4850E+00    5.0600E+00
  2.4950E+00    5.0605E+00
  2.5050E+00    5.0609E+00
  2.5150E+00    5.0614E+00
  2.5250E+00    5.0619E+00
  2.5350E+00    5.0624E+00
  2.5450E+00    5.0629E+00
  2.5550E+00    5.0634E+00
  2.5650E+00    5.0639E+00
  2.5750E+00    5.0644E+00
  2.5850E+00    5.0649E+00
  2.5950E+00    5.0654E+00
  2.6050E+00    5.0659E+00
  2.6150E+00    5.0664E+00
  2.6250E+00    5.0669E+00
  2.6350E+00    5.0674E+00
  2.6450E+00    5.0679E+00
  2.6550E+00    5.0685E+00
  2.6650E+00    5.0690E+00
  2.6750E+00    5.0695E+00
  2.6850E+00    5.0700E+00
  2.6950E+00    5.0706E+00
  2.7050E+00    5.0711E+00
  2.7150E+00    5.0716E+00
  2.7250E+00    5.0722E+00
  2.7350E+00    5.0727E+00
  2.7450E+00    5.0732E+00
  2.7550E+00    5.0738E+00
  2.7650E+00    5.0743E+00
  2.7750E+00    5.0749E+00
  2.7850E+00    5.0754E+00
  2.7950E+00    5.0760E+00
  2.8050E+00    5.0765E+00
  2.8150E+00    5.0771E+00
  2.8250E+00    5.0776E+00
  2.8350E+00    5.0782E+00
  2.8450E+00    5.0788E+00
  2.8550E+00    5.0793E+00
  2.8650E+00    5.0799E+00
  2.8750E+00    5.0805E+00
  2.8850E+00    5.0810E+00
  2.8950E+00    5.0816E+00
  2.9050E+00    5.0822E+00
  2.9150E+00    5.0827E+00
  2.9250E+00    5.0833E+00
  2.9350E+00    5.0839E+00
  2.9450E+00    5.0844E+00
  2.9550E+00    5.0849E+00
  2.9650E+00    5.0854E+00
  2.9750E+00    5.0858E+00
  2.9850E+00    5.0862E+00
  2.9950E+00    5.0864E+00
