# Time          5.0000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.9417E-11       8.0849E-11       2.9810E-13       0.0000E+00       3.9478E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.8319E-11       8.1949E-11       2.9796E-13       0.0000E+00       3.9421E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.6870E-11       8.3402E-11       2.9768E-13       0.0000E+00       3.9347E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       3.5076E-11       8.5200E-11       2.9725E-13       0.0000E+00       3.9254E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       3.2976E-11       8.7306E-11       2.9671E-13       0.0000E+00       3.9145E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       3.0631E-11       8.9658E-11       2.9605E-13       0.0000E+00       3.9023E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       2.8117E-11       9.2179E-11       2.9532E-13       0.0000E+00       3.8892E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       2.5518E-11       9.4785E-11       2.9455E-13       0.0000E+00       3.8755E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       2.2917E-11       9.7392E-11       2.9378E-13       0.0000E+00       3.8619E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       2.0388E-11       9.9929E-11       2.9303E-13       0.0000E+00       3.8485E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01       0.0000E+00       0.0000E+00       1.7990E-11       1.0233E-10       2.9232E-13       0.0000E+00       3.8358E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01       0.0000E+00       0.0000E+00       1.5767E-11       1.0456E-10       2.9169E-13       0.0000E+00       3.8240E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
