# Time          4.5000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.0000E-03      -3.3186E+01      -4.3417E+00      -1.1543E+01      -2.6083E+00      -1.0033E+03
       1.5000E-02      -3.3049E+01      -4.0460E+00      -1.1169E+01      -2.4966E+00      -1.0033E+03
       2.5000E-02      -3.2930E+01      -3.8001E+00      -1.0866E+01      -2.4079E+00      -1.0033E+03
       3.5000E-02      -3.2821E+01      -3.5879E+00      -1.0610E+01      -2.3342E+00      -1.0033E+03
       4.5000E-02      -3.2720E+01      -3.4000E+00      -1.0388E+01      -2.2712E+00      -1.0033E+03
       5.5000E-02      -3.2625E+01      -3.2308E+00      -1.0190E+01      -2.2163E+00      -1.0033E+03
       6.5000E-02      -3.2534E+01      -3.0764E+00      -1.0013E+01      -2.1675E+00      -1.0032E+03
       7.5000E-02      -3.2450E+01      -2.9339E+00      -9.8513E+00      -2.1236E+00      -1.0032E+03
       8.5000E-02      -3.2370E+01      -2.8013E+00      -9.7026E+00      -2.0837E+00      -1.0032E+03
       9.5000E-02      -3.2295E+01      -2.6771E+00      -9.5647E+00      -2.0472E+00      -1.0032E+03
       1.0500E-01      -3.2226E+01      -2.5600E+00      -9.4360E+00      -2.0136E+00      -1.0032E+03
       1.1500E-01      -3.2162E+01      -2.4491E+00      -9.3151E+00      -1.9823E+00      -1.0032E+03
       1.2500E-01      -3.2103E+01      -2.3435E+00      -9.2009E+00      -1.9531E+00      -1.0032E+03
       1.3500E-01      -3.2048E+01      -2.2424E+00      -9.0926E+00      -1.9256E+00      -1.0032E+03
       1.4500E-01      -3.1997E+01      -2.1453E+00      -8.9893E+00      -1.8998E+00      -1.0032E+03
       1.5500E-01      -3.1950E+01      -2.0513E+00      -8.8902E+00      -1.8753E+00      -1.0032E+03
       1.6500E-01      -3.1905E+01      -1.9600E+00      -8.7947E+00      -1.8519E+00      -1.0032E+03
       1.7500E-01      -3.1862E+01      -1.8704E+00      -8.7018E+00      -1.8295E+00      -1.0032E+03
       1.8500E-01      -3.1821E+01      -1.7817E+00      -8.6107E+00      -1.8078E+00      -1.0032E+03
       1.9500E-01      -3.1781E+01      -1.6925E+00      -8.5202E+00      -1.7867E+00      -1.0032E+03
       2.0500E-01      -3.1741E+01      -1.6012E+00      -8.4288E+00      -1.7658E+00      -1.0032E+03
       2.1500E-01      -3.1701E+01      -1.5052E+00      -8.3344E+00      -1.7447E+00      -1.0032E+03
       2.2500E-01      -3.1658E+01      -1.4012E+00      -8.2341E+00      -1.7230E+00      -1.0031E+03
       2.3500E-01      -3.1610E+01      -1.2841E+00      -8.1237E+00      -1.6999E+00      -1.0031E+03
       2.4500E-01      -3.1556E+01      -1.1470E+00      -7.9973E+00      -1.6746E+00      -1.0031E+03
       2.5500E-01      -3.1490E+01      -9.8005E-01      -7.8468E+00      -1.6457E+00      -1.0031E+03
       2.6500E-01      -3.1430E+01      -8.2956E-01      -7.7108E+00      -1.6197E+00      -1.0031E+03
       2.7500E-01      -3.1374E+01      -6.9459E-01      -7.5885E+00      -1.5965E+00      -1.0031E+03
       2.8500E-01      -3.1323E+01      -5.7435E-01      -7.4791E+00      -1.5757E+00      -1.0031E+03
       2.9500E-01      -3.1277E+01      -4.6809E-01      -7.3819E+00      -1.5572E+00      -1.0031E+03
       3.0500E-01      -3.1236E+01      -3.7499E-01      -7.2960E+00      -1.5408E+00      -1.0031E+03
       3.1500E-01      -3.1199E+01      -2.9419E-01      -7.2208E+00      -1.5262E+00      -1.0031E+03
       3.2500E-01      -3.1167E+01      -2.2469E-01      -7.1553E+00      -1.5134E+00      -1.0031E+03
       3.3500E-01      -3.1139E+01      -1.6545E-01      -7.0986E+00      -1.5020E+00      -1.0031E+03
       3.4500E-01      -3.1115E+01      -1.1537E-01      -7.0497E+00      -1.4920E+00      -1.0031E+03
       3.5500E-01      -3.1095E+01      -7.3361E-02      -7.0077E+00      -1.4831E+00      -1.0031E+03
       3.6500E-01      -3.1077E+01      -3.8370E-02      -6.9716E+00      -1.4752E+00      -1.0031E+03
       3.7500E-01      -3.1062E+01      -9.4028E-03      -6.9406E+00      -1.4681E+00      -1.0031E+03
       3.8500E-01      -3.1050E+01       1.4446E-02      -6.9139E+00      -1.4617E+00      -1.0031E+03
       3.9500E-01      -3.1039E+01       3.3988E-02      -6.8909E+00      -1.4558E+00      -1.0031E+03
       4.0500E-01      -3.1030E+01       4.9931E-02      -6.8709E+00      -1.4505E+00      -1.0031E+03
       4.1500E-01      -3.1023E+01       6.2891E-02      -6.8534E+00      -1.4455E+00      -1.0031E+03
       4.2500E-01      -3.1016E+01       7.3389E-02      -6.8380E+00      -1.4409E+00      -1.0031E+03
       4.3500E-01      -3.1011E+01       8.1865E-02      -6.8242E+00      -1.4366E+00      -1.0031E+03
       4.4500E-01      -3.1007E+01       8.8688E-02      -6.8119E+00      -1.4324E+00      -1.0031E+03
       4.5500E-01      -3.1003E+01       9.4163E-02      -6.8007E+00      -1.4285E+00      -1.0031E+03
       4.6500E-01      -3.1000E+01       9.8542E-02      -6.7904E+00      -1.4246E+00      -1.0031E+03
       4.7500E-01      -3.0997E+01       1.0203E-01      -6.7809E+00      -1.4210E+00      -1.0031E+03
       4.8500E-01      -3.0995E+01       1.0480E-01      -6.7720E+00      -1.4174E+00      -1.0031E+03
       4.9500E-01      -3.0993E+01       1.0699E-01      -6.7636E+00      -1.4139E+00      -1.0031E+03
       5.0500E-01      -3.0991E+01       1.0870E-01      -6.7556E+00      -1.4104E+00      -1.0031E+03
       5.1500E-01      -3.0990E+01       1.1004E-01      -6.7479E+00      -1.4071E+00      -1.0031E+03
       5.2500E-01      -3.0989E+01       1.1106E-01      -6.7405E+00      -1.4038E+00      -1.0031E+03
       5.3500E-01      -3.0988E+01       1.1185E-01      -6.7333E+00      -1.4005E+00      -1.0031E+03
       5.4500E-01      -3.0987E+01       1.1243E-01      -6.7263E+00      -1.3972E+00      -1.0031E+03
       5.5500E-01      -3.0986E+01       1.1285E-01      -6.7195E+00      -1.3940E+00      -1.0031E+03
       5.6500E-01      -3.0986E+01       1.1315E-01      -6.7128E+00      -1.3908E+00      -1.0031E+03
       5.7500E-01      -3.0986E+01       1.1334E-01      -6.7061E+00      -1.3877E+00      -1.0031E+03
       5.8500E-01      -3.0986E+01       1.1345E-01      -6.6996E+00      -1.3846E+00      -1.0031E+03
       5.9500E-01      -3.0985E+01       1.1349E-01      -6.6932E+00      -1.3815E+00      -1.0031E+03
       6.0500E-01      -3.0985E+01       1.1348E-01      -6.6868E+00      -1.3784E+00      -1.0031E+03
       6.1500E-01      -3.0986E+01       1.1343E-01      -6.6805E+00      -1.3753E+00      -1.0031E+03
       6.2500E-01      -3.0986E+01       1.1334E-01      -6.6742E+00      -1.3722E+00      -1.0031E+03
       6.3500E-01      -3.0986E+01       1.1323E-01      -6.6680E+00      -1.3692E+00      -1.0031E+03
       6.4500E-01      -3.0986E+01       1.1310E-01      -6.6618E+00      -1.3662E+00      -1.0031E+03
       6.5500E-01      -3.0987E+01       1.1294E-01      -6.6556E+00      -1.3632E+00      -1.0031E+03
       6.6500E-01      -3.0987E+01       1.1278E-01      -6.6495E+00      -1.3602E+00      -1.0031E+03
       6.7500E-01      -3.0988E+01       1.1260E-01      -6.6434E+00      -1.3572E+00      -1.0031E+03
       6.8500E-01      -3.0988E+01       1.1242E-01      -6.6373E+00      -1.3543E+00      -1.0031E+03
       6.9500E-01      -3.0989E+01       1.1223E-01      -6.6313E+00      -1.3513E+00      -1.0031E+03
       7.0500E-01      -3.0990E+01       1.1204E-01      -6.6253E+00      -1.3484E+00      -1.0031E+03
       7.1500E-01      -3.0991E+01       1.1184E-01      -6.6193E+00      -1.3455E+00      -1.0031E+03
       7.2500E-01      -3.0992E+01       1.1164E-01      -6.6133E+00      -1.3425E+00      -1.0031E+03
       7.3500E-01      -3.0993E+01       1.1143E-01      -6.6073E+00      -1.3397E+00      -1.0031E+03
       7.4500E-01      -3.0994E+01       1.1123E-01      -6.6014E+00      -1.3368E+00      -1.0031E+03
       7.5500E-01      -3.0995E+01       1.1103E-01      -6.5955E+00      -1.3339E+00      -1.0031E+03
       7.6500E-01      -3.0996E+01       1.1082E-01      -6.5896E+00      -1.3311E+00      -1.0031E+03
       7.7500E-01      -3.0997E+01       1.1062E-01      -6.5838E+00      -1.3282E+00      -1.0031E+03
       7.8500E-01      -3.0998E+01       1.1041E-01      -6.5779E+00      -1.3254E+00      -1.0031E+03
       7.9500E-01      -3.0999E+01       1.1021E-01      -6.5721E+00      -1.3226E+00      -1.0031E+03
       8.0500E-01      -3.1000E+01       1.1001E-01      -6.5663E+00      -1.3198E+00      -1.0031E+03
       8.1500E-01      -3.1002E+01       1.0981E-01      -6.5605E+00      -1.3170E+00      -1.0031E+03
       8.2500E-01      -3.1003E+01       1.0960E-01      -6.5547E+00      -1.3142E+00      -1.0031E+03
       8.3500E-01      -3.1005E+01       1.0940E-01      -6.5490E+00      -1.3114E+00      -1.0031E+03
       8.4500E-01      -3.1006E+01       1.0920E-01      -6.5433E+00      -1.3087E+00      -1.0031E+03
       8.5500E-01      -3.1007E+01       1.0901E-01      -6.5375E+00      -1.3059E+00      -1.0031E+03
       8.6500E-01      -3.1009E+01       1.0881E-01      -6.5319E+00      -1.3032E+00      -1.0031E+03
       8.7500E-01      -3.1011E+01       1.0861E-01      -6.5262E+00      -1.3005E+00      -1.0031E+03
       8.8500E-01      -3.1012E+01       1.0842E-01      -6.5205E+00      -1.2978E+00      -1.0031E+03
       8.9500E-01      -3.1014E+01       1.0822E-01      -6.5149E+00      -1.2951E+00      -1.0031E+03
       9.0500E-01      -3.1015E+01       1.0803E-01      -6.5093E+00      -1.2924E+00      -1.0031E+03
       9.1500E-01      -3.1017E+01       1.0784E-01      -6.5037E+00      -1.2897E+00      -1.0031E+03
       9.2500E-01      -3.1019E+01       1.0765E-01      -6.4981E+00      -1.2870E+00      -1.0031E+03
       9.3500E-01      -3.1020E+01       1.0746E-01      -6.4925E+00      -1.2844E+00      -1.0031E+03
       9.4500E-01      -3.1022E+01       1.0727E-01      -6.4870E+00      -1.2817E+00      -1.0031E+03
       9.5500E-01      -3.1024E+01       1.0709E-01      -6.4814E+00      -1.2791E+00      -1.0031E+03
       9.6500E-01      -3.1026E+01       1.0690E-01      -6.4759E+00      -1.2765E+00      -1.0031E+03
       9.7500E-01      -3.1027E+01       1.0672E-01      -6.4704E+00      -1.2739E+00      -1.0031E+03
       9.8500E-01      -3.1029E+01       1.0654E-01      -6.4650E+00      -1.2713E+00      -1.0031E+03
       9.9500E-01      -3.1031E+01       1.0635E-01      -6.4595E+00      -1.2687E+00      -1.0031E+03
       1.0050E+00      -3.1033E+01       1.0617E-01      -6.4540E+00      -1.2661E+00      -1.0031E+03
       1.0150E+00      -3.1034E+01       1.0599E-01      -6.4486E+00      -1.2636E+00      -1.0031E+03
       1.0250E+00      -3.1036E+01       1.0582E-01      -6.4432E+00      -1.2610E+00      -1.0031E+03
       1.0350E+00      -3.1038E+01       1.0564E-01      -6.4378E+00      -1.2585E+00      -1.0031E+03
       1.0450E+00      -3.1039E+01       1.0546E-01      -6.4324E+00      -1.2559E+00      -1.0031E+03
       1.0550E+00      -3.1041E+01       1.0529E-01      -6.4271E+00      -1.2534E+00      -1.0031E+03
       1.0650E+00      -3.1043E+01       1.0512E-01      -6.4217E+00      -1.2509E+00      -1.0031E+03
       1.0750E+00      -3.1045E+01       1.0494E-01      -6.4164E+00      -1.2484E+00      -1.0031E+03
       1.0850E+00      -3.1046E+01       1.0477E-01      -6.4111E+00      -1.2459E+00      -1.0031E+03
       1.0950E+00      -3.1048E+01       1.0460E-01      -6.4058E+00      -1.2434E+00      -1.0031E+03
       1.1050E+00      -3.1049E+01       1.0443E-01      -6.4005E+00      -1.2410E+00      -1.0031E+03
       1.1150E+00      -3.1051E+01       1.0426E-01      -6.3952E+00      -1.2385E+00      -1.0031E+03
       1.1250E+00      -3.1053E+01       1.0410E-01      -6.3900E+00      -1.2361E+00      -1.0031E+03
       1.1350E+00      -3.1054E+01       1.0393E-01      -6.3848E+00      -1.2336E+00      -1.0031E+03
       1.1450E+00      -3.1056E+01       1.0377E-01      -6.3795E+00      -1.2312E+00      -1.0031E+03
       1.1550E+00      -3.1057E+01       1.0360E-01      -6.3743E+00      -1.2288E+00      -1.0031E+03
       1.1650E+00      -3.1058E+01       1.0344E-01      -6.3692E+00      -1.2264E+00      -1.0031E+03
       1.1750E+00      -3.1060E+01       1.0328E-01      -6.3640E+00      -1.2240E+00      -1.0031E+03
       1.1850E+00      -3.1061E+01       1.0312E-01      -6.3588E+00      -1.2216E+00      -1.0031E+03
       1.1950E+00      -3.1062E+01       1.0296E-01      -6.3537E+00      -1.2192E+00      -1.0031E+03
       1.2050E+00      -3.1064E+01       1.0280E-01      -6.3486E+00      -1.2168E+00      -1.0031E+03
       1.2150E+00      -3.1065E+01       1.0264E-01      -6.3435E+00      -1.2144E+00      -1.0031E+03
       1.2250E+00      -3.1066E+01       1.0249E-01      -6.3384E+00      -1.2121E+00      -1.0031E+03
       1.2350E+00      -3.1067E+01       1.0233E-01      -6.3333E+00      -1.2097E+00      -1.0031E+03
       1.2450E+00      -3.1068E+01       1.0218E-01      -6.3282E+00      -1.2074E+00      -1.0031E+03
       1.2550E+00      -3.1069E+01       1.0202E-01      -6.3232E+00      -1.2051E+00      -1.0031E+03
       1.2650E+00      -3.1070E+01       1.0187E-01      -6.3182E+00      -1.2028E+00      -1.0031E+03
       1.2750E+00      -3.1071E+01       1.0172E-01      -6.3132E+00      -1.2005E+00      -1.0031E+03
       1.2850E+00      -3.1072E+01       1.0157E-01      -6.3082E+00      -1.1982E+00      -1.0031E+03
       1.2950E+00      -3.1073E+01       1.0142E-01      -6.3032E+00      -1.1959E+00      -1.0031E+03
       1.3050E+00      -3.1073E+01       1.0127E-01      -6.2982E+00      -1.1936E+00      -1.0031E+03
       1.3150E+00      -3.1074E+01       1.0112E-01      -6.2932E+00      -1.1913E+00      -1.0031E+03
       1.3250E+00      -3.1075E+01       1.0098E-01      -6.2883E+00      -1.1891E+00      -1.0031E+03
       1.3350E+00      -3.1075E+01       1.0083E-01      -6.2834E+00      -1.1868E+00      -1.0031E+03
       1.3450E+00      -3.1076E+01       1.0069E-01      -6.2785E+00      -1.1846E+00      -1.0031E+03
       1.3550E+00      -3.1076E+01       1.0054E-01      -6.2736E+00      -1.1823E+00      -1.0031E+03
       1.3650E+00      -3.1076E+01       1.0040E-01      -6.2687E+00      -1.1801E+00      -1.0031E+03
       1.3750E+00      -3.1077E+01       1.0026E-01      -6.2638E+00      -1.1779E+00      -1.0031E+03
       1.3850E+00      -3.1077E+01       1.0012E-01      -6.2590E+00      -1.1757E+00      -1.0031E+03
       1.3950E+00      -3.1077E+01       9.9975E-02      -6.2542E+00      -1.1735E+00      -1.0031E+03
       1.4050E+00      -3.1077E+01       9.9835E-02      -6.2493E+00      -1.1713E+00      -1.0031E+03
       1.4150E+00      -3.1077E+01       9.9697E-02      -6.2445E+00      -1.1691E+00      -1.0031E+03
       1.4250E+00      -3.1077E+01       9.9559E-02      -6.2397E+00      -1.1669E+00      -1.0031E+03
       1.4350E+00      -3.1077E+01       9.9422E-02      -6.2350E+00      -1.1647E+00      -1.0031E+03
       1.4450E+00      -3.1077E+01       9.9286E-02      -6.2302E+00      -1.1626E+00      -1.0031E+03
