# Time          1.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.0000E-03      -1.8767E+01       1.9156E+00      -5.2359E-01      -5.0309E-02      -1.0034E+03
       1.5000E-02      -1.5266E+01       1.2808E+00       7.8965E-01       4.8759E-01      -1.0034E+03
       2.5000E-02      -1.3179E+01       8.5600E-01       1.5052E+00       7.9254E-01      -1.0035E+03
       3.5000E-02      -1.1597E+01       5.7342E-01       2.0713E+00       1.0234E+00      -1.0036E+03
       4.5000E-02      -1.0297E+01       3.9162E-01       2.5755E+00       1.2156E+00      -1.0037E+03
       5.5000E-02      -9.1534E+00       2.7770E-01       3.0462E+00       1.3812E+00      -1.0038E+03
       6.5000E-02      -8.0660E+00       1.9335E-01       3.4864E+00       1.5219E+00      -1.0040E+03
       7.5000E-02      -6.9127E+00       5.2525E-02       3.8590E+00       1.6265E+00      -1.0043E+03
       8.5000E-02      -5.3556E+00      -4.9598E-01       3.9482E+00       1.6277E+00      -1.0048E+03
       9.5000E-02      -4.0627E-01      -5.3502E+00       8.1205E-01       5.5815E-01      -1.0077E+03
       1.0500E-01      -1.0241E-02      -5.6482E+00       6.1840E-01       4.6186E-01      -1.0079E+03
       1.1500E-01      -1.3814E-03      -5.5266E+00       7.3512E-01       4.6941E-01      -1.0079E+03
       1.2500E-01      -1.1808E-03      -5.4079E+00       8.5272E-01       4.7869E-01      -1.0079E+03
       1.3500E-01      -1.1843E-03      -5.2989E+00       9.6475E-01       4.8752E-01      -1.0079E+03
       1.4500E-01      -1.1894E-03      -5.1975E+00       1.0715E+00       4.9591E-01      -1.0079E+03
       1.5500E-01      -1.1919E-03      -5.1015E+00       1.1735E+00       5.0394E-01      -1.0079E+03
       1.6500E-01      -1.1923E-03      -5.0090E+00       1.2717E+00       5.1172E-01      -1.0079E+03
       1.7500E-01      -1.1906E-03      -4.9175E+00       1.3669E+00       5.1931E-01      -1.0078E+03
       1.8500E-01      -1.1873E-03      -4.8245E+00       1.4604E+00       5.2678E-01      -1.0078E+03
       1.9500E-01      -1.1823E-03      -4.7272E+00       1.5534E+00       5.3416E-01      -1.0078E+03
       2.0500E-01      -1.1762E-03      -4.6221E+00       1.6477E+00       5.4146E-01      -1.0078E+03
       2.1500E-01      -1.1694E-03      -4.5051E+00       1.7449E+00       5.4861E-01      -1.0078E+03
       2.2500E-01      -1.1624E-03      -4.3720E+00       1.8469E+00       5.5550E-01      -1.0078E+03
       2.3500E-01      -1.1601E-03      -4.2182E+00       1.9552E+00       5.6189E-01      -1.0078E+03
       2.4500E-01      -1.3059E-03      -4.0400E+00       2.0706E+00       5.6748E-01      -1.0078E+03
       2.5500E-01      -5.1101E-03      -3.8316E+00       2.1953E+00       5.7270E-01      -1.0078E+03
       2.6500E-01      -8.6399E-03      -3.6591E+00       2.3015E+00       5.7793E-01      -1.0078E+03
       2.7500E-01      -1.1901E-02      -3.5114E+00       2.3946E+00       5.8314E-01      -1.0078E+03
       2.8500E-01      -1.4897E-02      -3.3817E+00       2.4780E+00       5.8832E-01      -1.0078E+03
       2.9500E-01      -1.7635E-02      -3.2660E+00       2.5538E+00       5.9343E-01      -1.0078E+03
       3.0500E-01      -2.0129E-02      -3.1613E+00       2.6232E+00       5.9845E-01      -1.0078E+03
       3.1500E-01      -2.2393E-02      -3.0657E+00       2.6874E+00       6.0334E-01      -1.0077E+03
       3.2500E-01      -2.4446E-02      -2.9778E+00       2.7468E+00       6.0806E-01      -1.0077E+03
       3.3500E-01      -2.6311E-02      -2.8965E+00       2.8021E+00       6.1260E-01      -1.0077E+03
       3.4500E-01      -2.8012E-02      -2.8210E+00       2.8537E+00       6.1692E-01      -1.0077E+03
       3.5500E-01      -2.9574E-02      -2.7506E+00       2.9017E+00       6.2097E-01      -1.0077E+03
       3.6500E-01      -3.1023E-02      -2.6848E+00       2.9465E+00       6.2474E-01      -1.0077E+03
       3.7500E-01      -3.2387E-02      -2.6233E+00       2.9881E+00       6.2819E-01      -1.0077E+03
       3.8500E-01      -3.3693E-02      -2.5659E+00       3.0268E+00       6.3128E-01      -1.0077E+03
       3.9500E-01      -3.4971E-02      -2.5121E+00       3.0625E+00       6.3397E-01      -1.0077E+03
