# Time          4.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       3.2500E-01       7.8729E-06       2.5451E-05       6.0725E-06       2.9426E-04       2.0612E-05       3.0257E-06       7.9939E-04       1.9051E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.3500E-01       7.7339E-06       2.5461E-05       5.9219E-06       2.9442E-04       2.0632E-05       3.1058E-06       7.9939E-04       1.9447E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.4500E-01       7.6173E-06       2.5471E-05       5.8032E-06       2.9453E-04       2.0653E-05       3.1784E-06       7.9939E-04       1.9768E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.5500E-01       7.5212E-06       2.5479E-05       5.7180E-06       2.9462E-04       2.0673E-05       3.2442E-06       7.9939E-04       2.0021E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.6500E-01       7.4432E-06       2.5485E-05       5.6684E-06       2.9467E-04       2.0693E-05       3.3039E-06       7.9939E-04       2.0213E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.7500E-01       7.3811E-06       2.5490E-05       5.6559E-06       2.9468E-04       2.0713E-05       3.3584E-06       7.9939E-04       2.0353E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.8500E-01       7.3326E-06       2.5494E-05       5.6820E-06       2.9466E-04       2.0734E-05       3.4083E-06       7.9939E-04       2.0447E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.9500E-01       7.2957E-06       2.5498E-05       5.7482E-06       2.9459E-04       2.0754E-05       3.4543E-06       7.9939E-04       2.0502E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.0500E-01       7.2686E-06       2.5500E-05       5.8552E-06       2.9448E-04       2.0774E-05       3.4971E-06       7.9939E-04       2.0525E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.1500E-01       7.2495E-06       2.5502E-05       6.0039E-06       2.9433E-04       2.0794E-05       3.5372E-06       7.9939E-04       2.0521E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.2500E-01       7.2372E-06       2.5504E-05       6.1947E-06       2.9414E-04       2.0815E-05       3.5751E-06       7.9939E-04       2.0495E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.3500E-01       7.2303E-06       2.5505E-05       6.4275E-06       2.9391E-04       2.0835E-05       3.6111E-06       7.9940E-04       2.0451E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.4500E-01       7.2279E-06       2.5505E-05       6.7022E-06       2.9363E-04       2.0855E-05       3.6457E-06       7.9940E-04       2.0391E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.5500E-01       7.2290E-06       2.5506E-05       7.0181E-06       2.9331E-04       2.0876E-05       3.6791E-06       7.9940E-04       2.0320E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.6500E-01       7.2331E-06       2.5506E-05       7.3746E-06       2.9296E-04       2.0896E-05       3.7115E-06       7.9940E-04       2.0239E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.7500E-01       7.2394E-06       2.5506E-05       7.7706E-06       2.9256E-04       2.0916E-05       3.7431E-06       7.9940E-04       2.0150E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.8500E-01       7.2476E-06       2.5506E-05       8.2050E-06       2.9212E-04       2.0937E-05       3.7741E-06       7.9941E-04       2.0055E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.9500E-01       7.2572E-06       2.5505E-05       8.6763E-06       2.9165E-04       2.0957E-05       3.8047E-06       7.9941E-04       1.9956E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.0500E-01       7.2680E-06       2.5505E-05       9.1834E-06       2.9114E-04       2.0978E-05       3.8348E-06       7.9941E-04       1.9852E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.1500E-01       7.2796E-06       2.5504E-05       9.7246E-06       2.9060E-04       2.0998E-05       3.8647E-06       7.9941E-04       1.9746E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.2500E-01       7.2918E-06       2.5504E-05       1.0299E-05       2.9002E-04       2.1018E-05       3.8944E-06       7.9942E-04       1.9638E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.3500E-01       7.3046E-06       2.5503E-05       1.0904E-05       2.8942E-04       2.1039E-05       3.9239E-06       7.9942E-04       1.9528E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.4500E-01       7.3176E-06       2.5503E-05       1.1539E-05       2.8878E-04       2.1059E-05       3.9533E-06       7.9942E-04       1.9417E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.5500E-01       7.3309E-06       2.5502E-05       1.2204E-05       2.8811E-04       2.1080E-05       3.9826E-06       7.9943E-04       1.9305E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.6500E-01       7.3444E-06       2.5501E-05       1.2895E-05       2.8742E-04       2.1100E-05       4.0119E-06       7.9943E-04       1.9193E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.7500E-01       7.3579E-06       2.5501E-05       1.3613E-05       2.8670E-04       2.1121E-05       4.0411E-06       7.9943E-04       1.9080E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.8500E-01       7.3715E-06       2.5500E-05       1.4357E-05       2.8595E-04       2.1141E-05       4.0703E-06       7.9944E-04       1.8967E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.9500E-01       7.3850E-06       2.5500E-05       1.5124E-05       2.8518E-04       2.1162E-05       4.0996E-06       7.9944E-04       1.8855E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.0500E-01       7.3985E-06       2.5499E-05       1.5916E-05       2.8439E-04       2.1182E-05       4.1289E-06       7.9945E-04       1.8742E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.1500E-01       7.4118E-06       2.5498E-05       1.6730E-05       2.8357E-04       2.1203E-05       4.1582E-06       7.9945E-04       1.8630E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.2500E-01       7.4251E-06       2.5498E-05       1.7566E-05       2.8273E-04       2.1223E-05       4.1875E-06       7.9945E-04       1.8519E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.3500E-01       7.4382E-06       2.5497E-05       1.8423E-05       2.8187E-04       2.1244E-05       4.2169E-06       7.9946E-04       1.8408E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.4500E-01       7.4511E-06       2.5496E-05       1.9301E-05       2.8099E-04       2.1264E-05       4.2463E-06       7.9946E-04       1.8297E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.5500E-01       7.4639E-06       2.5496E-05       2.0199E-05       2.8009E-04       2.1285E-05       4.2758E-06       7.9947E-04       1.8187E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.6500E-01       7.4766E-06       2.5495E-05       2.1117E-05       2.7917E-04       2.1305E-05       4.3053E-06       7.9947E-04       1.8077E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.7500E-01       7.4890E-06       2.5495E-05       2.2054E-05       2.7823E-04       2.1326E-05       4.3349E-06       7.9948E-04       1.7968E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.8500E-01       7.5013E-06       2.5494E-05       2.3009E-05       2.7727E-04       2.1346E-05       4.3646E-06       7.9948E-04       1.7860E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.9500E-01       7.5134E-06       2.5494E-05       2.3982E-05       2.7630E-04       2.1367E-05       4.3943E-06       7.9949E-04       1.7752E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.0500E-01       7.5253E-06       2.5493E-05       2.4972E-05       2.7530E-04       2.1387E-05       4.4241E-06       7.9949E-04       1.7645E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.1500E-01       7.5370E-06       2.5493E-05       2.5979E-05       2.7429E-04       2.1408E-05       4.4539E-06       7.9950E-04       1.7538E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.2500E-01       7.5485E-06       2.5492E-05       2.7002E-05       2.7327E-04       2.1428E-05       4.4838E-06       7.9950E-04       1.7432E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.3500E-01       7.5599E-06       2.5492E-05       2.8041E-05       2.7223E-04       2.1449E-05       4.5138E-06       7.9951E-04       1.7327E-06       1.0343E-03       2.0000E-04       2.0000E-04
