# Time          4.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.8500E-01      -3.0990E+01       1.1345E-01      -6.6996E+00      -1.3846E+00      -1.0031E+03
       5.9500E-01      -3.0990E+01       1.1349E-01      -6.6932E+00      -1.3815E+00      -1.0031E+03
       6.0500E-01      -3.0990E+01       1.1348E-01      -6.6868E+00      -1.3784E+00      -1.0031E+03
       6.1500E-01      -3.0990E+01       1.1343E-01      -6.6805E+00      -1.3753E+00      -1.0031E+03
       6.2500E-01      -3.0991E+01       1.1334E-01      -6.6742E+00      -1.3722E+00      -1.0031E+03
       6.3500E-01      -3.0991E+01       1.1323E-01      -6.6680E+00      -1.3692E+00      -1.0031E+03
       6.4500E-01      -3.0991E+01       1.1310E-01      -6.6618E+00      -1.3662E+00      -1.0031E+03
       6.5500E-01      -3.0992E+01       1.1294E-01      -6.6556E+00      -1.3632E+00      -1.0031E+03
       6.6500E-01      -3.0993E+01       1.1278E-01      -6.6495E+00      -1.3602E+00      -1.0031E+03
       6.7500E-01      -3.0993E+01       1.1260E-01      -6.6434E+00      -1.3572E+00      -1.0031E+03
       6.8500E-01      -3.0994E+01       1.1242E-01      -6.6373E+00      -1.3543E+00      -1.0031E+03
       6.9500E-01      -3.0995E+01       1.1223E-01      -6.6313E+00      -1.3513E+00      -1.0031E+03
       7.0500E-01      -3.0996E+01       1.1204E-01      -6.6253E+00      -1.3484E+00      -1.0031E+03
       7.1500E-01      -3.0997E+01       1.1184E-01      -6.6193E+00      -1.3455E+00      -1.0031E+03
       7.2500E-01      -3.0998E+01       1.1164E-01      -6.6133E+00      -1.3425E+00      -1.0031E+03
       7.3500E-01      -3.0999E+01       1.1144E-01      -6.6074E+00      -1.3397E+00      -1.0031E+03
       7.4500E-01      -3.1000E+01       1.1123E-01      -6.6015E+00      -1.3368E+00      -1.0031E+03
       7.5500E-01      -3.1001E+01       1.1103E-01      -6.5956E+00      -1.3339E+00      -1.0031E+03
       7.6500E-01      -3.1002E+01       1.1082E-01      -6.5897E+00      -1.3311E+00      -1.0031E+03
       7.7500E-01      -3.1003E+01       1.1062E-01      -6.5838E+00      -1.3282E+00      -1.0031E+03
       7.8500E-01      -3.1005E+01       1.1041E-01      -6.5780E+00      -1.3254E+00      -1.0031E+03
       7.9500E-01      -3.1006E+01       1.1021E-01      -6.5722E+00      -1.3226E+00      -1.0031E+03
       8.0500E-01      -3.1008E+01       1.1001E-01      -6.5664E+00      -1.3198E+00      -1.0031E+03
       8.1500E-01      -3.1009E+01       1.0981E-01      -6.5606E+00      -1.3170E+00      -1.0031E+03
       8.2500E-01      -3.1010E+01       1.0960E-01      -6.5548E+00      -1.3142E+00      -1.0031E+03
       8.3500E-01      -3.1012E+01       1.0940E-01      -6.5491E+00      -1.3114E+00      -1.0031E+03
       8.4500E-01      -3.1013E+01       1.0920E-01      -6.5434E+00      -1.3087E+00      -1.0031E+03
       8.5500E-01      -3.1015E+01       1.0901E-01      -6.5377E+00      -1.3059E+00      -1.0031E+03
       8.6500E-01      -3.1017E+01       1.0881E-01      -6.5320E+00      -1.3032E+00      -1.0031E+03
       8.7500E-01      -3.1018E+01       1.0861E-01      -6.5263E+00      -1.3005E+00      -1.0031E+03
       8.8500E-01      -3.1020E+01       1.0842E-01      -6.5207E+00      -1.2978E+00      -1.0031E+03
       8.9500E-01      -3.1021E+01       1.0822E-01      -6.5150E+00      -1.2951E+00      -1.0031E+03
       9.0500E-01      -3.1023E+01       1.0803E-01      -6.5094E+00      -1.2924E+00      -1.0031E+03
       9.1500E-01      -3.1025E+01       1.0784E-01      -6.5038E+00      -1.2897E+00      -1.0031E+03
       9.2500E-01      -3.1027E+01       1.0765E-01      -6.4983E+00      -1.2870E+00      -1.0031E+03
       9.3500E-01      -3.1028E+01       1.0746E-01      -6.4927E+00      -1.2844E+00      -1.0031E+03
       9.4500E-01      -3.1030E+01       1.0727E-01      -6.4872E+00      -1.2817E+00      -1.0031E+03
       9.5500E-01      -3.1032E+01       1.0709E-01      -6.4817E+00      -1.2791E+00      -1.0031E+03
       9.6500E-01      -3.1034E+01       1.0690E-01      -6.4762E+00      -1.2765E+00      -1.0031E+03
       9.7500E-01      -3.1035E+01       1.0672E-01      -6.4707E+00      -1.2739E+00      -1.0031E+03
