# Time          4.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       1.0500E-01       4.9044E+00      -4.8860E+00      -4.6724E+00      -4.3412E+00      -3.5942E+00      -4.6950E+00      -6.0194E+00      -3.0972E+00      -6.4091E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.3392E+00      -9.8059E+00      -6.5436E+00      -7.3569E+00      -1.0335E+01      -6.0897E+00      -1.9092E+01      -8.2931E+00      -7.2099E+00      -1.1037E+01      -9.2206E+00      -7.5403E+00      -1.3702E+01      -6.9043E+00      -1.2530E+01      -1.3011E+01      -9.0670E+00      -1.1452E+01      -1.1885E+01      -8.7176E+00      -1.2977E+01      -9.4727E+00      -1.4118E+01      -9.0705E+00
       1.1500E-01       4.9069E+00      -4.8885E+00      -4.6643E+00      -4.4051E+00      -3.5837E+00      -4.6946E+00      -5.9881E+00      -3.0972E+00      -6.3924E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.3174E+00      -9.7793E+00      -6.5244E+00      -7.3463E+00      -1.0324E+01      -6.0791E+00      -1.9056E+01      -8.2689E+00      -7.2124E+00      -1.1004E+01      -9.2203E+00      -7.6042E+00      -1.3675E+01      -6.9044E+00      -1.2496E+01      -1.3009E+01      -9.0645E+00      -1.1439E+01      -1.1861E+01      -8.6965E+00      -1.3028E+01      -9.5261E+00      -1.4105E+01      -9.0599E+00
       1.2500E-01       4.9094E+00      -4.8910E+00      -4.6569E+00      -4.4697E+00      -3.5747E+00      -4.6942E+00      -5.9589E+00      -3.0972E+00      -6.3763E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.2964E+00      -9.7531E+00      -6.5058E+00      -7.3373E+00      -1.0315E+01      -6.0692E+00      -1.9021E+01      -8.2453E+00      -7.2149E+00      -1.0972E+01      -9.2199E+00      -7.6687E+00      -1.3649E+01      -6.9044E+00      -1.2465E+01      -1.3006E+01      -9.0620E+00      -1.1426E+01      -1.1840E+01      -8.6776E+00      -1.3080E+01      -9.5807E+00      -1.4092E+01      -9.0500E+00
       1.3500E-01       4.9120E+00      -4.8935E+00      -4.6502E+00      -4.5337E+00      -3.5671E+00      -4.6939E+00      -5.9314E+00      -3.0972E+00      -6.3609E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.2758E+00      -9.7275E+00      -6.4878E+00      -7.3298E+00      -1.0308E+01      -6.0599E+00      -1.8989E+01      -8.2222E+00      -7.2175E+00      -1.0942E+01      -9.2195E+00      -7.7328E+00      -1.3623E+01      -6.9044E+00      -1.2435E+01      -1.3004E+01      -9.0594E+00      -1.1414E+01      -1.1820E+01      -8.6607E+00      -1.3132E+01      -9.6355E+00      -1.4080E+01      -9.0407E+00
       1.4500E-01       4.9146E+00      -4.8962E+00      -4.6441E+00      -4.5965E+00      -3.5608E+00      -4.6935E+00      -5.9056E+00      -3.0973E+00      -6.3461E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.2557E+00      -9.7021E+00      -6.4703E+00      -7.3235E+00      -1.0302E+01      -6.0512E+00      -1.8958E+01      -8.1995E+00      -7.2201E+00      -1.0913E+01      -9.2191E+00      -7.7956E+00      -1.3598E+01      -6.9044E+00      -1.2406E+01      -1.3001E+01      -9.0568E+00      -1.1403E+01      -1.1803E+01      -8.6458E+00      -1.3184E+01      -9.6896E+00      -1.4069E+01      -9.0321E+00
       1.5500E-01       4.9173E+00      -4.8989E+00      -4.6387E+00      -4.6573E+00      -3.5556E+00      -4.6930E+00      -5.8811E+00      -3.0973E+00      -6.3317E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.2360E+00      -9.6770E+00      -6.4533E+00      -7.3183E+00      -1.0296E+01      -6.0431E+00      -1.8928E+01      -8.1771E+00      -7.2228E+00      -1.0886E+01      -9.2187E+00      -7.8564E+00      -1.3573E+01      -6.9044E+00      -1.2379E+01      -1.2998E+01      -9.0541E+00      -1.1392E+01      -1.1787E+01      -8.6324E+00      -1.3234E+01      -9.7423E+00      -1.4058E+01      -9.0239E+00
       1.6500E-01       4.9200E+00      -4.9016E+00      -4.6338E+00      -4.7158E+00      -3.5513E+00      -4.6926E+00      -5.8577E+00      -3.0973E+00      -6.3177E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.2164E+00      -9.6519E+00      -6.4365E+00      -7.3140E+00      -1.0292E+01      -6.0355E+00      -1.8899E+01      -8.1548E+00      -7.2255E+00      -1.0860E+01      -9.2183E+00      -7.9148E+00      -1.3548E+01      -6.9044E+00      -1.2353E+01      -1.2996E+01      -9.0514E+00      -1.1382E+01      -1.1772E+01      -8.6205E+00      -1.3282E+01      -9.7931E+00      -1.4048E+01      -9.0163E+00
       1.7500E-01       4.9229E+00      -4.9045E+00      -4.6296E+00      -4.7717E+00      -3.5477E+00      -4.6922E+00      -5.8353E+00      -3.0973E+00      -6.3039E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.1969E+00      -9.6267E+00      -6.4198E+00      -7.3104E+00      -1.0288E+01      -6.0284E+00      -1.8871E+01      -8.1324E+00      -7.2284E+00      -1.0835E+01      -9.2179E+00      -7.9708E+00      -1.3522E+01      -6.9044E+00      -1.2328E+01      -1.2993E+01      -9.0485E+00      -1.1372E+01      -1.1758E+01      -8.6098E+00      -1.3328E+01      -9.8419E+00      -1.4038E+01      -9.0092E+00
       1.8500E-01       4.9259E+00      -4.9075E+00      -4.6259E+00      -4.8252E+00      -3.5447E+00      -4.6918E+00      -5.8136E+00      -3.0973E+00      -6.2902E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.1772E+00      -9.6010E+00      -6.4031E+00      -7.3074E+00      -1.0285E+01      -6.0217E+00      -1.8843E+01      -8.1097E+00      -7.2314E+00      -1.0810E+01      -9.2175E+00      -8.0242E+00      -1.3497E+01      -6.9044E+00      -1.2303E+01      -1.2990E+01      -9.0455E+00      -1.1362E+01      -1.1746E+01      -8.6001E+00      -1.3372E+01      -9.8887E+00      -1.4028E+01      -9.0025E+00
       1.9500E-01       4.9291E+00      -4.9107E+00      -4.6227E+00      -4.8763E+00      -3.5422E+00      -4.6914E+00      -5.7925E+00      -3.0973E+00      -6.2763E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.1570E+00      -9.5743E+00      -6.3861E+00      -7.3049E+00      -1.0283E+01      -6.0153E+00      -1.8816E+01      -8.0862E+00      -7.2346E+00      -1.0786E+01      -9.2170E+00      -8.0753E+00      -1.3470E+01      -6.9044E+00      -1.2279E+01      -1.2987E+01      -9.0423E+00      -1.1353E+01      -1.1734E+01      -8.5912E+00      -1.3413E+01      -9.9335E+00      -1.4019E+01      -8.9962E+00
