# Time          2.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.0000E-03      -3.3172E+01      -4.3417E+00      -1.1543E+01      -2.6083E+00      -1.0033E+03
       1.5000E-02      -3.3005E+01      -4.0460E+00      -1.1169E+01      -2.4966E+00      -1.0033E+03
       2.5000E-02      -3.2855E+01      -3.8001E+00      -1.0866E+01      -2.4079E+00      -1.0033E+03
       3.5000E-02      -3.2720E+01      -3.5879E+00      -1.0610E+01      -2.3342E+00      -1.0033E+03
       4.5000E-02      -3.2599E+01      -3.4000E+00      -1.0388E+01      -2.2712E+00      -1.0033E+03
       5.5000E-02      -3.2493E+01      -3.2308E+00      -1.0191E+01      -2.2163E+00      -1.0033E+03
       6.5000E-02      -3.2401E+01      -3.0764E+00      -1.0013E+01      -2.1675E+00      -1.0032E+03
       7.5000E-02      -3.2321E+01      -2.9339E+00      -9.8518E+00      -2.1236E+00      -1.0032E+03
       8.5000E-02      -3.2251E+01      -2.8013E+00      -9.7031E+00      -2.0837E+00      -1.0032E+03
       9.5000E-02      -3.2189E+01      -2.6771E+00      -9.5653E+00      -2.0472E+00      -1.0032E+03
       1.0500E-01      -3.2133E+01      -2.5600E+00      -9.4367E+00      -2.0135E+00      -1.0032E+03
       1.1500E-01      -3.2083E+01      -2.4491E+00      -9.3159E+00      -1.9823E+00      -1.0032E+03
       1.2500E-01      -3.2036E+01      -2.3435E+00      -9.2019E+00      -1.9531E+00      -1.0032E+03
       1.3500E-01      -3.1992E+01      -2.2424E+00      -9.0937E+00      -1.9256E+00      -1.0032E+03
       1.4500E-01      -3.1951E+01      -2.1452E+00      -8.9906E+00      -1.8998E+00      -1.0032E+03
       1.5500E-01      -3.1911E+01      -2.0513E+00      -8.8918E+00      -1.8753E+00      -1.0032E+03
       1.6500E-01      -3.1873E+01      -1.9600E+00      -8.7965E+00      -1.8519E+00      -1.0032E+03
       1.7500E-01      -3.1835E+01      -1.8704E+00      -8.7040E+00      -1.8295E+00      -1.0032E+03
       1.8500E-01      -3.1798E+01      -1.7817E+00      -8.6133E+00      -1.8078E+00      -1.0032E+03
       1.9500E-01      -3.1762E+01      -1.6925E+00      -8.5233E+00      -1.7867E+00      -1.0032E+03
       2.0500E-01      -3.1724E+01      -1.6011E+00      -8.4324E+00      -1.7658E+00      -1.0032E+03
       2.1500E-01      -3.1685E+01      -1.5052E+00      -8.3385E+00      -1.7447E+00      -1.0032E+03
       2.2500E-01      -3.1644E+01      -1.4012E+00      -8.2387E+00      -1.7230E+00      -1.0031E+03
       2.3500E-01      -3.1598E+01      -1.2841E+00      -8.1289E+00      -1.6999E+00      -1.0031E+03
       2.4500E-01      -3.1544E+01      -1.1470E+00      -8.0029E+00      -1.6746E+00      -1.0031E+03
       2.5500E-01      -3.1480E+01      -9.8005E-01      -7.8527E+00      -1.6457E+00      -1.0031E+03
       2.6500E-01      -3.1419E+01      -8.2956E-01      -7.7171E+00      -1.6197E+00      -1.0031E+03
       2.7500E-01      -3.1364E+01      -6.9459E-01      -7.5951E+00      -1.5965E+00      -1.0031E+03
       2.8500E-01      -3.1314E+01      -5.7435E-01      -7.4861E+00      -1.5757E+00      -1.0031E+03
       2.9500E-01      -3.1269E+01      -4.6808E-01      -7.3893E+00      -1.5572E+00      -1.0031E+03
       3.0500E-01      -3.1228E+01      -3.7499E-01      -7.3039E+00      -1.5408E+00      -1.0031E+03
       3.1500E-01      -3.1192E+01      -2.9418E-01      -7.2291E+00      -1.5262E+00      -1.0031E+03
       3.2500E-01      -3.1161E+01      -2.2469E-01      -7.1641E+00      -1.5134E+00      -1.0031E+03
       3.3500E-01      -3.1134E+01      -1.6544E-01      -7.1079E+00      -1.5020E+00      -1.0031E+03
       3.4500E-01      -3.1112E+01      -1.1537E-01      -7.0595E+00      -1.4920E+00      -1.0031E+03
       3.5500E-01      -3.1092E+01      -7.3360E-02      -7.0180E+00      -1.4831E+00      -1.0031E+03
       3.6500E-01      -3.1076E+01      -3.8370E-02      -6.9825E+00      -1.4752E+00      -1.0031E+03
       3.7500E-01      -3.1062E+01      -9.4031E-03      -6.9521E+00      -1.4681E+00      -1.0031E+03
       3.8500E-01      -3.1051E+01       1.4446E-02      -6.9261E+00      -1.4617E+00      -1.0031E+03
       3.9500E-01      -3.1041E+01       3.3987E-02      -6.9037E+00      -1.4558E+00      -1.0031E+03
       4.0500E-01      -3.1034E+01       4.9930E-02      -6.8844E+00      -1.4505E+00      -1.0031E+03
       4.1500E-01      -3.1027E+01       6.2889E-02      -6.8677E+00      -1.4455E+00      -1.0031E+03
       4.2500E-01      -3.1022E+01       7.3387E-02      -6.8531E+00      -1.4409E+00      -1.0031E+03
       4.3500E-01      -3.1018E+01       8.1863E-02      -6.8402E+00      -1.4365E+00      -1.0031E+03
       4.4500E-01      -3.1015E+01       8.8686E-02      -6.8287E+00      -1.4324E+00      -1.0031E+03
       4.5500E-01      -3.1012E+01       9.4161E-02      -6.8184E+00      -1.4285E+00      -1.0031E+03
       4.6500E-01      -3.1010E+01       9.8540E-02      -6.8091E+00      -1.4246E+00      -1.0031E+03
       4.7500E-01      -3.1008E+01       1.0203E-01      -6.8006E+00      -1.4210E+00      -1.0031E+03
       4.8500E-01      -3.1007E+01       1.0480E-01      -6.7927E+00      -1.4174E+00      -1.0031E+03
       4.9500E-01      -3.1006E+01       1.0698E-01      -6.7854E+00      -1.4139E+00      -1.0031E+03
       5.0500E-01      -3.1006E+01       1.0870E-01      -6.7786E+00      -1.4104E+00      -1.0031E+03
       5.1500E-01      -3.1005E+01       1.1003E-01      -6.7721E+00      -1.4071E+00      -1.0031E+03
       5.2500E-01      -3.1005E+01       1.1106E-01      -6.7660E+00      -1.4038E+00      -1.0031E+03
       5.3500E-01      -3.1005E+01       1.1184E-01      -6.7601E+00      -1.4005E+00      -1.0031E+03
       5.4500E-01      -3.1005E+01       1.1243E-01      -6.7545E+00      -1.3972E+00      -1.0031E+03
       5.5500E-01      -3.1005E+01       1.1285E-01      -6.7491E+00      -1.3940E+00      -1.0031E+03
       5.6500E-01      -3.1005E+01       1.1314E-01      -6.7439E+00      -1.3908E+00      -1.0031E+03
       5.7500E-01      -3.1005E+01       1.1334E-01      -6.7389E+00      -1.3877E+00      -1.0031E+03
       5.8500E-01      -3.1006E+01       1.1345E-01      -6.7341E+00      -1.3846E+00      -1.0031E+03
       5.9500E-01      -3.1006E+01       1.1349E-01      -6.7293E+00      -1.3814E+00      -1.0031E+03
       6.0500E-01      -3.1007E+01       1.1348E-01      -6.7248E+00      -1.3784E+00      -1.0031E+03
       6.1500E-01      -3.1007E+01       1.1342E-01      -6.7203E+00      -1.3753E+00      -1.0031E+03
       6.2500E-01      -3.1008E+01       1.1334E-01      -6.7160E+00      -1.3722E+00      -1.0031E+03
       6.3500E-01      -3.1009E+01       1.1322E-01      -6.7118E+00      -1.3692E+00      -1.0031E+03
       6.4500E-01      -3.1010E+01       1.1309E-01      -6.7077E+00      -1.3662E+00      -1.0031E+03
       6.5500E-01      -3.1010E+01       1.1294E-01      -6.7038E+00      -1.3632E+00      -1.0031E+03
       6.6500E-01      -3.1011E+01       1.1277E-01      -6.6999E+00      -1.3602E+00      -1.0031E+03
       6.7500E-01      -3.1012E+01       1.1260E-01      -6.6962E+00      -1.3572E+00      -1.0031E+03
       6.8500E-01      -3.1013E+01       1.1241E-01      -6.6926E+00      -1.3542E+00      -1.0031E+03
       6.9500E-01      -3.1014E+01       1.1222E-01      -6.6891E+00      -1.3513E+00      -1.0031E+03
       7.0500E-01      -3.1015E+01       1.1203E-01      -6.6858E+00      -1.3484E+00      -1.0031E+03
       7.1500E-01      -3.1016E+01       1.1183E-01      -6.6825E+00      -1.3454E+00      -1.0031E+03
       7.2500E-01      -3.1017E+01       1.1163E-01      -6.6794E+00      -1.3425E+00      -1.0031E+03
       7.3500E-01      -3.1019E+01       1.1143E-01      -6.6764E+00      -1.3396E+00      -1.0031E+03
       7.4500E-01      -3.1020E+01       1.1122E-01      -6.6736E+00      -1.3368E+00      -1.0031E+03
       7.5500E-01      -3.1021E+01       1.1102E-01      -6.6708E+00      -1.3339E+00      -1.0031E+03
       7.6500E-01      -3.1022E+01       1.1081E-01      -6.6682E+00      -1.3310E+00      -1.0031E+03
       7.7500E-01      -3.1023E+01       1.1061E-01      -6.6657E+00      -1.3282E+00      -1.0031E+03
       7.8500E-01      -3.1025E+01       1.1040E-01      -6.6634E+00      -1.3254E+00      -1.0031E+03
       7.9500E-01      -3.1026E+01       1.1020E-01      -6.6611E+00      -1.3225E+00      -1.0031E+03
       8.0500E-01      -3.1027E+01       1.0999E-01      -6.6591E+00      -1.3197E+00      -1.0031E+03
       8.1500E-01      -3.1029E+01       1.0979E-01      -6.6571E+00      -1.3169E+00      -1.0031E+03
       8.2500E-01      -3.1030E+01       1.0959E-01      -6.6553E+00      -1.3142E+00      -1.0031E+03
       8.3500E-01      -3.1031E+01       1.0939E-01      -6.6536E+00      -1.3114E+00      -1.0031E+03
       8.4500E-01      -3.1033E+01       1.0919E-01      -6.6520E+00      -1.3086E+00      -1.0031E+03
