# Time          1.0000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.0000E-03      -1.8588E-17       2.7247E-10      -8.9963E-12      -3.7405E-47      -1.7485E-07
       1.5000E-02      -2.1658E-17       6.0598E-11       0.0000E+00       7.0895E-46      -1.7485E-07
       2.5000E-02      -8.5854E-17       2.0693E-11       0.0000E+00       1.7789E-45      -1.7485E-07
       3.5000E-02      -7.7426E-16       9.1935E-12       0.0000E+00       3.2671E-45      -1.7485E-07
       4.5000E-02      -1.3067E-14       4.9033E-12       0.0000E+00       5.2760E-45      -1.7485E-07
       5.5000E-02      -3.7682E-13       2.9992E-12       0.0000E+00       7.8838E-45      -1.7485E-07
       6.5000E-02      -1.7085E-11       1.8785E-12       0.0000E+00       1.1031E-44      -1.7485E-07
       7.5000E-02      -1.1734E-09       4.3062E-13       0.0000E+00       1.4127E-44      -1.7485E-07
       8.5000E-02      -1.2072E-07      -2.2805E-12       0.0000E+00       1.4169E-44      -1.7485E-07
       9.5000E-02      -8.5484E-06      -3.3495E-12       0.0000E+00       8.9434E-46      -1.7485E-07
       1.0500E-01      -1.0272E-06      -3.3495E-12       0.0000E+00       6.4849E-46      -1.7485E-07
       1.1500E-01      -1.4454E-07      -3.3495E-12       0.0000E+00       6.6586E-46      -1.7485E-07
       1.2500E-01      -1.2372E-07      -3.3495E-12       0.0000E+00       6.8764E-46      -1.7485E-07
       1.3500E-01      -1.2417E-07      -3.3495E-12       0.0000E+00       7.0877E-46      -1.7485E-07
       1.4500E-01      -1.2478E-07      -3.3495E-12       0.0000E+00       7.2926E-46      -1.7485E-07
       1.5500E-01      -1.2512E-07      -3.3495E-12       0.0000E+00       7.4927E-46      -1.7485E-07
       1.6500E-01      -1.2524E-07      -3.3495E-12       0.0000E+00       7.6898E-46      -1.7485E-07
       1.7500E-01      -1.2515E-07      -3.3495E-12       0.0000E+00       7.8856E-46      -1.7485E-07
       1.8500E-01      -1.2487E-07      -3.3495E-12       0.0000E+00       8.0817E-46      -1.7485E-07
       1.9500E-01      -1.2443E-07      -3.3495E-12       0.0000E+00       8.2790E-46      -1.7485E-07
       2.0500E-01      -1.2385E-07      -3.3495E-12       0.0000E+00       8.4772E-46      -1.7485E-07
       2.1500E-01      -1.2317E-07      -3.3494E-12       0.0000E+00       8.6748E-46      -1.7485E-07
       2.2500E-01      -1.2246E-07      -3.3494E-12       0.0000E+00       8.8680E-46      -1.7485E-07
       2.3500E-01      -1.2200E-07      -3.3493E-12       0.0000E+00       9.0502E-46      -1.7485E-07
       2.4500E-01      -1.2773E-07      -3.3492E-12       0.0000E+00       9.2118E-46      -1.7485E-07
       2.5500E-01       0.0000E+00      -3.3491E-11       0.0000E+00       9.3646E-46       0.0000E+00
       2.6500E-01       0.0000E+00      -3.3488E-11       0.0000E+00       9.5194E-46       0.0000E+00
       2.7500E-01       0.0000E+00      -3.3485E-11       0.0000E+00       9.6757E-46       0.0000E+00
       2.8500E-01       0.0000E+00      -3.3482E-11       0.0000E+00       9.8328E-46       0.0000E+00
       2.9500E-01       0.0000E+00      -3.3477E-11       0.0000E+00       9.9897E-46       0.0000E+00
       3.0500E-01       0.0000E+00      -3.3472E-11       0.0000E+00       1.0145E-45       0.0000E+00
