# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  2.66891E-06                5.00060057446884E+00   5.38823956115588E-06   1.07002339038063E-04   1.12880855269806E-04   1.69567536166292E-04
  2.85221E-06                5.00060068221423E+00   5.38823479907362E-06   1.07002339677739E-04   1.12880855304853E-04   1.69567536219889E-04
  3.12126E-06                5.00060084036300E+00   5.38822780938908E-06   1.07002340616686E-04   1.12880855357747E-04   1.69567536301185E-04
  3.50774E-06                5.00060106754124E+00   5.38821776882884E-06   1.07002341965473E-04   1.12880855433889E-04   1.69567536418263E-04
  3.94054E-06                5.00060132195453E+00   5.38820652474775E-06   1.07002343476011E-04   1.12880855521655E-04   1.69567536553910E-04
  4.56999E-06                5.00060169195277E+00   5.38819017198443E-06   1.07002345672740E-04   1.12880855645504E-04   1.69567536744305E-04
  5.51886E-06                5.00060224970660E+00   5.38816552096146E-06   1.07002348984186E-04   1.12880855831519E-04   1.69567537030073E-04
  7.12517E-06                5.00060319390929E+00   5.38812378982403E-06   1.07002354589960E-04   1.12880856143018E-04   1.69567537507659E-04
  9.16449E-06                5.00060439265707E+00   5.38807080935510E-06   1.07002361707241E-04   1.12880856550261E-04   1.69567538135362E-04
  1.20717E-05                5.00060610155797E+00   5.38799528136726E-06   1.07002371853317E-04   1.12880857123513E-04   1.69567539016948E-04
  1.56842E-05                5.00060822502688E+00   5.38790143158211E-06   1.07002384461044E-04   1.12880857846767E-04   1.69567540132245E-04
  2.08642E-05                5.00061126989479E+00   5.38776685804349E-06   1.07002402539182E-04   1.12880858867537E-04   1.69567541701885E-04
  3.07005E-05                5.00061705175038E+00   5.38751131468029E-06   1.07002436866802E-04   1.12880860756499E-04   1.69567544592801E-04
  4.38256E-05                5.00062476690823E+00   5.38717033043908E-06   1.07002482675147E-04   1.12880863362837E-04   1.69567548605995E-04
  5.69433E-05                5.00063247781533E+00   5.38682954108710E-06   1.07002528461052E-04   1.12880866064678E-04   1.69567552793044E-04
  7.15913E-05                5.00064108827127E+00   5.38644899219433E-06   1.07002579588300E-04   1.12880869036795E-04   1.69567557387104E-04
  8.87022E-05                5.00065114640830E+00   5.38600445984718E-06   1.07002639312414E-04   1.12880872488648E-04   1.69567562717257E-04
  1.22924E-04                5.00067126208564E+00   5.38511539520727E-06   1.07002758753619E-04   1.12880879034049E-04   1.69567572727029E-04
  1.52453E-04                5.00068862050901E+00   5.38434823573721E-06   1.07002861839135E-04   1.12880885252851E-04   1.69567582400361E-04
  1.75378E-04                5.00070209676562E+00   5.38375265591505E-06   1.07002941874442E-04   1.12880890169430E-04   1.69567590071696E-04
  1.99765E-04                5.00071643147002E+00   5.38311911890072E-06   1.07003027005484E-04   1.12880895149934E-04   1.69567597779136E-04
  2.48537E-04                5.00074509982083E+00   5.38185204498541E-06   1.07003197256166E-04   1.12880904478468E-04   1.69567612045215E-04
  2.99642E-04                5.00077514068716E+00   5.38052435772191E-06   1.07003375683377E-04   1.12880914934078E-04   1.69567628229173E-04
  3.62782E-04                5.00081225571201E+00   5.37888400039563E-06   1.07003596138259E-04   1.12880927585245E-04   1.69567647740992E-04
  4.12666E-04                5.00084157941265E+00   5.37758804069934E-06   1.07003770341085E-04   1.12880938248787E-04   1.69567664369734E-04
  4.78969E-04                5.00088055288832E+00   5.37586553600829E-06   1.07004001866878E-04   1.12880951423693E-04   1.69567684659764E-04
  5.61438E-04                5.00092902938257E+00   5.37372303463585E-06   1.07004289876455E-04   1.12880967933272E-04   1.69567710118039E-04
  7.26376E-04                5.00102597983635E+00   5.36943803330720E-06   1.07004865892697E-04   1.12880999479574E-04   1.69567758360927E-04
  8.58935E-04                5.00110390284696E+00   5.36599421484828E-06   1.07005328884552E-04   1.12881027728002E-04   1.69567802387268E-04
  9.55185E-04                5.00116048270773E+00   5.36349369272192E-06   1.07005664983273E-04   1.12881048623213E-04   1.69567835054885E-04
  1.05439E-03                5.00121879561642E+00   5.36091650681946E-06   1.07006011097671E-04   1.12881068972168E-04   1.69567866569215E-04
  1.17803E-03                5.00129147633274E+00   5.35770433800755E-06   1.07006441429971E-04   1.12881093720030E-04   1.69567904730535E-04
  1.32854E-03                5.00137995929622E+00   5.35379402869073E-06   1.07006961044960E-04   1.12881123929464E-04   1.69567951335601E-04
  1.62958E-03                5.00155705790019E+00   5.34597341563764E-06   1.07007894963152E-04   1.12881181504352E-04   1.69568039382923E-04
  1.87633E-03                5.00170244953372E+00   5.33956297959657E-06   1.07008493900580E-04   1.12881233906125E-04   1.69568121005696E-04
  2.06108E-03                5.00181151383801E+00   5.33476311119329E-06   1.07008789598812E-04   1.12881273779960E-04   1.69568183282797E-04
  2.25749E-03                5.00192780609287E+00   5.32966069099315E-06   1.07008831302008E-04   1.12881313884704E-04   1.69568245341270E-04
  2.62283E-03                5.00214668802979E+00   5.32016924903549E-06   1.07006952205942E-04   1.12881384135195E-04   1.69568352878317E-04
  2.91657E-03                5.00232521664760E+00   5.31253820309924E-06   1.07003506394843E-04   1.12881446634955E-04   1.69568450242479E-04
  3.13605E-03                5.00246045472941E+00   5.30683619191612E-06   1.06999532082766E-04   1.12881493911131E-04   1.69568524031070E-04
  3.37017E-03                5.00260735984667E+00   5.30075396240726E-06   1.06993273081750E-04   1.12881541570176E-04   1.69568597713415E-04
  3.65254E-03                5.00278945198366E+00   5.29341829351670E-06   1.06981986731204E-04   1.12881598093421E-04   1.69568684832024E-04
  3.95143E-03                5.00298898853291E+00   5.28565319936471E-06   1.06964886279649E-04   1.12881658810813E-04   1.69568778626637E-04
  4.54923E-03                5.00342428149419E+00   5.27012304750626E-06   1.06903184133227E-04   1.12881772412182E-04   1.69568952063033E-04
  5.01127E-03                5.00378602607293E+00   5.25811946528935E-06   1.06836387058596E-04   1.12881869847136E-04   1.69569103251171E-04
  5.35423E-03                5.00406971766281E+00   5.24920975530329E-06   1.06775366612259E-04   1.12881942239624E-04   1.69569215468818E-04
  5.73555E-03                5.00440520059939E+00   5.23930341465619E-06   1.06692420102775E-04   1.12882017902490E-04   1.69569331583624E-04
  6.49819E-03                5.00516099859880E+00   5.21949081449296E-06   1.06462830367655E-04   1.12882160706870E-04   1.69569548669408E-04
  7.07657E-03                5.00578385725239E+00   5.20446534828863E-06   1.06251876544681E-04   1.12882279228264E-04   1.69569730676545E-04
  7.49889E-03                5.00626504582644E+00   5.19349398342919E-06   1.06078421333593E-04   1.12882365424726E-04   1.69569862661253E-04
  7.96358E-03                5.00682563308412E+00   5.18142186879557E-06   1.05864700064313E-04   1.12882455053797E-04   1.69569998858567E-04
  8.89297E-03                5.00806031319115E+00   5.15727781303116E-06   1.05354328306151E-04   1.12882625395934E-04   1.69570256083949E-04
  9.55902E-03                5.00900023465773E+00   5.13997493163722E-06   1.04949625149645E-04   1.12882757302567E-04   1.69570455704564E-04
  1.00463E-02                5.00971557709128E+00   5.12731733106348E-06   1.04634247923246E-04   1.12882852633933E-04   1.69570599415963E-04
  1.06132E-02                5.01058198594733E+00   5.11259018059215E-06   1.04243593374004E-04   1.12882958173144E-04   1.69570757999266E-04
  1.16152E-02                5.01220254856774E+00   5.08655982983599E-06   1.03492004560248E-04   1.12883139141560E-04   1.69571029428210E-04
  1.23624E-02                5.01345635999943E+00   5.06714887480107E-06   1.02902610535827E-04   1.12883281205034E-04   1.69571241388036E-04
  1.29849E-02                5.01452891122950E+00   5.05097712297470E-06   1.02394225165771E-04   1.12883397624399E-04   1.69571414736009E-04
  1.38520E-02                5.01606687252949E+00   5.02845344364727E-06   1.01659094745423E-04   1.12883553858075E-04   1.69571647741794E-04
  1.48337E-02                5.01785509701469E+00   5.00295320498316E-06   1.00800329959641E-04   1.12883731855873E-04   1.69571912383786E-04
  1.57371E-02                5.01953456424235E+00   4.97948715825219E-06   9.99931210193985E-05   1.12883896950483E-04   1.69572156898207E-04
  1.68842E-02                5.02170762648220E+00   4.94968950072200E-06   9.89499211211489E-05   1.12884102342947E-04   1.69572461775512E-04
  1.80910E-02                5.02402879250271E+00   4.91834452012935E-06   9.78408332131973E-05   1.12884319727735E-04   1.69572783393411E-04
  1.91740E-02                5.02613529979862E+00   4.89021293016815E-06   9.68408757320333E-05   1.12884516037398E-04   1.69573072876202E-04
  2.04237E-02                5.02858624884172E+00   4.85775654133829E-06   9.56868689945177E-05   1.12884739350250E-04   1.69573403173336E-04
  2.17537E-02                5.03121184932198E+00   4.82321307156711E-06   9.44634438828144E-05   1.12884977653105E-04   1.69573755088887E-04
  2.29640E-02                5.03361235140007E+00   4.79178389129064E-06   9.33571918328396E-05   1.12885196042378E-04   1.69574076699089E-04
  2.44692E-02                5.03660509669874E+00   4.75269711573545E-06   9.19959555104265E-05   1.12885463734000E-04   1.69574472733669E-04
  2.58141E-02                5.03928596468607E+00   4.71777401987809E-06   9.07932436404100E-05   1.12885706635261E-04   1.69574830284683E-04
  2.72304E-02                5.04211132808725E+00   4.68100393679671E-06   8.95434099796827E-05   1.12885960397269E-04   1.69575204870268E-04
  2.90400E-02                5.04571812297290E+00   4.63402719112992E-06   8.79752588973852E-05   1.12886282167467E-04   1.69575681193813E-04
  3.04416E-02                5.04851584395870E+00   4.59764560688848E-06   8.67783112256957E-05   1.12886537891425E-04   1.69576056881390E-04
  3.17339E-02                5.05109569990696E+00   4.56410702212595E-06   8.56899231972220E-05   1.12886771437032E-04   1.69576401150147E-04
  3.37438E-02                5.05509549483876E+00   4.51195730043823E-06   8.40337021546250E-05   1.12887126933362E-04   1.69576928866010E-04
  3.51579E-02                5.05791417191802E+00   4.47527371771434E-06   8.28862555003400E-05   1.12887387325735E-04   1.69577311120892E-04
  3.64291E-02                5.06044832879813E+00   4.44230127896053E-06   8.18689034277610E-05   1.12887617970097E-04   1.69577651302792E-04
  3.82567E-02                5.06408209551851E+00   4.39491581275058E-06   8.04350660465987E-05   1.12887942670374E-04   1.69578133210841E-04
  3.97973E-02                5.06714692442051E+00   4.35498386194393E-06   7.92462488314833E-05   1.12888223693476E-04   1.69578547523145E-04
  4.17001E-02                5.07092599202701E+00   4.30568395233230E-06   7.78073075122040E-05   1.12888564274470E-04   1.69579052420279E-04
  4.34949E-02                5.07449085835527E+00   4.25920378191010E-06   7.64753719469831E-05   1.12888890072915E-04   1.69579533883107E-04
  4.59563E-02                5.07936754333961E+00   4.19551008596619E-06   7.46945717248794E-05   1.12889329359412E-04   1.69580186148053E-04
  4.78963E-02                5.08321796953216E+00   4.14534344364956E-06   7.33184411761557E-05   1.12889686119676E-04   1.69580712338202E-04
  4.96699E-02                5.08674022571692E+00   4.09951451080115E-06   7.20826902554819E-05   1.12890009395329E-04   1.69581190305051E-04
