# Time          5.0000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.0000E-03       0.0000E+00      -3.3494E-12      -1.2843E-11      -3.4109E-46      -1.7485E-07
       1.5000E-02       0.0000E+00      -3.3492E-12      -1.2843E-11      -3.4078E-46      -1.7485E-07
       2.5000E-02       0.0000E+00      -3.3488E-12      -1.2843E-11      -3.4044E-46      -1.7485E-07
       3.5000E-02       0.0000E+00      -3.3482E-12      -1.2843E-11      -3.4007E-46      -1.7485E-07
       4.5000E-02       0.0000E+00      -3.3471E-12      -1.2843E-11      -3.3965E-46      -1.7485E-07
       5.5000E-02       0.0000E+00      -3.3451E-12      -1.2843E-11      -3.3915E-46      -1.7485E-07
       6.5000E-02       0.0000E+00      -3.3412E-12      -1.2843E-11      -3.3858E-46      -1.7485E-07
       7.5000E-02       0.0000E+00      -3.3336E-12      -1.2843E-11      -3.3788E-46      -1.7485E-07
       8.5000E-02       0.0000E+00      -3.3171E-12      -1.2843E-11      -3.3704E-46      -1.7485E-07
       9.5000E-02       0.0000E+00      -3.2774E-12      -1.2843E-11      -3.3600E-46      -1.7485E-07
       1.0500E-01       0.0000E+00      -3.1677E-12      -1.2843E-11      -3.3471E-46      -1.7485E-07
       1.1500E-01       0.0000E+00      -2.7996E-12      -1.2843E-11      -3.3311E-46      -1.7485E-07
       1.2500E-01       0.0000E+00      -1.2184E-12      -1.2843E-11      -3.3110E-46      -1.7485E-07
       1.3500E-01       0.0000E+00       6.9986E-12      -1.2843E-11      -3.2857E-46      -1.7485E-07
       1.4500E-01       0.0000E+00       3.5434E-11      -1.2843E-11      -3.2536E-46      -1.7485E-07
       1.5500E-01       0.0000E+00       5.3005E-11      -1.2843E-11      -3.2114E-46      -1.7485E-07
       1.6500E-01       0.0000E+00       3.8625E-11      -1.2843E-11      -3.1559E-46      -1.7485E-07
       1.7500E-01       0.0000E+00       2.3434E-11      -1.2843E-11      -3.0846E-46      -1.7485E-07
       1.8500E-01       0.0000E+00       1.4976E-11      -1.2842E-11      -2.9946E-46      -1.7485E-07
       1.9500E-01       0.0000E+00       1.0766E-11      -1.2842E-11      -2.8821E-46      -1.7485E-07
       2.0500E-01       0.0000E+00       8.6589E-12      -1.2841E-11      -2.7425E-46      -1.7485E-07
       2.1500E-01       0.0000E+00       7.5418E-12      -1.2840E-11      -2.5706E-46      -1.7485E-07
       2.2500E-01       0.0000E+00       6.8235E-12      -1.2838E-11      -2.3599E-46      -1.7485E-07
       2.3500E-01       0.0000E+00       6.0472E-12      -1.2834E-11      -2.1032E-46      -1.7485E-07
       2.4500E-01       0.0000E+00       4.5470E-12      -1.2828E-11      -1.7925E-46      -1.7485E-07
       2.5500E-01       0.0000E+00       1.2140E-11      -1.2822E-11      -1.4188E-46       0.0000E+00
       2.6500E-01       0.0000E+00       7.3545E-12      -1.2806E-11      -9.7174E-47       0.0000E+00
       2.7500E-01       0.0000E+00       6.5154E-12      -1.2778E-11      -4.4051E-47       0.0000E+00
       2.8500E-01       0.0000E+00       6.3349E-12      -1.2727E-11       1.8679E-47       0.0000E+00
       2.9500E-01       0.0000E+00       6.2553E-12      -1.2639E-11       9.2281E-47       0.0000E+00
       3.0500E-01       0.0000E+00       6.1655E-12      -1.2489E-11       1.7808E-46       0.0000E+00
       3.1500E-01       0.0000E+00       6.0263E-12      -1.2237E-11       2.7746E-46       0.0000E+00
       3.2500E-01       0.0000E+00       5.8007E-12      -1.1818E-11       3.9180E-46       0.0000E+00
       3.3500E-01       0.0000E+00       5.4370E-12      -1.1135E-11       5.2247E-46       0.0000E+00
       3.4500E-01       0.0000E+00       4.8610E-12      -1.0041E-11       6.7083E-46       0.0000E+00
       3.5500E-01       0.0000E+00       3.9747E-12      -8.3231E-12       8.3811E-46       0.0000E+00
       3.6500E-01       0.0000E+00       2.6832E-12      -5.6908E-12       1.0255E-45       0.0000E+00
       3.7500E-01       0.0000E+00       1.0592E-12      -1.7395E-12       1.2339E-45       0.0000E+00
       3.8500E-01       0.0000E+00       1.6716E-13       0.0000E+00       1.4643E-45       0.0000E+00
       3.9500E-01       0.0000E+00      -2.3465E-14       0.0000E+00       1.7173E-45       0.0000E+00
       4.0500E-01       0.0000E+00      -6.2381E-14       0.0000E+00       1.9932E-45       0.0000E+00
       4.1500E-01       0.0000E+00      -6.6859E-14       0.0000E+00       2.2922E-45       0.0000E+00
       4.2500E-01       0.0000E+00      -6.2640E-14       0.0000E+00       2.6142E-45       0.0000E+00
       4.3500E-01       0.0000E+00      -5.5627E-14       0.0000E+00       2.9588E-45       0.0000E+00
       4.4500E-01       0.0000E+00      -4.7382E-14       0.0000E+00       3.3253E-45       0.0000E+00
       4.5500E-01       0.0000E+00      -3.8495E-14       0.0000E+00       3.7128E-45       0.0000E+00
       4.6500E-01       0.0000E+00      -2.9296E-14       0.0000E+00       4.1200E-45       0.0000E+00
       4.7500E-01       0.0000E+00      -2.0000E-14       0.0000E+00       4.5454E-45       0.0000E+00
       4.8500E-01       0.0000E+00      -1.0721E-14       0.0000E+00       4.9872E-45       0.0000E+00
       4.9500E-01       0.0000E+00      -1.4829E-15       0.0000E+00       5.4433E-45       0.0000E+00
       5.0500E-01       0.0000E+00       7.7803E-15       0.0000E+00       5.9113E-45       0.0000E+00
       5.1500E-01       0.0000E+00       1.7216E-14       0.0000E+00       6.3886E-45       0.0000E+00
       5.2500E-01       0.0000E+00       2.7045E-14       0.0000E+00       6.8724E-45       0.0000E+00
       5.3500E-01       0.0000E+00       3.7564E-14       0.0000E+00       7.3595E-45       0.0000E+00
       5.4500E-01       0.0000E+00       4.9141E-14       0.0000E+00       7.8468E-45       0.0000E+00
       5.5500E-01       0.0000E+00       6.2231E-14       0.0000E+00       8.3309E-45       0.0000E+00
       5.6500E-01       0.0000E+00       7.7398E-14       0.0000E+00       8.8081E-45       0.0000E+00
       5.7500E-01       0.0000E+00       9.5343E-14       0.0000E+00       9.2748E-45       0.0000E+00
       5.8500E-01       0.0000E+00       1.1696E-13       0.0000E+00       9.7272E-45       0.0000E+00
       5.9500E-01       0.0000E+00       1.4342E-13       0.0000E+00       1.0162E-44       0.0000E+00
       6.0500E-01       0.0000E+00       1.7631E-13       0.0000E+00       1.0574E-44       0.0000E+00
       6.1500E-01       0.0000E+00       2.1781E-13       0.0000E+00       1.0960E-44       0.0000E+00
       6.2500E-01       0.0000E+00       2.7111E-13       0.0000E+00       1.1316E-44       0.0000E+00
       6.3500E-01       0.0000E+00       3.4101E-13       0.0000E+00       1.1637E-44       0.0000E+00
       6.4500E-01       0.0000E+00       4.3502E-13       0.0000E+00       1.1920E-44       0.0000E+00
       6.5500E-01       0.0000E+00       5.6535E-13       0.0000E+00       1.2160E-44       0.0000E+00
       6.6500E-01       0.0000E+00       7.5228E-13       0.0000E+00       1.2353E-44       0.0000E+00
       6.7500E-01       0.0000E+00       1.0300E-12       0.0000E+00       1.2494E-44       0.0000E+00
       6.8500E-01       0.0000E+00       1.4563E-12       0.0000E+00       1.2579E-44       0.0000E+00
       6.9500E-01       0.0000E+00       2.1273E-12       0.0000E+00       1.2602E-44       0.0000E+00
       7.0500E-01       0.0000E+00       3.2005E-12       0.0000E+00       1.2559E-44       0.0000E+00
       7.1500E-01       0.0000E+00       4.9271E-12       0.0000E+00       1.2444E-44       0.0000E+00
       7.2500E-01       0.0000E+00       7.6954E-12       0.0000E+00       1.2251E-44       0.0000E+00
       7.3500E-01       0.0000E+00       1.2086E-11       0.0000E+00       1.1976E-44       0.0000E+00
