# Time          5.0000E+00
# Units: mol/m3
    Distance        CO2(g)          
       0.0000E+00       1.8154E-02
       5.0000E-03       1.8371E-02
       1.5000E-02       1.8761E-02
       2.5000E-02       1.9117E-02
       3.5000E-02       1.9439E-02
       4.5000E-02       1.9727E-02
       5.5000E-02       1.9981E-02
       6.5000E-02       2.0202E-02
       7.5000E-02       2.0388E-02
       8.5000E-02       2.0541E-02
       9.5000E-02       2.0659E-02
       1.0500E-01       2.0744E-02
       1.1500E-01       2.0795E-02
       1.2500E-01       2.0812E-02
       1.3500E-01       2.0795E-02
       1.4500E-01       2.0743E-02
       1.5500E-01       2.0658E-02
       1.6500E-01       2.0538E-02
       1.7500E-01       2.0384E-02
       1.8500E-01       2.0197E-02
       1.9500E-01       1.9975E-02
       2.0500E-01       1.9719E-02
       2.1500E-01       1.9430E-02
       2.2500E-01       1.9106E-02
       2.3500E-01       1.8749E-02
       2.4500E-01       1.8358E-02
       2.5500E-01       1.7933E-02
       2.6500E-01       1.7509E-02
       2.7500E-01       1.7084E-02
       2.8500E-01       1.6660E-02
       2.9500E-01       1.6236E-02
       3.0500E-01       1.5812E-02
       3.1500E-01       1.5389E-02
       3.2500E-01       1.4965E-02
       3.3500E-01       1.4543E-02
       3.4500E-01       1.4121E-02
       3.5500E-01       1.3699E-02
       3.6500E-01       1.3279E-02
       3.7500E-01       1.2860E-02
       3.8500E-01       1.2444E-02
       3.9500E-01       1.2029E-02
       4.0500E-01       1.1617E-02
       4.1500E-01       1.1209E-02
       4.2500E-01       1.0804E-02
       4.3500E-01       1.0402E-02
       4.4500E-01       1.0006E-02
       4.5500E-01       9.6134E-03
       4.6500E-01       9.2260E-03
       4.7500E-01       8.8436E-03
       4.8500E-01       8.4663E-03
       4.9500E-01       8.0943E-03
       5.0500E-01       7.7275E-03
       5.1500E-01       7.3662E-03
       5.2500E-01       7.0102E-03
       5.3500E-01       6.6596E-03
       5.4500E-01       6.3144E-03
       5.5500E-01       5.9747E-03
       5.6500E-01       5.6405E-03
       5.7500E-01       5.3120E-03
       5.8500E-01       4.9892E-03
       5.9500E-01       4.6722E-03
       6.0500E-01       4.3614E-03
       6.1500E-01       4.0568E-03
       6.2500E-01       3.7588E-03
       6.3500E-01       3.4678E-03
       6.4500E-01       3.1840E-03
       6.5500E-01       2.9080E-03
       6.6500E-01       2.6402E-03
       6.7500E-01       2.3813E-03
       6.8500E-01       2.1319E-03
       6.9500E-01       1.8926E-03
       7.0500E-01       1.6644E-03
       7.1500E-01       1.4480E-03
       7.2500E-01       1.2443E-03
       7.3500E-01       1.0542E-03
       7.4500E-01       8.7878E-04
       7.5500E-01       7.1883E-04
       7.6500E-01       5.7520E-04
       7.7500E-01       4.4858E-04
       7.8500E-01       3.3939E-04
       7.9500E-01       2.4775E-04
       8.0500E-01       1.7336E-04
       8.1500E-01       1.1541E-04
       8.2500E-01       7.2570E-05
       8.3500E-01       4.2924E-05
       8.4500E-01       2.4046E-05
       8.5500E-01       1.3115E-05
       8.6500E-01       7.2976E-06
       8.7500E-01       4.3188E-06
       8.8500E-01       2.7644E-06
       8.9500E-01       1.9066E-06
       9.0500E-01       1.4008E-06
       9.1500E-01       1.0834E-06
       9.2500E-01       8.7315E-07
       9.3500E-01       7.2761E-07
       9.4500E-01       6.2308E-07
       9.5500E-01       5.4572E-07
       9.6500E-01       4.8704E-07
       9.7500E-01       4.4161E-07
       9.8500E-01       4.0584E-07
       9.9500E-01       3.7729E-07
       1.0050E+00       3.5425E-07
       1.0150E+00       3.3547E-07
       1.0250E+00       3.2007E-07
       1.0350E+00       3.0736E-07
       1.0450E+00       2.9682E-07
       1.0550E+00       2.8808E-07
       1.0650E+00       2.8081E-07
       1.0750E+00       2.7476E-07
       1.0850E+00       2.6975E-07
       1.0950E+00       2.6561E-07
       1.1050E+00       2.6221E-07
       1.1150E+00       2.5944E-07
       1.1250E+00       2.5721E-07
       1.1350E+00       2.5545E-07
       1.1450E+00       2.5409E-07
       1.1550E+00       2.5308E-07
       1.1650E+00       2.5238E-07
       1.1750E+00       2.5194E-07
       1.1850E+00       2.5172E-07
       1.1950E+00       2.5171E-07
       1.2050E+00       2.5187E-07
       1.2150E+00       2.5219E-07
       1.2250E+00       2.5264E-07
       1.2350E+00       2.5320E-07
       1.2450E+00       2.5387E-07
       1.2550E+00       2.5463E-07
       1.2650E+00       2.5547E-07
       1.2750E+00       2.5638E-07
       1.2850E+00       2.5735E-07
       1.2950E+00       2.5837E-07
       1.3050E+00       2.5944E-07
       1.3150E+00       2.6055E-07
       1.3250E+00       2.6170E-07
       1.3350E+00       2.6289E-07
       1.3450E+00       2.6410E-07
       1.3550E+00       2.6534E-07
       1.3650E+00       2.6660E-07
       1.3750E+00       2.6788E-07
       1.3850E+00       2.6919E-07
       1.3950E+00       2.7050E-07
       1.4050E+00       2.7184E-07
       1.4150E+00       2.7319E-07
       1.4250E+00       2.7455E-07
       1.4350E+00       2.7593E-07
       1.4450E+00       2.7731E-07
       1.4550E+00       2.7871E-07
       1.4650E+00       2.8012E-07
       1.4750E+00       2.8154E-07
       1.4850E+00       2.8296E-07
       1.4950E+00       2.8440E-07
       1.5050E+00       2.8585E-07
       1.5150E+00       2.8731E-07
       1.5250E+00       2.8877E-07
       1.5350E+00       2.9025E-07
       1.5450E+00       2.9173E-07
       1.5550E+00       2.9323E-07
       1.5650E+00       2.9473E-07
       1.5750E+00       2.9625E-07
       1.5850E+00       2.9777E-07
       1.5950E+00       2.9931E-07
       1.6050E+00       3.0085E-07
       1.6150E+00       3.0241E-07
       1.6250E+00       3.0398E-07
       1.6350E+00       3.0556E-07
       1.6450E+00       3.0715E-07
       1.6550E+00       3.0876E-07
       1.6650E+00       3.1037E-07
       1.6750E+00       3.1200E-07
       1.6850E+00       3.1365E-07
       1.6950E+00       3.1530E-07
       1.7050E+00       3.1697E-07
       1.7150E+00       3.1866E-07
       1.7250E+00       3.2036E-07
       1.7350E+00       3.2208E-07
       1.7450E+00       3.2381E-07
       1.7550E+00       3.2556E-07
       1.7650E+00       3.2732E-07
       1.7750E+00       3.2911E-07
       1.7850E+00       3.3091E-07
       1.7950E+00       3.3273E-07
       1.8050E+00       3.3457E-07
       1.8150E+00       3.3642E-07
       1.8250E+00       3.3830E-07
       1.8350E+00       3.4020E-07
       1.8450E+00       3.4211E-07
       1.8550E+00       3.4405E-07
       1.8650E+00       3.4601E-07
       1.8750E+00       3.4799E-07
       1.8850E+00       3.5000E-07
       1.8950E+00       3.5203E-07
       1.9050E+00       3.5408E-07
       1.9150E+00       3.5615E-07
       1.9250E+00       3.5825E-07
       1.9350E+00       3.6037E-07
       1.9450E+00       3.6252E-07
       1.9550E+00       3.6469E-07
       1.9650E+00       3.6689E-07
       1.9750E+00       3.6912E-07
       1.9850E+00       3.7137E-07
       1.9950E+00       3.7365E-07
       2.0050E+00       3.7596E-07
       2.0150E+00       3.7829E-07
       2.0250E+00       3.8066E-07
       2.0350E+00       3.8305E-07
       2.0450E+00       3.8547E-07
       2.0550E+00       3.8791E-07
       2.0650E+00       3.9039E-07
       2.0750E+00       3.9290E-07
       2.0850E+00       3.9544E-07
       2.0950E+00       3.9800E-07
       2.1050E+00       4.0060E-07
       2.1150E+00       4.0323E-07
       2.1250E+00       4.0588E-07
       2.1350E+00       4.0857E-07
       2.1450E+00       4.1129E-07
       2.1550E+00       4.1403E-07
       2.1650E+00       4.1681E-07
       2.1750E+00       4.1962E-07
       2.1850E+00       4.2246E-07
       2.1950E+00       4.2533E-07
       2.2050E+00       4.2822E-07
       2.2150E+00       4.3115E-07
       2.2250E+00       4.3411E-07
       2.2350E+00       4.3709E-07
       2.2450E+00       4.4011E-07
       2.2550E+00       4.4315E-07
       2.2650E+00       4.4622E-07
       2.2750E+00       4.4932E-07
       2.2850E+00       4.5245E-07
       2.2950E+00       4.5560E-07
       2.3050E+00       4.5878E-07
       2.3150E+00       4.6199E-07
       2.3250E+00       4.6522E-07
       2.3350E+00       4.6848E-07
       2.3450E+00       4.7176E-07
       2.3550E+00       4.7506E-07
       2.3650E+00       4.7839E-07
       2.3750E+00       4.8174E-07
       2.3850E+00       4.8510E-07
       2.3950E+00       4.8849E-07
       2.4050E+00       4.9190E-07
       2.4150E+00       4.9533E-07
       2.4250E+00       4.9878E-07
       2.4350E+00       5.0225E-07
       2.4450E+00       5.0573E-07
       2.4550E+00       5.0922E-07
       2.4650E+00       5.1274E-07
       2.4750E+00       5.1626E-07
       2.4850E+00       5.1980E-07
       2.4950E+00       5.2336E-07
       2.5050E+00       5.2692E-07
       2.5150E+00       5.3050E-07
       2.5250E+00       5.3409E-07
       2.5350E+00       5.3769E-07
       2.5450E+00       5.4130E-07
       2.5550E+00       5.4491E-07
       2.5650E+00       5.4854E-07
       2.5750E+00       5.5217E-07
       2.5850E+00       5.5581E-07
       2.5950E+00       5.5946E-07
       2.6050E+00       5.6312E-07
       2.6150E+00       5.6678E-07
       2.6250E+00       5.7045E-07
       2.6350E+00       5.7413E-07
       2.6450E+00       5.7782E-07
       2.6550E+00       5.8151E-07
       2.6650E+00       5.8521E-07
       2.6750E+00       5.8892E-07
       2.6850E+00       5.9264E-07
       2.6950E+00       5.9637E-07
       2.7050E+00       6.0010E-07
       2.7150E+00       6.0385E-07
       2.7250E+00       6.0761E-07
       2.7350E+00       6.1139E-07
       2.7450E+00       6.1518E-07
       2.7550E+00       6.1898E-07
       2.7650E+00       6.2280E-07
       2.7750E+00       6.2665E-07
       2.7850E+00       6.3051E-07
       2.7950E+00       6.3440E-07
       2.8050E+00       6.3831E-07
       2.8150E+00       6.4225E-07
       2.8250E+00       6.4623E-07
       2.8350E+00       6.5023E-07
       2.8450E+00       6.5427E-07
       2.8550E+00       6.5834E-07
       2.8650E+00       6.6246E-07
       2.8750E+00       6.6661E-07
       2.8850E+00       6.7081E-07
       2.8950E+00       6.7504E-07
       2.9050E+00       6.7931E-07
       2.9150E+00       6.8360E-07
       2.9250E+00       6.8790E-07
       2.9350E+00       6.9218E-07
       2.9450E+00       6.9639E-07
       2.9550E+00       7.0048E-07
       2.9650E+00       7.0432E-07
       2.9750E+00       7.0775E-07
       2.9850E+00       7.1050E-07
       2.9950E+00       7.1218E-07
