# Time          2.0000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       6.0500E-01       0.0000E+00       1.0002E-11      -1.2843E-11      -3.2765E-46       0.0000E+00
       6.1500E-01       0.0000E+00       9.9966E-12      -1.2843E-11      -3.2755E-46       0.0000E+00
       6.2500E-01       0.0000E+00       9.9880E-12      -1.2843E-11      -3.2744E-46       0.0000E+00
       6.3500E-01       0.0000E+00       9.9766E-12      -1.2843E-11      -3.2734E-46       0.0000E+00
       6.4500E-01       0.0000E+00       9.9631E-12      -1.2843E-11      -3.2724E-46       0.0000E+00
       6.5500E-01       0.0000E+00       9.9479E-12      -1.2843E-11      -3.2714E-46       0.0000E+00
       6.6500E-01       0.0000E+00       9.9313E-12      -1.2843E-11      -3.2704E-46       0.0000E+00
       6.7500E-01       0.0000E+00       9.9138E-12      -1.2843E-11      -3.2693E-46       0.0000E+00
       6.8500E-01       0.0000E+00       9.8954E-12      -1.2843E-11      -3.2683E-46       0.0000E+00
       6.9500E-01       0.0000E+00       9.8764E-12      -1.2843E-11      -3.2673E-46       0.0000E+00
       7.0500E-01       0.0000E+00       9.8569E-12      -1.2843E-11      -3.2662E-46       0.0000E+00
       7.1500E-01       0.0000E+00       9.8371E-12      -1.2843E-11      -3.2652E-46       0.0000E+00
       7.2500E-01       0.0000E+00       9.8171E-12      -1.2843E-11      -3.2642E-46       0.0000E+00
       7.3500E-01       0.0000E+00       9.7969E-12      -1.2843E-11      -3.2631E-46       0.0000E+00
       7.4500E-01       0.0000E+00       9.7766E-12      -1.2843E-11      -3.2621E-46       0.0000E+00
       7.5500E-01       0.0000E+00       9.7562E-12      -1.2843E-11      -3.2611E-46       0.0000E+00
       7.6500E-01       0.0000E+00       9.7358E-12      -1.2843E-11      -3.2600E-46       0.0000E+00
       7.7500E-01       0.0000E+00       9.7154E-12      -1.2843E-11      -3.2590E-46       0.0000E+00
       7.8500E-01       0.0000E+00       9.6950E-12      -1.2843E-11      -3.2579E-46       0.0000E+00
       7.9500E-01       0.0000E+00       9.6748E-12      -1.2843E-11      -3.2569E-46       0.0000E+00
       8.0500E-01       0.0000E+00       9.6545E-12      -1.2843E-11      -3.2558E-46       0.0000E+00
       8.1500E-01       0.0000E+00       9.6344E-12      -1.2843E-11      -3.2547E-46       0.0000E+00
       8.2500E-01       0.0000E+00       9.6144E-12      -1.2843E-11      -3.2537E-46       0.0000E+00
       8.3500E-01       0.0000E+00       9.5945E-12      -1.2843E-11      -3.2526E-46       0.0000E+00
       8.4500E-01       0.0000E+00       9.5747E-12      -1.2843E-11      -3.2516E-46       0.0000E+00
       8.5500E-01       0.0000E+00       9.5550E-12      -1.2843E-11      -3.2505E-46       0.0000E+00
       8.6500E-01       0.0000E+00       9.5354E-12      -1.2843E-11      -3.2494E-46       0.0000E+00
       8.7500E-01       0.0000E+00       9.5159E-12      -1.2843E-11      -3.2484E-46       0.0000E+00
       8.8500E-01       0.0000E+00       9.4966E-12      -1.2843E-11      -3.2473E-46       0.0000E+00
       8.9500E-01       0.0000E+00       9.4774E-12      -1.2843E-11      -3.2462E-46       0.0000E+00
       9.0500E-01       0.0000E+00       9.4583E-12      -1.2843E-11      -3.2451E-46       0.0000E+00
       9.1500E-01       0.0000E+00       9.4394E-12      -1.2843E-11      -3.2441E-46       0.0000E+00
       9.2500E-01       0.0000E+00       9.4206E-12      -1.2843E-11      -3.2430E-46       0.0000E+00
       9.3500E-01       0.0000E+00       9.4019E-12      -1.2843E-11      -3.2419E-46       0.0000E+00
       9.4500E-01       0.0000E+00       9.3833E-12      -1.2843E-11      -3.2408E-46       0.0000E+00
       9.5500E-01       0.0000E+00       9.3649E-12      -1.2843E-11      -3.2397E-46       0.0000E+00
       9.6500E-01       0.0000E+00       9.3466E-12      -1.2843E-11      -3.2386E-46       0.0000E+00
       9.7500E-01       0.0000E+00       9.3284E-12      -1.2843E-11      -3.2376E-46       0.0000E+00
       9.8500E-01       0.0000E+00       9.3103E-12      -1.2843E-11      -3.2365E-46       0.0000E+00
       9.9500E-01       0.0000E+00       9.2924E-12      -1.2843E-11      -3.2354E-46       0.0000E+00
       1.0050E+00       0.0000E+00       9.2746E-12      -1.2843E-11      -3.2343E-46       0.0000E+00
       1.0150E+00       0.0000E+00       9.2569E-12      -1.2843E-11      -3.2332E-46       0.0000E+00
       1.0250E+00       0.0000E+00       9.2393E-12      -1.2843E-11      -3.2321E-46       0.0000E+00
       1.0350E+00       0.0000E+00       9.2218E-12      -1.2843E-11      -3.2310E-46       0.0000E+00
       1.0450E+00       0.0000E+00       9.2045E-12      -1.2843E-11      -3.2299E-46       0.0000E+00
       1.0550E+00       0.0000E+00       9.1873E-12      -1.2843E-11      -3.2288E-46       0.0000E+00
       1.0650E+00       0.0000E+00       9.1702E-12      -1.2843E-11      -3.2277E-46       0.0000E+00
       1.0750E+00       0.0000E+00       9.1532E-12      -1.2843E-11      -3.2266E-46       0.0000E+00
       1.0850E+00       0.0000E+00       9.1364E-12      -1.2843E-11      -3.2254E-46       0.0000E+00
       1.0950E+00       0.0000E+00       9.1196E-12      -1.2843E-11      -3.2243E-46       0.0000E+00
       1.1050E+00       0.0000E+00       9.1030E-12      -1.2843E-11      -3.2232E-46       0.0000E+00
       1.1150E+00       0.0000E+00       9.0865E-12      -1.2843E-11      -3.2221E-46       0.0000E+00
       1.1250E+00       0.0000E+00       9.0701E-12      -1.2843E-11      -3.2210E-46       0.0000E+00
       1.1350E+00       0.0000E+00       9.0538E-12      -1.2843E-11      -3.2199E-46       0.0000E+00
       1.1450E+00       0.0000E+00       9.0377E-12      -1.2843E-11      -3.2187E-46       0.0000E+00
       1.1550E+00       0.0000E+00       9.0216E-12      -1.2843E-11      -3.2176E-46       0.0000E+00
       1.1650E+00       0.0000E+00       9.0056E-12      -1.2843E-11      -3.2165E-46       0.0000E+00
       1.1750E+00       0.0000E+00       8.9898E-12      -1.2843E-11      -3.2154E-46       0.0000E+00
       1.1850E+00       0.0000E+00       8.9741E-12      -1.2843E-11      -3.2142E-46       0.0000E+00
       1.1950E+00       0.0000E+00       8.9584E-12      -1.2843E-11      -3.2131E-46       0.0000E+00
       1.2050E+00       0.0000E+00       8.9429E-12      -1.2843E-11      -3.2120E-46       0.0000E+00
       1.2150E+00       0.0000E+00       8.9275E-12      -1.2843E-11      -3.2109E-46       0.0000E+00
       1.2250E+00       0.0000E+00       8.9122E-12      -1.2843E-11      -3.2097E-46       0.0000E+00
       1.2350E+00       0.0000E+00       8.8970E-12      -1.2843E-11      -3.2086E-46       0.0000E+00
       1.2450E+00       0.0000E+00       8.8818E-12      -1.2843E-11      -3.2074E-46       0.0000E+00
       1.2550E+00       0.0000E+00       8.8668E-12      -1.2843E-11      -3.2063E-46       0.0000E+00
       1.2650E+00       0.0000E+00       8.8519E-12      -1.2843E-11      -3.2052E-46       0.0000E+00
       1.2750E+00       0.0000E+00       8.8371E-12      -1.2843E-11      -3.2040E-46       0.0000E+00
       1.2850E+00       0.0000E+00       8.8224E-12      -1.2843E-11      -3.2029E-46       0.0000E+00
       1.2950E+00       0.0000E+00       8.8078E-12      -1.2843E-11      -3.2017E-46       0.0000E+00
       1.3050E+00       0.0000E+00       8.7933E-12      -1.2843E-11      -3.2006E-46       0.0000E+00
       1.3150E+00       0.0000E+00       8.7789E-12      -1.2843E-11      -3.1994E-46       0.0000E+00
       1.3250E+00       0.0000E+00       8.7646E-12      -1.2843E-11      -3.1983E-46       0.0000E+00
       1.3350E+00       0.0000E+00       8.7504E-12      -1.2843E-11      -3.1971E-46       0.0000E+00
       1.3450E+00       0.0000E+00       8.7363E-12      -1.2843E-11      -3.1960E-46       0.0000E+00
       1.3550E+00       0.0000E+00       8.7222E-12      -1.2843E-11      -3.1948E-46       0.0000E+00
       1.3650E+00       0.0000E+00       8.7083E-12      -1.2843E-11      -3.1937E-46       0.0000E+00
       1.3750E+00       0.0000E+00       8.6944E-12      -1.2843E-11      -3.1925E-46       0.0000E+00
       1.3850E+00       0.0000E+00       8.6807E-12      -1.2843E-11      -3.1913E-46       0.0000E+00
       1.3950E+00       0.0000E+00       8.6670E-12      -1.2843E-11      -3.1902E-46       0.0000E+00
       1.4050E+00       0.0000E+00       8.6535E-12      -1.2843E-11      -3.1890E-46       0.0000E+00
       1.4150E+00       0.0000E+00       8.6400E-12      -1.2843E-11      -3.1879E-46       0.0000E+00
       1.4250E+00       0.0000E+00       8.6266E-12      -1.2843E-11      -3.1867E-46       0.0000E+00
       1.4350E+00       0.0000E+00       8.6133E-12      -1.2843E-11      -3.1855E-46       0.0000E+00
       1.4450E+00       0.0000E+00       8.6001E-12      -1.2843E-11      -3.1844E-46       0.0000E+00
       1.4550E+00       0.0000E+00       8.5869E-12      -1.2843E-11      -3.1832E-46       0.0000E+00
       1.4650E+00       0.0000E+00       8.5739E-12      -1.2843E-11      -3.1820E-46       0.0000E+00
       1.4750E+00       0.0000E+00       8.5610E-12      -1.2843E-11      -3.1808E-46       0.0000E+00
       1.4850E+00       0.0000E+00       8.5481E-12      -1.2843E-11      -3.1797E-46       0.0000E+00
       1.4950E+00       0.0000E+00       8.5353E-12      -1.2843E-11      -3.1785E-46       0.0000E+00
       1.5050E+00       0.0000E+00       8.5226E-12      -1.2843E-11      -3.1773E-46       0.0000E+00
       1.5150E+00       0.0000E+00       8.5100E-12      -1.2843E-11      -3.1761E-46       0.0000E+00
       1.5250E+00       0.0000E+00       8.4974E-12      -1.2843E-11      -3.1750E-46       0.0000E+00
       1.5350E+00       0.0000E+00       8.4850E-12      -1.2843E-11      -3.1738E-46       0.0000E+00
       1.5450E+00       0.0000E+00       8.4726E-12      -1.2843E-11      -3.1726E-46       0.0000E+00
       1.5550E+00       0.0000E+00       8.4603E-12      -1.2843E-11      -3.1714E-46       0.0000E+00
       1.5650E+00       0.0000E+00       8.4481E-12      -1.2843E-11      -3.1702E-46       0.0000E+00
       1.5750E+00       0.0000E+00       8.4360E-12      -1.2843E-11      -3.1690E-46       0.0000E+00
       1.5850E+00       0.0000E+00       8.4239E-12      -1.2843E-11      -3.1679E-46       0.0000E+00
       1.5950E+00       0.0000E+00       8.4119E-12      -1.2843E-11      -3.1667E-46       0.0000E+00
       1.6050E+00       0.0000E+00       8.4000E-12      -1.2843E-11      -3.1655E-46       0.0000E+00
       1.6150E+00       0.0000E+00       8.3882E-12      -1.2843E-11      -3.1643E-46       0.0000E+00
       1.6250E+00       0.0000E+00       8.3765E-12      -1.2843E-11      -3.1631E-46       0.0000E+00
       1.6350E+00       0.0000E+00       8.3648E-12      -1.2843E-11      -3.1619E-46       0.0000E+00
       1.6450E+00       0.0000E+00       8.3532E-12      -1.2843E-11      -3.1607E-46       0.0000E+00
       1.6550E+00       0.0000E+00       8.3417E-12      -1.2843E-11      -3.1595E-46       0.0000E+00
       1.6650E+00       0.0000E+00       8.3303E-12      -1.2843E-11      -3.1583E-46       0.0000E+00
       1.6750E+00       0.0000E+00       8.3189E-12      -1.2843E-11      -3.1571E-46       0.0000E+00
       1.6850E+00       0.0000E+00       8.3076E-12      -1.2843E-11      -3.1559E-46       0.0000E+00
       1.6950E+00       0.0000E+00       8.2964E-12      -1.2843E-11      -3.1547E-46       0.0000E+00
       1.7050E+00       0.0000E+00       8.2852E-12      -1.2843E-11      -3.1535E-46       0.0000E+00
       1.7150E+00       0.0000E+00       8.2742E-12      -1.2843E-11      -3.1523E-46       0.0000E+00
       1.7250E+00       0.0000E+00       8.2632E-12      -1.2843E-11      -3.1511E-46       0.0000E+00
       1.7350E+00       0.0000E+00       8.2522E-12      -1.2843E-11      -3.1499E-46       0.0000E+00
       1.7450E+00       0.0000E+00       8.2414E-12      -1.2843E-11      -3.1487E-46       0.0000E+00
       1.7550E+00       0.0000E+00       8.2306E-12      -1.2843E-11      -3.1475E-46       0.0000E+00
       1.7650E+00       0.0000E+00       8.2198E-12      -1.2843E-11      -3.1463E-46       0.0000E+00
       1.7750E+00       0.0000E+00       8.2092E-12      -1.2843E-11      -3.1451E-46       0.0000E+00
       1.7850E+00       0.0000E+00       8.1986E-12      -1.2843E-11      -3.1438E-46       0.0000E+00
       1.7950E+00       0.0000E+00       8.1881E-12      -1.2843E-11      -3.1426E-46       0.0000E+00
       1.8050E+00       0.0000E+00       8.1776E-12      -1.2843E-11      -3.1414E-46       0.0000E+00
       1.8150E+00       0.0000E+00       8.1672E-12      -1.2843E-11      -3.1402E-46       0.0000E+00
       1.8250E+00       0.0000E+00       8.1569E-12      -1.2843E-11      -3.1390E-46       0.0000E+00
       1.8350E+00       0.0000E+00       8.1467E-12      -1.2843E-11      -3.1378E-46       0.0000E+00
       1.8450E+00       0.0000E+00       8.1365E-12      -1.2843E-11      -3.1366E-46       0.0000E+00
       1.8550E+00       0.0000E+00       8.1263E-12      -1.2843E-11      -3.1353E-46       0.0000E+00
       1.8650E+00       0.0000E+00       8.1163E-12      -1.2843E-11      -3.1341E-46       0.0000E+00
       1.8750E+00       0.0000E+00       8.1063E-12      -1.2843E-11      -3.1329E-46       0.0000E+00
       1.8850E+00       0.0000E+00       8.0964E-12      -1.2843E-11      -3.1317E-46       0.0000E+00
       1.8950E+00       0.0000E+00       8.0865E-12      -1.2843E-11      -3.1304E-46       0.0000E+00
       1.9050E+00       0.0000E+00       8.0767E-12      -1.2843E-11      -3.1292E-46       0.0000E+00
       1.9150E+00       0.0000E+00       8.0669E-12      -1.2843E-11      -3.1280E-46       0.0000E+00
       1.9250E+00       0.0000E+00       8.0573E-12      -1.2843E-11      -3.1268E-46       0.0000E+00
       1.9350E+00       0.0000E+00       8.0476E-12      -1.2843E-11      -3.1255E-46       0.0000E+00
       1.9450E+00       0.0000E+00       8.0381E-12      -1.2843E-11      -3.1243E-46       0.0000E+00
       1.9550E+00       0.0000E+00       8.0286E-12      -1.2843E-11      -3.1231E-46       0.0000E+00
       1.9650E+00       0.0000E+00       8.0192E-12      -1.2843E-11      -3.1218E-46       0.0000E+00
       1.9750E+00       0.0000E+00       8.0098E-12      -1.2843E-11      -3.1206E-46       0.0000E+00
       1.9850E+00       0.0000E+00       8.0005E-12      -1.2843E-11      -3.1194E-46       0.0000E+00
       1.9950E+00       0.0000E+00       7.9912E-12      -1.2843E-11      -3.1182E-46       0.0000E+00
       2.0050E+00       0.0000E+00       7.9820E-12      -1.2843E-11      -3.1169E-46       0.0000E+00
       2.0150E+00       0.0000E+00       7.9729E-12      -1.2843E-11      -3.1157E-46       0.0000E+00
       2.0250E+00       0.0000E+00       7.9638E-12      -1.2843E-11      -3.1144E-46       0.0000E+00
       2.0350E+00       0.0000E+00       7.9547E-12      -1.2843E-11      -3.1132E-46       0.0000E+00
       2.0450E+00       0.0000E+00       7.9458E-12      -1.2843E-11      -3.1120E-46       0.0000E+00
       2.0550E+00       0.0000E+00       7.9369E-12      -1.2843E-11      -3.1107E-46       0.0000E+00
       2.0650E+00       0.0000E+00       7.9280E-12      -1.2843E-11      -3.1095E-46       0.0000E+00
       2.0750E+00       0.0000E+00       7.9192E-12      -1.2843E-11      -3.1082E-46       0.0000E+00
       2.0850E+00       0.0000E+00       7.9104E-12      -1.2843E-11      -3.1070E-46       0.0000E+00
       2.0950E+00       0.0000E+00       7.9017E-12      -1.2843E-11      -3.1058E-46       0.0000E+00
       2.1050E+00       0.0000E+00       7.8931E-12      -1.2843E-11      -3.1045E-46       0.0000E+00
       2.1150E+00       0.0000E+00       7.8845E-12      -1.2843E-11      -3.1033E-46       0.0000E+00
       2.1250E+00       0.0000E+00       7.8760E-12      -1.2843E-11      -3.1020E-46       0.0000E+00
       2.1350E+00       0.0000E+00       7.8675E-12      -1.2843E-11      -3.1008E-46       0.0000E+00
       2.1450E+00       0.0000E+00       7.8591E-12      -1.2843E-11      -3.0995E-46       0.0000E+00
       2.1550E+00       0.0000E+00       7.8507E-12      -1.2843E-11      -3.0983E-46       0.0000E+00
       2.1650E+00       0.0000E+00       7.8424E-12      -1.2843E-11      -3.0970E-46       0.0000E+00
       2.1750E+00       0.0000E+00       7.8341E-12      -1.2843E-11      -3.0958E-46       0.0000E+00
       2.1850E+00       0.0000E+00       7.8259E-12      -1.2843E-11      -3.0945E-46       0.0000E+00
       2.1950E+00       0.0000E+00       7.8177E-12      -1.2843E-11      -3.0933E-46       0.0000E+00
       2.2050E+00       0.0000E+00       7.8096E-12      -1.2843E-11      -3.0920E-46       0.0000E+00
       2.2150E+00       0.0000E+00       7.8015E-12      -1.2843E-11      -3.0908E-46       0.0000E+00
       2.2250E+00       0.0000E+00       7.7935E-12      -1.2843E-11      -3.0895E-46       0.0000E+00
       2.2350E+00       0.0000E+00       7.7855E-12      -1.2843E-11      -3.0882E-46       0.0000E+00
       2.2450E+00       0.0000E+00       7.7776E-12      -1.2843E-11      -3.0870E-46       0.0000E+00
       2.2550E+00       0.0000E+00       7.7698E-12      -1.2843E-11      -3.0857E-46       0.0000E+00
       2.2650E+00       0.0000E+00       7.7619E-12      -1.2843E-11      -3.0845E-46       0.0000E+00
       2.2750E+00       0.0000E+00       7.7542E-12      -1.2843E-11      -3.0832E-46       0.0000E+00
       2.2850E+00       0.0000E+00       7.7464E-12      -1.2843E-11      -3.0819E-46       0.0000E+00
       2.2950E+00       0.0000E+00       7.7388E-12      -1.2843E-11      -3.0807E-46       0.0000E+00
       2.3050E+00       0.0000E+00       7.7311E-12      -1.2843E-11      -3.0794E-46       0.0000E+00
       2.3150E+00       0.0000E+00       7.7235E-12      -1.2843E-11      -3.0782E-46       0.0000E+00
       2.3250E+00       0.0000E+00       7.7160E-12      -1.2843E-11      -3.0769E-46       0.0000E+00
       2.3350E+00       0.0000E+00       7.7085E-12      -1.2843E-11      -3.0756E-46       0.0000E+00
       2.3450E+00       0.0000E+00       7.7010E-12      -1.2843E-11      -3.0744E-46       0.0000E+00
       2.3550E+00       0.0000E+00       7.6936E-12      -1.2843E-11      -3.0731E-46       0.0000E+00
       2.3650E+00       0.0000E+00       7.6863E-12      -1.2843E-11      -3.0718E-46       0.0000E+00
       2.3750E+00       0.0000E+00       7.6790E-12      -1.2843E-11      -3.0706E-46       0.0000E+00
       2.3850E+00       0.0000E+00       7.6717E-12      -1.2843E-11      -3.0693E-46       0.0000E+00
       2.3950E+00       0.0000E+00       7.6645E-12      -1.2843E-11      -3.0680E-46       0.0000E+00
       2.4050E+00       0.0000E+00       7.6573E-12      -1.2843E-11      -3.0668E-46       0.0000E+00
       2.4150E+00       0.0000E+00       7.6502E-12      -1.2843E-11      -3.0655E-46       0.0000E+00
       2.4250E+00       0.0000E+00       7.6431E-12      -1.2843E-11      -3.0642E-46       0.0000E+00
       2.4350E+00       0.0000E+00       7.6360E-12      -1.2843E-11      -3.0629E-46       0.0000E+00
       2.4450E+00       0.0000E+00       7.6290E-12      -1.2843E-11      -3.0617E-46       0.0000E+00
       2.4550E+00       0.0000E+00       7.6220E-12      -1.2843E-11      -3.0604E-46       0.0000E+00
       2.4650E+00       0.0000E+00       7.6151E-12      -1.2843E-11      -3.0591E-46       0.0000E+00
       2.4750E+00       0.0000E+00       7.6082E-12      -1.2843E-11      -3.0578E-46       0.0000E+00
       2.4850E+00       0.0000E+00       7.6014E-12      -1.2843E-11      -3.0566E-46       0.0000E+00
       2.4950E+00       0.0000E+00       7.5946E-12      -1.2843E-11      -3.0553E-46       0.0000E+00
       2.5050E+00       0.0000E+00       7.5878E-12      -1.2843E-11      -3.0540E-46       0.0000E+00
       2.5150E+00       0.0000E+00       7.5811E-12      -1.2843E-11      -3.0527E-46       0.0000E+00
       2.5250E+00       0.0000E+00       7.5744E-12      -1.2843E-11      -3.0515E-46       0.0000E+00
       2.5350E+00       0.0000E+00       7.5678E-12      -1.2843E-11      -3.0502E-46       0.0000E+00
       2.5450E+00       0.0000E+00       7.5612E-12      -1.2843E-11      -3.0489E-46       0.0000E+00
       2.5550E+00       0.0000E+00       7.5546E-12      -1.2843E-11      -3.0476E-46       0.0000E+00
       2.5650E+00       0.0000E+00       7.5481E-12      -1.2843E-11      -3.0463E-46       0.0000E+00
       2.5750E+00       0.0000E+00       7.5416E-12      -1.2843E-11      -3.0450E-46       0.0000E+00
       2.5850E+00       0.0000E+00       7.5351E-12      -1.2843E-11      -3.0438E-46       0.0000E+00
       2.5950E+00       0.0000E+00       7.5287E-12      -1.2843E-11      -3.0425E-46       0.0000E+00
       2.6050E+00       0.0000E+00       7.5223E-12      -1.2843E-11      -3.0412E-46       0.0000E+00
       2.6150E+00       0.0000E+00       7.5160E-12      -1.2843E-11      -3.0399E-46       0.0000E+00
       2.6250E+00       0.0000E+00       7.5097E-12      -1.2843E-11      -3.0386E-46       0.0000E+00
       2.6350E+00       0.0000E+00       7.5035E-12      -1.2843E-11      -3.0373E-46       0.0000E+00
       2.6450E+00       0.0000E+00       7.4972E-12      -1.2843E-11      -3.0360E-46       0.0000E+00
       2.6550E+00       0.0000E+00       7.4910E-12      -1.2843E-11      -3.0348E-46       0.0000E+00
       2.6650E+00       0.0000E+00       7.4849E-12      -1.2843E-11      -3.0335E-46       0.0000E+00
       2.6750E+00       0.0000E+00       7.4788E-12      -1.2843E-11      -3.0322E-46       0.0000E+00
       2.6850E+00       0.0000E+00       7.4727E-12      -1.2843E-11      -3.0309E-46       0.0000E+00
       2.6950E+00       0.0000E+00       7.4667E-12      -1.2843E-11      -3.0296E-46       0.0000E+00
