# Time          1.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       5.0000E-03       7.6837E+00      -7.6628E+00      -4.8416E+00      -4.0437E+00      -3.4045E+00      -4.7234E+00      -4.0562E+00      -3.1073E+00      -1.4451E+01      -2.9854E+00      -3.6990E+00      -3.6990E+00      -9.8411E+00      -6.7493E+00      -1.1817E+01      -7.1777E+00      -1.0161E+01      -3.4769E+00      -1.1559E+01      -8.0186E+00      -9.9920E+00      -6.2922E+00      -9.2547E+00      -7.2528E+00      -1.0661E+01      -6.9200E+00      -7.8005E+00      -1.0245E+01      -6.2850E+00      -6.0515E+00      -6.3160E+00      -5.9255E+00      -7.3004E+00      -6.5724E+00      -8.7384E+00      -6.4733E+00
       1.5000E-02       8.2785E+00      -8.2530E+00      -4.9025E+00      -3.9432E+00      -3.0922E+00      -4.7577E+00      -3.5184E+00      -3.1240E+00      -1.7048E+01      -2.9855E+00      -3.6990E+00      -3.6990E+00      -1.1286E+01      -7.0042E+00      -1.3840E+01      -6.8865E+00      -9.8816E+00      -2.9372E+00      -9.8092E+00      -8.8740E+00      -1.0593E+01      -5.1539E+00      -9.3006E+00      -7.1721E+00      -1.0943E+01      -6.9481E+00      -6.6901E+00      -9.6723E+00      -5.6845E+00      -4.9006E+00      -4.8957E+00      -5.0945E+00      -6.0905E+00      -5.9518E+00      -7.6261E+00      -5.9615E+00
       2.5000E-02       8.6249E+00      -8.5945E+00      -4.9737E+00      -3.7809E+00      -2.8718E+00      -4.7798E+00      -3.2136E+00      -3.1383E+00      -1.8560E+01      -2.9855E+00      -3.6990E+00      -3.6990E+00      -1.2144E+01      -7.1694E+00      -1.5027E+01      -6.6883E+00      -9.6956E+00      -2.6560E+00      -8.7878E+00      -9.3916E+00      -1.0945E+01      -4.4967E+00      -9.3352E+00      -7.0305E+00      -1.1135E+01      -6.9746E+00      -6.0591E+00      -9.3463E+00      -5.3321E+00      -4.2557E+00      -4.0758E+00      -4.6148E+00      -5.3272E+00      -5.5287E+00      -7.0187E+00      -5.7065E+00
       3.5000E-02       8.8873E+00      -8.8522E+00      -5.0582E+00      -3.6373E+00      -2.6994E+00      -4.7904E+00      -2.9830E+00      -3.1507E+00      -1.9676E+01      -2.9856E+00      -3.6990E+00      -3.6990E+00      -1.2772E+01      -7.2732E+00      -1.5900E+01      -6.5380E+00      -9.5577E+00      -2.4720E+00      -8.0082E+00      -9.7640E+00      -1.1214E+01      -3.9975E+00      -9.3584E+00      -6.9071E+00      -1.1263E+01      -6.9995E+00      -5.5845E+00      -9.1025E+00      -5.0637E+00      -3.7918E+00      -3.4849E+00      -4.2801E+00      -4.7632E+00      -5.2210E+00      -6.5907E+00      -5.5470E+00
       4.5000E-02       9.1053E+00      -9.0658E+00      -5.1606E+00      -3.5220E+00      -2.5606E+00      -4.7917E+00      -2.7911E+00      -3.1627E+00      -2.0573E+01      -2.9856E+00      -3.6990E+00      -3.6990E+00      -1.3268E+01      -7.3326E+00      -1.6597E+01      -6.4204E+00      -9.4521E+00      -2.3504E+00      -7.3569E+00      -1.0047E+01      -1.1439E+01      -3.5816E+00      -9.3721E+00      -6.8109E+00      -1.1346E+01      -7.0235E+00      -5.1922E+00      -8.9024E+00      -4.8398E+00      -3.4353E+00      -3.0332E+00      -4.0405E+00      -4.3329E+00      -5.0028E+00      -6.2687E+00      -5.4490E+00
       5.5000E-02       9.3015E+00      -9.2580E+00      -5.2893E+00      -3.4297E+00      -2.4441E+00      -4.7856E+00      -2.6258E+00      -3.1760E+00      -2.1346E+01      -2.9857E+00      -3.6990E+00      -3.6990E+00      -1.3681E+01      -7.3534E+00      -1.7190E+01      -6.3242E+00      -9.3677E+00      -2.2771E+00      -6.7763E+00      -1.0270E+01      -1.1641E+01      -3.2143E+00      -9.3781E+00      -6.7368E+00      -1.1391E+01      -7.0486E+00      -4.8495E+00      -8.7253E+00      -4.6379E+00      -3.1495E+00      -2.6729E+00      -3.8706E+00      -3.9946E+00      -4.8549E+00      -6.0179E+00      -5.4003E+00
       6.5000E-02       9.4960E+00      -9.4484E+00      -5.4626E+00      -3.3517E+00      -2.3399E+00      -4.7731E+00      -2.4855E+00      -3.1930E+00      -2.2076E+01      -2.9857E+00      -3.6990E+00      -3.6990E+00      -1.4053E+01      -7.3363E+00      -1.7740E+01      -6.2402E+00      -9.2955E+00      -2.2500E+00      -6.2243E+00      -1.0453E+01      -1.1842E+01      -2.8736E+00      -9.3779E+00      -6.6765E+00      -1.1403E+01      -7.0775E+00      -4.5373E+00      -8.5538E+00      -4.4377E+00      -2.9119E+00      -2.3728E+00      -3.7590E+00      -3.7183E+00      -4.7671E+00      -5.8191E+00      -5.4018E+00
       7.5000E-02       9.7177E+00      -9.6661E+00      -5.7276E+00      -3.2775E+00      -2.2384E+00      -4.7545E+00      -2.3814E+00      -3.2186E+00      -2.2878E+01      -2.9858E+00      -3.6990E+00      -3.6990E+00      -1.4444E+01      -7.2837E+00      -1.8335E+01      -6.1598E+00      -9.2279E+00      -2.2870E+00      -5.6524E+00      -1.0629E+01      -1.2071E+01      -2.5415E+00      -9.3726E+00      -6.6209E+00      -1.1388E+01      -7.1157E+00      -4.2429E+00      -8.3639E+00      -4.2099E+00      -2.7099E+00      -2.1134E+00      -3.7150E+00      -3.4836E+00      -4.7478E+00      -5.6657E+00      -5.4764E+00
       8.5000E-02       1.0061E+01      -1.0005E+01      -6.2773E+00      -3.1951E+00      -2.1240E+00      -4.7299E+00      -2.3807E+00      -3.2640E+00      -2.4141E+01      -2.9859E+00      -3.6990E+00      -3.6990E+00      -1.5056E+01      -7.2087E+00      -1.9271E+01      -6.0700E+00      -9.1532E+00      -2.4855E+00      -4.9354E+00      -1.0905E+01      -1.2423E+01      -2.1896E+00      -9.3637E+00      -6.5597E+00      -1.1373E+01      -7.1763E+00      -3.9508E+00      -8.0732E+00      -3.8590E+00      -2.5445E+00      -1.8852E+00      -3.8231E+00      -3.2841E+00      -4.8845E+00      -5.5728E+00      -5.7348E+00
       9.5000E-02       1.1477E+01      -1.1412E+01      -9.1379E+00      -3.0367E+00      -1.8968E+00      -4.6993E+00      -3.4520E+00      -3.3415E+00      -2.9660E+01      -2.9861E+00      -3.6990E+00      -3.6991E+00      -1.7815E+01      -7.1368E+00      -2.3404E+01      -5.8930E+00      -9.0079E+00      -3.9149E+00      -3.1158E+00      -1.2264E+01      -1.3855E+01      -1.8298E+00      -9.3665E+00      -6.4437E+00      -1.1408E+01      -7.2856E+00      -3.6985E+00      -6.7512E+00      -2.4289E+00      -2.5170E+00      -1.7363E+00      -5.0736E+00      -3.1962E+00      -6.1961E+00      -5.6786E+00      -7.2717E+00
