# Time          2.0000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.8244E-11       8.2025E-11       2.9763E-13       0.0000E+00       3.9418E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.4567E-11       8.5711E-11       2.9644E-13       0.0000E+00       3.9227E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.0263E-11       9.0027E-11       2.9499E-13       0.0000E+00       3.9003E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       2.5767E-11       9.4535E-11       2.9344E-13       0.0000E+00       3.8768E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       2.1474E-11       9.8840E-11       2.9196E-13       0.0000E+00       3.8542E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       1.7660E-11       1.0266E-10       2.9065E-13       0.0000E+00       3.8340E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       1.4461E-11       1.0587E-10       2.8958E-13       0.0000E+00       3.8170E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       1.1895E-11       1.0845E-10       2.8877E-13       0.0000E+00       3.8033E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       9.8976E-12       1.1045E-10       2.8817E-13       0.0000E+00       3.7926E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       8.3677E-12       1.1198E-10       2.8776E-13       0.0000E+00       3.7843E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01       0.0000E+00       0.0000E+00       7.1948E-12       1.1316E-10       2.8748E-13       0.0000E+00       3.7780E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01       0.0000E+00       0.0000E+00       6.2805E-12       1.1408E-10       2.8729E-13       0.0000E+00       3.7730E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.2500E-01       0.0000E+00       0.0000E+00       5.5475E-12       1.1481E-10       2.8715E-13       0.0000E+00       3.7690E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.3500E-01       0.0000E+00       0.0000E+00       4.9403E-12       1.1542E-10       2.8705E-13       0.0000E+00       3.7657E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.4500E-01       0.0000E+00       0.0000E+00       4.4219E-12       1.1594E-10       2.8696E-13       0.0000E+00       3.7628E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5500E-01       0.0000E+00       0.0000E+00       3.9692E-12       1.1639E-10       2.8687E-13       0.0000E+00       3.7602E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.6500E-01       0.0000E+00       0.0000E+00       3.5677E-12       1.1680E-10       2.8676E-13       0.0000E+00       3.7579E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.7500E-01       0.0000E+00       0.0000E+00       3.2086E-12       1.1716E-10       2.8665E-13       0.0000E+00       3.7559E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.8500E-01       0.0000E+00       0.0000E+00       2.8861E-12       1.1748E-10       2.8652E-13       0.0000E+00       3.7540E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.9500E-01       0.0000E+00       0.0000E+00       2.5965E-12       1.1777E-10       2.8636E-13       0.0000E+00       3.7523E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.0500E-01       0.0000E+00       0.0000E+00       2.3376E-12       1.1803E-10       2.8620E-13       0.0000E+00       3.7507E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.1500E-01       0.0000E+00       0.0000E+00       2.1089E-12       1.1826E-10       2.8603E-13       0.0000E+00       3.7493E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.2500E-01       0.0000E+00       0.0000E+00       1.9117E-12       1.1846E-10       2.8586E-13       0.0000E+00       3.7480E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.3500E-01       0.0000E+00       0.0000E+00       1.7504E-12       1.1862E-10       2.8572E-13       0.0000E+00       3.7470E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.4500E-01       0.0000E+00       0.0000E+00       1.6330E-12       1.1874E-10       2.8565E-13       0.0000E+00       3.7462E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5500E-01       0.0000E+00       0.0000E+00       2.4532E-07       1.8529E-05       4.4557E-08       0.0000E+00       5.8420E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.6500E-01       0.0000E+00       0.0000E+00       2.3739E-07       1.8536E-05       4.4561E-08       0.0000E+00       5.8414E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.7500E-01       0.0000E+00       0.0000E+00       2.3112E-07       1.8543E-05       4.4564E-08       0.0000E+00       5.8409E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.8500E-01       0.0000E+00       0.0000E+00       2.2671E-07       1.8547E-05       4.4566E-08       0.0000E+00       5.8405E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
