# Time          1.0000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.0000E-03       0.0000E+00      -3.3494E-12      -1.2843E-11      -3.4111E-46      -1.7485E-07
       1.5000E-02       0.0000E+00      -3.3493E-12      -1.2843E-11      -3.4087E-46      -1.7485E-07
       2.5000E-02       0.0000E+00      -3.3490E-12      -1.2843E-11      -3.4062E-46      -1.7485E-07
       3.5000E-02       0.0000E+00      -3.3487E-12      -1.2843E-11      -3.4037E-46      -1.7485E-07
       4.5000E-02       0.0000E+00      -3.3482E-12      -1.2843E-11      -3.4013E-46      -1.7485E-07
       5.5000E-02       0.0000E+00      -3.3476E-12      -1.2843E-11      -3.3988E-46      -1.7485E-07
       6.5000E-02       0.0000E+00      -3.3467E-12      -1.2843E-11      -3.3963E-46      -1.7485E-07
       7.5000E-02       0.0000E+00      -3.3456E-12      -1.2843E-11      -3.3938E-46      -1.7485E-07
       8.5000E-02       0.0000E+00      -3.3443E-12      -1.2843E-11      -3.3914E-46      -1.7485E-07
       9.5000E-02       0.0000E+00      -3.3425E-12      -1.2843E-11      -3.3889E-46      -1.7485E-07
       1.0500E-01       0.0000E+00      -3.3403E-12      -1.2843E-11      -3.3864E-46      -1.7485E-07
       1.1500E-01       0.0000E+00      -3.3376E-12      -1.2843E-11      -3.3840E-46      -1.7485E-07
       1.2500E-01       0.0000E+00      -3.3343E-12      -1.2843E-11      -3.3815E-46      -1.7485E-07
       1.3500E-01       0.0000E+00      -3.3304E-12      -1.2843E-11      -3.3790E-46      -1.7485E-07
       1.4500E-01       0.0000E+00      -3.3255E-12      -1.2843E-11      -3.3765E-46      -1.7485E-07
       1.5500E-01       0.0000E+00      -3.3197E-12      -1.2843E-11      -3.3740E-46      -1.7485E-07
       1.6500E-01       0.0000E+00      -3.3128E-12      -1.2843E-11      -3.3715E-46      -1.7485E-07
       1.7500E-01       0.0000E+00      -3.3043E-12      -1.2843E-11      -3.3689E-46      -1.7485E-07
       1.8500E-01       0.0000E+00      -3.2941E-12      -1.2843E-11      -3.3663E-46      -1.7485E-07
       1.9500E-01       0.0000E+00      -3.2814E-12      -1.2843E-11      -3.3637E-46      -1.7485E-07
       2.0500E-01       0.0000E+00      -3.2655E-12      -1.2843E-11      -3.3609E-46      -1.7485E-07
       2.1500E-01       0.0000E+00      -3.2447E-12      -1.2843E-11      -3.3580E-46      -1.7485E-07
       2.2500E-01       0.0000E+00      -3.2164E-12      -1.2843E-11      -3.3549E-46      -1.7485E-07
       2.3500E-01       0.0000E+00      -3.1752E-12      -1.2843E-11      -3.3513E-46      -1.7485E-07
       2.4500E-01       0.0000E+00      -3.1104E-12      -1.2843E-11      -3.3472E-46      -1.7485E-07
       2.5500E-01       0.0000E+00      -2.9983E-11      -1.2843E-11      -3.3423E-46       0.0000E+00
       2.6500E-01       0.0000E+00      -2.8529E-11      -1.2843E-11      -3.3375E-46       0.0000E+00
       2.7500E-01       0.0000E+00      -2.6719E-11      -1.2843E-11      -3.3330E-46       0.0000E+00
       2.8500E-01       0.0000E+00      -2.4559E-11      -1.2843E-11      -3.3287E-46       0.0000E+00
       2.9500E-01       0.0000E+00      -2.2083E-11      -1.2843E-11      -3.3248E-46       0.0000E+00
       3.0500E-01       0.0000E+00      -1.9357E-11      -1.2843E-11      -3.3211E-46       0.0000E+00
       3.1500E-01       0.0000E+00      -1.6469E-11      -1.2843E-11      -3.3178E-46       0.0000E+00
       3.2500E-01       0.0000E+00      -1.3518E-11      -1.2843E-11      -3.3148E-46       0.0000E+00
       3.3500E-01       0.0000E+00      -1.0604E-11      -1.2843E-11      -3.3120E-46       0.0000E+00
       3.4500E-01       0.0000E+00      -7.8114E-12      -1.2843E-11      -3.3095E-46       0.0000E+00
       3.5500E-01       0.0000E+00      -5.2092E-12      -1.2843E-11      -3.3072E-46       0.0000E+00
       3.6500E-01       0.0000E+00      -2.8424E-12      -1.2843E-11      -3.3051E-46       0.0000E+00
       3.7500E-01       0.0000E+00      -7.3488E-13      -1.2843E-11      -3.3032E-46       0.0000E+00
       3.8500E-01       0.0000E+00       1.1078E-12      -1.2843E-11      -3.3015E-46       0.0000E+00
       3.9500E-01       0.0000E+00       2.6937E-12      -1.2843E-11      -3.2999E-46       0.0000E+00
       4.0500E-01       0.0000E+00       4.0406E-12      -1.2843E-11      -3.2985E-46       0.0000E+00
       4.1500E-01       0.0000E+00       5.1714E-12      -1.2843E-11      -3.2971E-46       0.0000E+00
       4.2500E-01       0.0000E+00       6.1115E-12      -1.2843E-11      -3.2958E-46       0.0000E+00
       4.3500E-01       0.0000E+00       6.8866E-12      -1.2843E-11      -3.2945E-46       0.0000E+00
       4.4500E-01       0.0000E+00       7.5207E-12      -1.2843E-11      -3.2933E-46       0.0000E+00
       4.5500E-01       0.0000E+00       8.0361E-12      -1.2843E-11      -3.2922E-46       0.0000E+00
       4.6500E-01       0.0000E+00       8.4522E-12      -1.2843E-11      -3.2910E-46       0.0000E+00
       4.7500E-01       0.0000E+00       8.7861E-12      -1.2843E-11      -3.2899E-46       0.0000E+00
       4.8500E-01       0.0000E+00       9.0522E-12      -1.2843E-11      -3.2889E-46       0.0000E+00
       4.9500E-01       0.0000E+00       9.2628E-12      -1.2843E-11      -3.2878E-46       0.0000E+00
       5.0500E-01       0.0000E+00       9.4280E-12      -1.2843E-11      -3.2868E-46       0.0000E+00
