# Time          4.0000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.9220E-11       8.1046E-11       2.9802E-13       0.0000E+00       3.9468E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.7670E-11       8.2600E-11       2.9770E-13       0.0000E+00       3.9388E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.5665E-11       8.4610E-11       2.9719E-13       0.0000E+00       3.9284E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       3.3258E-11       8.7024E-11       2.9652E-13       0.0000E+00       3.9159E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       3.0543E-11       8.9746E-11       2.9572E-13       0.0000E+00       3.9018E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       2.7639E-11       9.2658E-11       2.9483E-13       0.0000E+00       3.8867E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       2.4671E-11       9.5634E-11       2.9391E-13       0.0000E+00       3.8711E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       2.1755E-11       9.8558E-11       2.9300E-13       0.0000E+00       3.8557E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       1.8988E-11       1.0133E-10       2.9215E-13       0.0000E+00       3.8411E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       1.6441E-11       1.0389E-10       2.9139E-13       0.0000E+00       3.8276E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01       0.0000E+00       0.0000E+00       1.4155E-11       1.0618E-10       2.9072E-13       0.0000E+00       3.8154E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01       0.0000E+00       0.0000E+00       1.2149E-11       1.0819E-10       2.9017E-13       0.0000E+00       3.8047E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.2500E-01       0.0000E+00       0.0000E+00       1.0422E-11       1.0992E-10       2.8973E-13       0.0000E+00       3.7955E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.3500E-01       0.0000E+00       0.0000E+00       8.9555E-12       1.1139E-10       2.8940E-13       0.0000E+00       3.7876E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
