# Time          3.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.9461E-12       2.9796E-13       8.1189E-11       3.9078E-11
       1.5000E-02       3.9364E-12       2.9751E-13       8.3066E-11       3.7205E-11
       2.5000E-02       3.9240E-12       2.9685E-13       8.5459E-11       3.4818E-11
       3.5000E-02       3.9095E-12       2.9602E-13       8.8272E-11       3.2013E-11
       4.5000E-02       3.8934E-12       2.9506E-13       9.1365E-11       2.8929E-11
       5.5000E-02       3.8766E-12       2.9405E-13       9.4577E-11       2.5725E-11
       6.5000E-02       3.8599E-12       2.9304E-13       9.7758E-11       2.2553E-11
       7.5000E-02       3.8440E-12       2.9209E-13       1.0078E-10       1.9542E-11
       8.5000E-02       3.8294E-12       2.9123E-13       1.0355E-10       1.6782E-11
       9.5000E-02       3.8164E-12       2.9050E-13       1.0601E-10       1.4329E-11
       1.0500E-01       3.8050E-12       2.8990E-13       1.0814E-10       1.2204E-11
       1.1500E-01       3.7954E-12       2.8943E-13       1.0995E-10       1.0400E-11
       1.2500E-01       3.7873E-12       2.8909E-13       1.1146E-10       8.8930E-12
       1.3500E-01       3.7806E-12       2.8885E-13       1.1271E-10       7.6469E-12
       1.4500E-01       3.7751E-12       2.8870E-13       1.1373E-10       6.6211E-12
       1.5500E-01       3.7705E-12       2.8863E-13       1.1458E-10       5.7757E-12
       1.6500E-01       3.7667E-12       2.8861E-13       1.1529E-10       5.0747E-12
       1.7500E-01       3.7635E-12       2.8865E-13       1.1587E-10       4.4876E-12
       1.8500E-01       3.7608E-12       2.8872E-13       1.1637E-10       3.9904E-12
       1.9500E-01       3.7585E-12       2.8883E-13       1.1680E-10       3.5647E-12
       2.0500E-01       3.7566E-12       2.8895E-13       1.1717E-10       3.1978E-12
       2.1500E-01       3.7548E-12       2.8910E-13       1.1748E-10       2.8816E-12
       2.2500E-01       3.7534E-12       2.8927E-13       1.1775E-10       2.6126E-12
       2.3500E-01       3.7522E-12       2.8946E-13       1.1797E-10       2.3920E-12
       2.4500E-01       3.7513E-12       2.8968E-13       1.1814E-10       2.2271E-12
       2.5500E-01       5.8499E-07       4.5218E-08       1.8440E-05       3.3282E-07
       2.6500E-01       5.8492E-07       4.5256E-08       1.8454E-05       3.1929E-07
       2.7500E-01       5.8485E-07       4.5296E-08       1.8466E-05       3.0681E-07
       2.8500E-01       5.8479E-07       4.5335E-08       1.8478E-05       2.9545E-07
       2.9500E-01       5.8474E-07       4.5375E-08       1.8488E-05       2.8528E-07
       3.0500E-01       5.8469E-07       4.5416E-08       1.8497E-05       2.7641E-07
       3.1500E-01       5.8465E-07       4.5457E-08       1.8504E-05       2.6894E-07
       3.2500E-01       5.8462E-07       4.5499E-08       1.8510E-05       2.6296E-07
       3.3500E-01       5.8459E-07       4.5542E-08       1.8515E-05       2.5858E-07
       3.4500E-01       5.8458E-07       4.5585E-08       1.8517E-05       2.5590E-07
       3.5500E-01       5.8458E-07       4.5629E-08       1.8518E-05       2.5501E-07
       3.6500E-01       5.8458E-07       4.5674E-08       1.8517E-05       2.5601E-07
       3.7500E-01       5.8460E-07       4.5720E-08       1.8514E-05       2.5896E-07
       3.8500E-01       5.8462E-07       4.5766E-08       1.8509E-05       2.6391E-07
       3.9500E-01       5.8466E-07       4.5814E-08       1.8502E-05       2.7091E-07
       4.0500E-01       5.8471E-07       4.5862E-08       1.8493E-05       2.7996E-07
       4.1500E-01       5.8477E-07       4.5911E-08       1.8482E-05       2.9107E-07
       4.2500E-01       5.8484E-07       4.5961E-08       1.8469E-05       3.0423E-07
       4.3500E-01       5.8493E-07       4.6012E-08       1.8454E-05       3.1939E-07
       4.4500E-01       5.8502E-07       4.6064E-08       1.8436E-05       3.3652E-07
       4.5500E-01       5.8512E-07       4.6116E-08       1.8417E-05       3.5556E-07
       4.6500E-01       5.8523E-07       4.6169E-08       1.8396E-05       3.7644E-07
       4.7500E-01       5.8536E-07       4.6224E-08       1.8374E-05       3.9909E-07
       4.8500E-01       5.8549E-07       4.6278E-08       1.8349E-05       4.2345E-07
       4.9500E-01       5.8563E-07       4.6334E-08       1.8323E-05       4.4943E-07
       5.0500E-01       5.8578E-07       4.6390E-08       1.8295E-05       4.7696E-07
       5.1500E-01       5.8593E-07       4.6447E-08       1.8266E-05       5.0598E-07
       5.2500E-01       5.8610E-07       4.6504E-08       1.8236E-05       5.3643E-07
       5.3500E-01       5.8627E-07       4.6562E-08       1.8204E-05       5.6823E-07
       5.4500E-01       5.8645E-07       4.6621E-08       1.8171E-05       6.0135E-07
       5.5500E-01       5.8663E-07       4.6680E-08       1.8136E-05       6.3572E-07
       5.6500E-01       5.8682E-07       4.6739E-08       1.8100E-05       6.7131E-07
       5.7500E-01       5.8702E-07       4.6799E-08       1.8063E-05       7.0809E-07
       5.8500E-01       5.8723E-07       4.6860E-08       1.8025E-05       7.4600E-07
       5.9500E-01       5.8744E-07       4.6921E-08       1.7986E-05       7.8503E-07
       6.0500E-01       5.8765E-07       4.6982E-08       1.7946E-05       8.2515E-07
       6.1500E-01       5.8787E-07       4.7044E-08       1.7905E-05       8.6633E-07
       6.2500E-01       5.8810E-07       4.7106E-08       1.7862E-05       9.0855E-07
       6.3500E-01       5.8833E-07       4.7169E-08       1.7819E-05       9.5179E-07
       6.4500E-01       5.8857E-07       4.7231E-08       1.7775E-05       9.9602E-07
