# Time          1.0000E+00
# Units: Bars
    Distance        CO2(g)          
       5.0000E-03       4.2297E-04
       1.5000E-02       3.6777E-04
       2.5000E-02       3.1227E-04
       3.5000E-02       2.5719E-04
       4.5000E-02       2.0332E-04
       5.5000E-02       1.5126E-04
       6.5000E-02       1.0158E-04
       7.5000E-02       5.5249E-05
       8.5000E-02       1.5603E-05
       9.5000E-02       2.1597E-08
       1.0500E-01       1.2545E-08
       1.1500E-01       1.2703E-08
       1.2500E-01       1.2998E-08
       1.3500E-01       1.3282E-08
       1.4500E-01       1.3553E-08
       1.5500E-01       1.3815E-08
       1.6500E-01       1.4071E-08
       1.7500E-01       1.4325E-08
       1.8500E-01       1.4580E-08
       1.9500E-01       1.4838E-08
       2.0500E-01       1.5101E-08
       2.1500E-01       1.5365E-08
       2.2500E-01       1.5626E-08
       2.3500E-01       1.5876E-08
       2.4500E-01       1.6101E-08
       2.5500E-01       1.6360E-08
       2.6500E-01       1.6622E-08
       2.7500E-01       1.6886E-08
       2.8500E-01       1.7151E-08
       2.9500E-01       1.7417E-08
       3.0500E-01       1.7680E-08
       3.1500E-01       1.7940E-08
       3.2500E-01       1.8195E-08
       3.3500E-01       1.8443E-08
       3.4500E-01       1.8683E-08
       3.5500E-01       1.8913E-08
       3.6500E-01       1.9130E-08
       3.7500E-01       1.9332E-08
       3.8500E-01       1.9518E-08
       3.9500E-01       1.9685E-08
       4.0500E-01       1.9832E-08
       4.1500E-01       1.9955E-08
       4.2500E-01       2.0052E-08
       4.3500E-01       2.0123E-08
       4.4500E-01       2.0165E-08
       4.5500E-01       2.0176E-08
       4.6500E-01       2.0155E-08
       4.7500E-01       2.0101E-08
       4.8500E-01       2.0014E-08
       4.9500E-01       1.9893E-08
       5.0500E-01       1.9739E-08
       5.1500E-01       1.9552E-08
       5.2500E-01       1.9333E-08
       5.3500E-01       1.9086E-08
       5.4500E-01       1.8811E-08
       5.5500E-01       1.8511E-08
       5.6500E-01       1.8189E-08
       5.7500E-01       1.7850E-08
       5.8500E-01       1.7496E-08
       5.9500E-01       1.7131E-08
       6.0500E-01       1.6760E-08
       6.1500E-01       1.6386E-08
       6.2500E-01       1.6013E-08
       6.3500E-01       1.5646E-08
       6.4500E-01       1.5288E-08
       6.5500E-01       1.4943E-08
       6.6500E-01       1.4615E-08
       6.7500E-01       1.4307E-08
       6.8500E-01       1.4022E-08
       6.9500E-01       1.3762E-08
       7.0500E-01       1.3532E-08
       7.1500E-01       1.3334E-08
       7.2500E-01       1.3170E-08
       7.3500E-01       1.3044E-08
       7.4500E-01       1.2958E-08
       7.5500E-01       1.2915E-08
       7.6500E-01       1.2920E-08
       7.7500E-01       1.2977E-08
       7.8500E-01       1.3088E-08
       7.9500E-01       1.3261E-08
       8.0500E-01       1.3501E-08
       8.1500E-01       1.3816E-08
       8.2500E-01       1.4214E-08
       8.3500E-01       1.4706E-08
       8.4500E-01       1.5304E-08
       8.5500E-01       1.6025E-08
       8.6500E-01       1.6885E-08
       8.7500E-01       1.7908E-08
       8.8500E-01       1.9121E-08
       8.9500E-01       2.0557E-08
       9.0500E-01       2.2254E-08
       9.1500E-01       2.4262E-08
       9.2500E-01       2.6638E-08
       9.3500E-01       2.9455E-08
       9.4500E-01       3.2797E-08
       9.5500E-01       3.6767E-08
       9.6500E-01       4.1487E-08
       9.7500E-01       4.7101E-08
       9.8500E-01       5.3776E-08
       9.9500E-01       6.1702E-08
       1.0050E+00       7.1091E-08
       1.0150E+00       8.2168E-08
       1.0250E+00       9.5165E-08
       1.0350E+00       1.1030E-07
       1.0450E+00       1.2778E-07
       1.0550E+00       1.4773E-07
       1.0650E+00       1.7023E-07
       1.0750E+00       1.9526E-07
       1.0850E+00       2.2271E-07
       1.0950E+00       2.5236E-07
       1.1050E+00       2.8389E-07
       1.1150E+00       3.1694E-07
       1.1250E+00       3.5107E-07
       1.1350E+00       3.8584E-07
       1.1450E+00       4.2081E-07
       1.1550E+00       4.5556E-07
       1.1650E+00       4.8972E-07
       1.1750E+00       5.2296E-07
       1.1850E+00       5.5501E-07
       1.1950E+00       5.8567E-07
       1.2050E+00       6.1480E-07
       1.2150E+00       6.4228E-07
       1.2250E+00       6.6806E-07
       1.2350E+00       6.9214E-07
       1.2450E+00       7.1453E-07
       1.2550E+00       7.3528E-07
       1.2650E+00       7.5446E-07
       1.2750E+00       7.7217E-07
       1.2850E+00       7.8849E-07
       1.2950E+00       8.0354E-07
       1.3050E+00       8.1742E-07
       1.3150E+00       8.3025E-07
       1.3250E+00       8.4214E-07
       1.3350E+00       8.5317E-07
       1.3450E+00       8.6345E-07
       1.3550E+00       8.7308E-07
       1.3650E+00       8.8214E-07
       1.3750E+00       8.9069E-07
       1.3850E+00       8.9882E-07
       1.3950E+00       9.0658E-07
       1.4050E+00       9.1402E-07
       1.4150E+00       9.2117E-07
       1.4250E+00       9.2808E-07
       1.4350E+00       9.3476E-07
       1.4450E+00       9.4123E-07
       1.4550E+00       9.4751E-07
       1.4650E+00       9.5361E-07
       1.4750E+00       9.5953E-07
       1.4850E+00       9.6530E-07
       1.4950E+00       9.7090E-07
       1.5050E+00       9.7636E-07
       1.5150E+00       9.8168E-07
       1.5250E+00       9.8687E-07
       1.5350E+00       9.9194E-07
       1.5450E+00       9.9689E-07
       1.5550E+00       1.0017E-06
       1.5650E+00       1.0063E-06
       1.5750E+00       1.0093E-06
       1.5850E+00       1.0104E-06
       1.5950E+00       1.0113E-06
       1.6050E+00       1.0123E-06
       1.6150E+00       1.0132E-06
       1.6250E+00       1.0140E-06
       1.6350E+00       1.0149E-06
       1.6450E+00       1.0158E-06
       1.6550E+00       1.0167E-06
       1.6650E+00       1.0175E-06
       1.6750E+00       1.0184E-06
       1.6850E+00       1.0193E-06
       1.6950E+00       1.0201E-06
       1.7050E+00       1.0209E-06
       1.7150E+00       1.0218E-06
       1.7250E+00       1.0226E-06
       1.7350E+00       1.0234E-06
       1.7450E+00       1.0242E-06
       1.7550E+00       1.0251E-06
       1.7650E+00       1.0259E-06
       1.7750E+00       1.0267E-06
       1.7850E+00       1.0274E-06
       1.7950E+00       1.0282E-06
       1.8050E+00       1.0290E-06
       1.8150E+00       1.0298E-06
       1.8250E+00       1.0306E-06
       1.8350E+00       1.0313E-06
       1.8450E+00       1.0321E-06
       1.8550E+00       1.0328E-06
       1.8650E+00       1.0336E-06
       1.8750E+00       1.0343E-06
       1.8850E+00       1.0350E-06
       1.8950E+00       1.0358E-06
       1.9050E+00       1.0365E-06
       1.9150E+00       1.0372E-06
       1.9250E+00       1.0379E-06
       1.9350E+00       1.0386E-06
       1.9450E+00       1.0393E-06
       1.9550E+00       1.0400E-06
       1.9650E+00       1.0407E-06
       1.9750E+00       1.0413E-06
       1.9850E+00       1.0420E-06
       1.9950E+00       1.0427E-06
       2.0050E+00       1.0433E-06
       2.0150E+00       1.0440E-06
       2.0250E+00       1.0446E-06
       2.0350E+00       1.0453E-06
       2.0450E+00       1.0459E-06
       2.0550E+00       1.0465E-06
       2.0650E+00       1.0471E-06
       2.0750E+00       1.0478E-06
       2.0850E+00       1.0484E-06
       2.0950E+00       1.0490E-06
       2.1050E+00       1.0496E-06
       2.1150E+00       1.0502E-06
       2.1250E+00       1.0507E-06
       2.1350E+00       1.0513E-06
       2.1450E+00       1.0519E-06
       2.1550E+00       1.0524E-06
       2.1650E+00       1.0530E-06
       2.1750E+00       1.0535E-06
       2.1850E+00       1.0541E-06
       2.1950E+00       1.0546E-06
       2.2050E+00       1.0552E-06
       2.2150E+00       1.0557E-06
       2.2250E+00       1.0562E-06
       2.2350E+00       1.0567E-06
       2.2450E+00       1.0572E-06
       2.2550E+00       1.0577E-06
       2.2650E+00       1.0582E-06
       2.2750E+00       1.0587E-06
       2.2850E+00       1.0592E-06
       2.2950E+00       1.0597E-06
       2.3050E+00       1.0601E-06
       2.3150E+00       1.0606E-06
       2.3250E+00       1.0610E-06
       2.3350E+00       1.0615E-06
       2.3450E+00       1.0619E-06
       2.3550E+00       1.0624E-06
       2.3650E+00       1.0628E-06
       2.3750E+00       1.0632E-06
       2.3850E+00       1.0636E-06
       2.3950E+00       1.0640E-06
       2.4050E+00       1.0644E-06
       2.4150E+00       1.0648E-06
       2.4250E+00       1.0652E-06
       2.4350E+00       1.0656E-06
       2.4450E+00       1.0660E-06
       2.4550E+00       1.0663E-06
       2.4650E+00       1.0667E-06
       2.4750E+00       1.0671E-06
       2.4850E+00       1.0674E-06
       2.4950E+00       1.0678E-06
       2.5050E+00       1.0681E-06
       2.5150E+00       1.0684E-06
       2.5250E+00       1.0687E-06
       2.5350E+00       1.0691E-06
       2.5450E+00       1.0694E-06
       2.5550E+00       1.0697E-06
       2.5650E+00       1.0700E-06
       2.5750E+00       1.0703E-06
       2.5850E+00       1.0705E-06
       2.5950E+00       1.0708E-06
       2.6050E+00       1.0711E-06
       2.6150E+00       1.0714E-06
       2.6250E+00       1.0716E-06
       2.6350E+00       1.0719E-06
       2.6450E+00       1.0721E-06
       2.6550E+00       1.0723E-06
       2.6650E+00       1.0726E-06
       2.6750E+00       1.0728E-06
       2.6850E+00       1.0730E-06
       2.6950E+00       1.0732E-06
